годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,Бессознательное: что психика решает за нас без нашего ведома,bessoznatelnoe-sostoyanie-cheloveka,Словарь,/cards,2307,бессознательное состояние человека · бессознательное в психологии человека · бессознательная психика человека · бессознательные процессы человека · сознательное бессознательное поведение человека · человеческое бессознательное · бессознательное в личности человека · бессознательного поведения человека · сознание человека бессознательное · психика человека сознание бессознательное,
да,Выгорание педагога: почему учителя сгорают и что помогает,vygoranie-pedagoga,Психология,/coach,2305,выгорание педагога · педагогическое выгорание · психологическое выгорание педагогов · синдром выгорания педагогов · выгорание педагогов доу · эмоциональное выгорание педагогов,
нет,,psihologicheskaya-depressiya,,,2302,,навигационный запрос — ключи про поиск психолога при депрессии
да,Книги по детской психологии: что почитать родителю,detskaya-psihologiya-knigi,Детская психология,/artterapy,2298,детская психология книги · книги по детской психологии для родителей · книги про детскую психологию · лучшие книги по детской психологии · детский психолог книги,
нет,,elektroliticheskaya-dissotsiatsiya,,,2278,,"химия: электролитическая диссоциация, омоним психологического термина"
нет,,depressiyu-pobedit,,,2262,,"запрос про книгу Роберта Лихи «Победи депрессию», а не про тему"
нет,,magniy-ot-trevozhnosti,,,2241,,препараты и БАДы — ТЗ запрещает лечение
нет,,psihologiya-privyazannosti,,,2224,,дубль существующих tipy-privyazannosti и privyazannost-v-otnosheniyah
нет,,vospitanie-detey-s-narusheniyami,,,2204,,дефектология и клиника у детей — вне тематики блога
нет,,posle-rasstavaniya-stal,,,2181,,"обрывок фразы, тема перекрыта «жизнью после расставания»"
нет,,tsentr-vospitaniya-detey,,,2181,,навигационный запрос — поиск детского центра
нет,,sindrom-vygoraniya-ozvuchka,,,2147,,"аниме с озвучкой, не тема"
да,Личностная и ситуативная тревожность: в чём разница,lichnostnaya-trevozhnost,Словарь,/artterapy,2144,личностная тревожность · ситуативная и личностная тревожность · тревожность личности · высокая личностная тревожность · низкая личностная тревожность · особенности личностной тревожности · тревожность тип личности,
нет,,listok-samootsenki,,,2139,,"школьный бланк оценивания «выполнено верно», а не самооценка личности"
да,Как перестать думать о бывшем и вернуться к своей жизни,byvshego-parnya-posle-rasstavaniya,Отношения,/artterapy,2119,бывшего парня после расставания · как забыть бывшего после расставания · думаю о бывшем после расставания · чувствую бывшего после расставания · хочу бывшего после расставания · письмо бывшему после расставания · слова бывшему после расставания · вопросы бывшему после расставания,
да,Остаться друзьями после расставания: когда это работает,druzyami-posle-rasstavaniya,Отношения,/artterapy,2118,друзьями после расставания · остаться друзьями после расставания · лучшие друзья после расставания,
нет,,depressiya-slushat,,,2113,,аудио: «слушать онлайн бесплатно»
нет,,zabyt-posle-rasstavaniya,,,2112,,дубль существующей статьи kak-zabyt-cheloveka
нет,,den-posle-rasstavaniya,,,2107,,"склейка разных запросов (день рождения / следующий день), темы нет"
да,Истерики у ребёнка в год: что за ними стоит и как быть,isteriki-u-rebenka-v-god,Детская психология,/artterapy,2104,истерики у ребенка в год · истерики у ребенка в 1 год · ночная истерика у ребенка в год · у ребенка в год ночью истерика,
нет,,trudovoy-vospitanie-detey,,,2099,,педагогическая методичка ДОУ — трудовое воспитание
нет,,tihoe-rasstavanie,,,2094,,"фильм с русской озвучкой, не тема"
нет,,esteticheskoe-vospitanie-detey,,,2081,,педагогическая методичка — цели и задачи эстетического воспитания
да,Профилактика выгорания: как не доводить себя до края,profilaktika-emotsionalnogo-vygoraniya,Цели и развитие,/coach,2080,профилактика эмоционального выгорания · профилактика синдрома эмоционального выгорания · психологическая профилактика эмоционального выгорания · методы профилактики эмоционального выгорания · профилактика эмоционального выгорания сотрудников · профилактика эмоционального выгорания педагогов,
нет,,devochka-depressiya,,,2057,,депрессия у девочки-подростка — клиника в самой чувствительной зоне
нет,,zhertva-bullinga,,,2046,,дубль prichiny-bullinga: роли в травле там уже разобраны
нет,,sublimatsiya-v-psihologii,,,2003,,дубль существующей статьи slovar-sublimaciya
