slug,заголовок,частота,ключи
bessonnica-prichiny,Бессонница: почему она началась и что помогает,2443971,бессонница после школы · закон бессонницы · бессонница причины у женщин после · бессонница ли бессонница · бессонница взрослые · молитвы от бессонницы · как победить бессонницу за · что делать если бессонница · день бессонница · бессонница хорошее качество
ritual-pered-snom,Ритуал перед сном: как помочь себе заснуть,725331,перед сном · успокаивающее для сна · для сна взрослым · расслабление для сна
skolko-nuzhno-spat,Сколько нужно спать на самом деле,319947,сколько нужно спать в · сколько часов нужно спать в · сколько нужно спать человеку · сколько нужно спать чтобы выспаться
kak-bystro-usnut,"Как быстро уснуть: что работает, а что мешает",281285,как уснуть · что делать если не можешь уснуть · как быстро уснуть ночью · как уснуть при бессоннице за · чтоб уснуть · не могу уснуть час · помогает ли уснуть · как уснуть после · как уснуть за минуту · не могу уснуть хотя хочу
postoyannaya-sonlivost,Постоянная сонливость: почему всё время хочется спать,279149,сонливость причины у женщин после · сонливость у мужчин после · сонливость причины у мужчин · сонливость причины у женщин · без сонливости · сонливость причины · усталость и сонливость · вызывает ли сонливость · слабость и сонливость · постоянная сонливость
fazy-sna,Фазы сна: что происходит с нами ночью,279149,время сна · фазы сна · хорошие качества сна · мужчина во время сна
prosypayus-nochyu,Просыпаюсь ночью: почему сон рвётся и что делать,263906,просыпаюсь ночью · просыпаюсь каждую · почему просыпаешься ночью · просыпаюсь ночью каждые · часто просыпаюсь · часто просыпаюсь ночью · сплю час и просыпаюсь · что делать если просыпаешься ночью · плохо сплю просыпаюсь ночью · почему просыпаешься ночью без
nedosyp-posledstviya,Недосып: как он бьёт по настроению и памяти,239740,без сна · недосыпа ли · почему недосыпы · хронический недосып симптомы
rezhim-sna,"Режим сна: как его выстроить, если он сбился",171202,режим сна · во сколько лечь чтобы проснуться в · как восстановить сон · во сколько нужно ложиться спать · время ложиться и просыпаться
tyazhelo-vstavat,Тяжело вставать по утрам: что с этим делать,66825,день просыпаться · плохо просыпаться · каждое утро проснувшись · просыпаться рано тяжело
prosypayus-v-tri-chasa,Просыпаюсь в три часа ночи: что это значит,63379,просыпаюсь в час ночи · просыпаюсь в 3 часа · просыпаюсь в 4 утра · почему просыпаешься в час ночи · почему просыпаюсь в 3 часа · почему каждую ночь просыпаюсь в · почему просыпаешься в одно время · просыпаться ночью в 4 часа · проснулась в 3 часа дня
rannie-probuzhdeniya,Ранние пробуждения: просыпаюсь раньше будильника,22307,рано утром просыпаюсь · как проснуться раньше · просыпаться раньше будильника · раннее пробуждение
