годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,"«А что скажут люди»: как решиться, когда боишься осуждения",a-chto-skazhut-lyudi,Психология,/praktik,29327,а что скажут люди · что скажут люди что скажут дети · что теперь скажут люди · важно что скажут люди · и думала что скажут люди · главное что скажут люди · переживаю что скажут люди · страх что скажут люди · все равно что скажут люди · мне плевать что скажут люди · он старше что скажут люди · что обо мне подумают люди,
да,"Что сказать близкому, который тяжело болен или уходит",chto-skazat-tyazhelobolnomu,Психология,/online,5129,что сказать умирающему человеку · что можно сказать умирающему человеку · что надо сказать умирающему человеку · что сказать родственникам умирающего человека · что сказать больному человеку · что можно сказать больному человеку · что сказать человеку в больнице · что сказать человеку в коме · что сказать человеку которому стало · что сказать человеку у которого умер близкий,
да,Тоска по дому после переезда: почему тянет вернуться,toska-po-domu-posle-pereezda,Психология,/coach,2407,тоска по дому · хочу вернуться обратно · тоска по родному дому · тяжелый переезд · чувствую себя чужим · привыкший к городу · ради переехать,
да,Всегда уступаю: как перестать молчать и говорить о своём,vsegda-ustupayu,Отношения,/praktik,1238,всегда уступаю · как сказать человеку что обидел · как сказать человеку что его много · как тактично сказать человеку что · как корректно сказать человеку что · сказать человеку что не веришь ему · человек сказал что я его достала · человек сказал что это личное,
да,"Что сказать человеку, которому плохо: слова, которые не ранят",chto-skazat-cheloveku-kotoromu-ploho,Психология,/online,871,что сказать если человеку плохо · как поддержать человека что сказать · что сказать человеку в поддержку · что сказать плачущему человеку · что сказать обиженному человеку · что сказать человеку в трудную минуту · что сказать человеку в истерике · что сказать уставшему человеку · сказать человеку что я рядом · что сказать человеку по телефону,
да,Муж всё время в телефоне: почему это ранит и что делать,muzh-postoyanno-v-telefone,Отношения,/online,36336,муж в телефоне · муж сидит в телефоне · муж вечером в телефоне · муж живет в телефоне · муж ночью в телефоне · муж постоянно в телефоне · муж все время в телефоне · муж весь день в телефоне · муж всегда в телефоне · муж постоянно сидит в телефоне · жена живет в телефоне · жена постоянно в телефоне,
да,Ребёнок сидит в телефоне: сколько можно и как договориться,rebenok-sidit-v-telefone,Детская психология,/online,6769,ребенок сидит в телефоне · сколько можно сидеть в телефоне детям · ребенок часами сидит в телефоне · ребенок сидит в телефоне что делать · сколько ребенок должен сидеть в телефоне · зависимость от телефона у детей · почему дети сидят в телефонах · ребенок постоянно сидит в телефоне · ребенок долго сидит в телефоне · ребенок много сидит в телефоне · можно ли детям сидеть в телефоне · зависимость от телефона у подростков,
да,Зависимость от телефона: почему рука сама тянется к экрану,zavisimost-ot-telefona,Самопознание,/praktik,5911,зависимость от телефона · как называется зависимость от телефона · как убрать зависимость от телефона · как оторваться от телефона · устаю от телефона · устала от соцсетей · устаю от соцсетей · зависимость от соцсетей · жизнь в соцсетях · про зависимость телефона · телефон зависимость человека · соцсети в жизни людей,
да,"Муж что-то скрывает: как понять, что происходит, и поговорить",muzh-chto-to-skryvaet,Отношения,/artterapy,19635,муж тайно · муж скрывает переписки · тайные измены мужа · муж тайно изменяет · муж тайно копил на дом · жена скрыла от меня · тайно встречаемся с мужем · врет ли муж · скрытая переписка с другой · муж тайно смотрит,
да,Муж постоянно врёт по мелочам: почему и что с этим делать,muzh-postoyanno-vret,Отношения,/artterapy,5498,муж врет · муж постоянно врет · муж врет жене · почему муж врет · муж нагло врет · лжет жене · изменивший муж врет · бывший муж врет · ложь жене,
да,Дети дерутся между собой: как гасить драки братьев и сестёр,deti-derutsya-mezhdu-soboy,Детская психология,/artterapy,16335,дети дерутся · дети начали драться · два ребенка дерутся · дети дерутся дома · маленькие дети дерутся · где дети дерутся · детям нельзя драться · детям можно драться · взрослые дети дерутся,
да,Читать ли переписку мужа: что стоит за желанием проверить,chitat-li-perepisku-muzha,Отношения,/online,11263,переписка в телефоне мужа · что посмотреть в телефоне мужа · жена смотрит в телефон мужа · залезть в телефон мужа · войти в телефон мужа · что смотреть в телефоне мужа · как найти скрытую переписку · скрытая переписка мужа · узнать скрытые переписки · жена в телефоне мужа · в телефоне мужа · не пойму в телефоне мужа · что нашли в телефоне мужа · что увидели в телефоне мужа · фото бывших в телефоне мужа · в телефоне мужа контакты,
да,Не могу доверять: как возвращается доверие после обмана,ne-mogu-doveryat,Психология,/artterapy,5457,не могу доверять · не могу никому доверять · больше не могу доверять · не могу доверять любимому · не могу доверять друзьям · не могу доверять девушкам · человек не может доверять,
да,"Как вернуть доверие после лжи: что делать тому, кто соврал",kak-vernut-doverie,Отношения,/artterapy,4604,как вернуть доверие · как вернуть доверие в отношениях · как вернуть доверие после лжи · как вернуть доверие человека · как вернуть доверие девушки · как вернуть доверие мужчины · как вернуть доверие жены · как вернуть доверие парня · как вернуть доверие подруги · как вернуть доверие в отношениях после лжи · можно ли вернуть доверие · доверие можно вернуть,
да,Не общаюсь с сестрой: почему родные перестают разговаривать,ne-obschayus-s-sestroy,Отношения,/artterapy,3186,не общаться с сестрой · не хочу общаться с сестрой · с родной сестрой не общаемся · не общаться брат с сестрой · не хочу общаться с братом · не общаюсь с родным братом · конфликт с сестрой · конфликт с братом · сестра не общается с мамой · сестра не общается с матерью · не общаюсь с двоюродной сестрой · почему брат с братом не общаются,
да,Вру мужу по мелочам: почему я скрываю и как перестать,vru-muzhu-po-melocham,Отношения,/cards,2490,ложь мужу · лгать мужу · ложь жены мужу · жена врет мужу · жена врет · можно врать людям · врать близким людям · врать любимому человеку · как перестать врать людям · человек врет самому себе,
да,Отношения между братьями и сёстрами: конкуренция и обиды,otnosheniya-mezhdu-bratyami-i-sestrami,Отношения,/artterapy,2222,отношения между братьями · отношения между сестрами · отношения между братом и сестрой · какие отношения между братьями · отношения между сводными сестрами · отношения между сводными братьями · мама любила больше брата · любимчики в семье · не общаюсь с двоюродными братьями · не общаемся с сестрой мужа,
да,Ребёнок дерётся в детском саду: почему и что делать маме,rebenok-deretsya-v-detskom-sadu,Детская психология,/artterapy,5699,ребенок дерется в детском саду · ребенок дерется в саду · ребенок дерется в садике · дети дерутся в детском · почему ребенок дерется · почему ребенок дерется в · ребенок дерется с другими детьми · ребенок дерется в школе · ребенок 4 года дерется · ребенок 5 лет дерется · ребенок 6 лет дерется · ребенок девочка дерется · ребенок в год дерется · ребенку 2 дерется · ребенок 2 года дерется · ребенок 3 года дерется · ребенок дерется кусается · ребенок год дерется и кусается · почему ребенок в год дерется · ребенок в год дерется что делать · ребенку год дерется как отучить · ребенок 1 год дерется · ребенок два года дерется · как отучить ребенка драться,
да,Почему люди врут: что заставляет близкого человека лгать,pochemu-lyudi-vrut,Психология,/online,2079,почему люди врут · зачем люди врут · человек постоянно врет · почему человек постоянно врет · люди которые постоянно врали · человек все время врет · человек много врет · как называется человек который врет · человек который всегда врет · каждый человек врет · часто люди врут · что делать если человек врет,
да,"Как понять, что человек врёт: почему признаки обманывают",kak-ponyat-chto-chelovek-vret,Психология,/online,1620,как понять что человек врет · как узнать что человек врет · когда человек врет · куда смотрит человек когда врет · глаза врущего человека · мимика врущего человека · когда человек врет в какую сторону · знаешь что человек врет · что значит человек врет · психология человек врет,
да,Ребёнок бьёт маму: почему он дерётся с родителями и что делать,rebenok-byot-mamu,Детская психология,/artterapy,1116,ребенок дерется с родителями · что делать если ребенок дерется · ребенок дерется с мамой · ребенок не слушается дерется · ребенок истерит дерется · ребенок постоянно дерется · ребенок начал драться · ребенок стал драться · ребенок хочет драться · мать дерется ребенком,
