годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,Серьёзные отношения: как поговорить о будущем с мужчиной,razgovor-o-sereznyh-otnosheniyah,Отношения,/artterapy,27351,серьезные отношения с мужчиной · хочу серьезных отношений с мужчиной · как поговорить с мужчиной об отношениях серьезно · серьезные ли отношения с мужчиной · как начинать серьезные отношения с мужчиной · построить серьезные отношения с мужчиной · мужчина ищет серьезные отношения с женщиной · серьезный мужчина в отношении с женщинами,
да,Депрессия у женщин: почему её принимают за усталость и лень,depressiya-u-zhenschin,Психология,/artterapy,8922,депрессия у женщин · как проявляется депрессия у женщин · признаки депрессии у женщин · депрессия у женщин после 40 · депрессия у женщин после 50 · женская депрессия,
да,Книги по психологии отношений: что почитать и чему верить,knigi-po-psihologii-otnosheniy,Отношения,/artterapy,6117,психология отношений книги · книги про психологию отношений · лучшие книги по психологии отношений · психология отношений книги читать · книги по психологии семейных отношений · книги по психологии отношений мужчины и женщины,
да,"Упражнения для отношений: практики, которые возвращают близость",uprazhneniya-dlya-otnosheniy,Отношения,/cards,5632,упражнения для отношений · техники отношений с мужчиной · психология отношений практика · как научиться отношениям с мужчиной · психология отношений техника,
да,Отношения с мужчиной младше: чего боятся и что в них хорошего,otnosheniya-s-muzhchinoy-mladshe,Отношения,/artterapy,3537,мужчина младше на 10 лет психология отношений · мужчина моложе на 10 лет психология отношений · отношения с мужчиной моложе · психология отношений мужчина младше · отношения с мужчиной моложе на год,
да,Сказкотерапия: как через сказку говорить с ребёнком о трудном,skazkoterapiya-dlya-detey,Детская психология,/artterapy,3008,воспитание детей через сказки · сказкотерапия для детей · терапевтические сказки для детей · сказки для детей психология,
да,Самооценка мужчины в отношениях: как она влияет на пару,samootsenka-muzhchiny-v-otnosheniyah,Отношения,/coach,2555,самооценка мужчины в отношениях · самооценка мужчина · завышенная самооценка мужчины · заниженная самооценка у мужчины · поднятие самооценки для мужчин,
да,Надёжная привязанность: как выглядит и можно ли к ней прийти,nadezhnaya-privyazannost,Отношения,/cards,2329,надежная привязанность · надежный тип привязанности · люди с надежным типом привязанности,
да,Как избегающий переживает расставание: почему уходит легко,izbegayuschiy-posle-rasstavaniya,Отношения,/artterapy,1781,избегающий расставание · расставание избегающего типа · как избегающий переживает расставание,
да,Выгорание или депрессия: чем одно отличается от другого,vygoranie-ili-depressiya,Психология,/online,1748,выгорание депрессия · депрессивное выгорание · стресс выгорание депрессия,
да,"Кризисы в отношениях по годам: 1, 3, 7 и что с ними делать",krizisy-v-otnosheniyah-po-godam,Отношения,/coach,1589,кризисы в отношениях по годам · кризисы в отношениях по годам в браке · кризис в отношениях с мужем по годам · кризис в семейных отношениях по годам когда,
да,Соцсети и самооценка: почему после ленты хочется исчезнуть,socseti-i-samoocenka,Самопознание,/artterapy,1291,социальная самооценка · влияние социальных сетей на самооценку · социальные сети самооценка · самооценка и социальная среда · социальные ценности и самооценка,
да,Одиночество вдвоём: почему рядом с близким бывает так пусто,odinochestvo-v-otnosheniyah,Отношения,/artterapy,1176,чувство одиночества в отношениях · чувство одиночества в браке · эмоциональное одиночество · психология одиночества · чувство одиночества в семье · психологическое одиночество · чувство пустоты и одиночества · чувство одиночества и ненужности · чувство одиночества с друзьями · глубокое чувство одиночества · постоянное чувство одиночества · чувство одиночества и тоски,
