phrase,frequency,seed
"абулия",2401,"абулия"
"абулия",2401,"абулия"
"апатия абулия",132,"абулия"
"абулия это в психиатрии",87,"абулия"
"абулия депрессия",62,"абулия"
"абулия что это простыми словами",49,"абулия"
"абулия симптомы",41,"абулия"
"абулия гипобулия",40,"абулия"
"абулия при шизофрении",40,"абулия"
"абулия дерматилломания форум",36,"абулия"
"апато абулия",28,"абулия"
"абулия ударение",22,"абулия"
"абулия по русски",19,"абулия"
"синдром абулия",18,"абулия"
"ангедония и абулия",18,"абулия"
"абулия гора",16,"абулия"
"лечение абулии",16,"абулия"
"гипербулия гипобулия абулия",16,"абулия"
"как лечить абулию",16,"абулия"
"шизофрения апатия абулия",16,"абулия"
"абулия это в психологии",15,"абулия"
"апатия ангедония абулия",15,"абулия"
"абулия по русски 8",14,"абулия"
"абулия по русски 8 букв",14,"абулия"
"абулия характерна",12,"абулия"
"абулия и апатия разница",12,"абулия"
"абулия по русски 8 букв сканворд",11,"абулия"
"абулия гора ахалкалакия",11,"абулия"
"состояние абулии",11,"абулия"
"абулия относится к",10,"абулия"
"абулия характеризуется",9,"абулия"
"абулия с обсессивным компонентом",9,"абулия"
"тест на абулию",7,"абулия"
"лекарство от абулии",6,"абулия"
"плмошает ди при деменции мемантин при абулии",6,"абулия"
"судорожный синдром характерен деменцией аурой депрессией абулией",6,"абулия"
"абулия это в психиатрии определение",5,"абулия"
"абулия после марихуаны",5,"абулия"
