phrase,frequency,seed
"абьюз",204239,"абьюз"
"абьюз",204239,"абьюз"
"админ абьюз",111040,"абьюз"
"запустил админ абьюз",37101,"абьюз"
"абьюз песня",35733,"абьюз"
"админ абьюз песня",33562,"абьюз"
"абьюз бывший",30614,"абьюз"
"запустил админ абьюз песня",28558,"абьюз"
"глент абьюз",21342,"абьюз"
"глент админ абьюз",20976,"абьюз"
"глент песня абьюз",19053,"абьюз"
"глент админ абьюз песня",18840,"абьюз"
"запустил админ абьюз глент",17753,"абьюз"
"глент запустил абьюз песня",16633,"абьюз"
"песня глента запустил админ абьюз",16537,"абьюз"
"абьюз роблокс",11228,"абьюз"
"абьюз 1",9373,"абьюз"
"админ абьюз 1",8914,"абьюз"
"админ абьюз брейнрот",7903,"абьюз"
"мерч абьюз",7706,"абьюз"
"укради брейнрот абьюз",6737,"абьюз"
"есть ли абьюз",6318,"абьюз"
"админ абьюз в укради брейнрота",6279,"абьюз"
"коды абьюз",6051,"абьюз"
"абьюз парадевич",5945,"абьюз"
"будет ли админ абьюз",5883,"абьюз"
"скачать абьюз",5542,"абьюз"
"абьюз мск",5157,"абьюз"
"сегодня будет админ абьюз",5152,"абьюз"
"бренд абьюз",5034,"абьюз"
"когда админ абьюз в клавиатуре",4993,"абьюз"
"во сколько будет абьюз",4925,"абьюз"
"во сколько будет админ абьюз",4744,"абьюз"
"код на админ абьюз",4674,"абьюз"
"админ абьюз скачать",4542,"абьюз"
"про абьюз",4454,"абьюз"
"код запустил админ абьюз",4186,"абьюз"
"футболка абьюз",4170,"абьюз"
"абьюз в играх",4161,"абьюз"
"скачать песню абьюз",4119,"абьюз"
"абьюз парадеевич",4004,"абьюз"
"запустил админ абьюз скачать",3867,"абьюз"
"скачать песню админ абьюз",3668,"абьюз"
"админ абьюз яйцо",3472,"абьюз"
"когда следующий админ абьюз",3447,"абьюз"
"слово абьюз",3352,"абьюз"
"когда админ абьюз в укради брейнрот",3262,"абьюз"
"во сколько админ абьюз в укради",3245,"абьюз"
"адопт абьюз",3208,"абьюз"
"скачать песню запустил админ абьюз",3205,"абьюз"
"код на песню админ абьюз",3182,"абьюз"
"какой абьюз",3151,"абьюз"
