phrase,frequency,seed
"базовое доверие",728,"базовое доверие"
"базовое доверие",728,"базовое доверие"
"базовое доверие к миру",388,"базовое доверие"
"базовое доверие к людям",126,"базовое доверие"
"базовое доверие к жизни",113,"базовое доверие"
"базовое доверие эриксон",105,"базовое доверие"
"формирование базового доверия",78,"базовое доверие"
"э эриксон базовое доверие",74,"базовое доверие"
"базовое чувство доверия",61,"базовое доверие"
"формировании базового доверия к миру",55,"базовое доверие"
"базовое доверие к миру возраст",51,"базовое доверие"
"базовое доверие к миру у ребенка",41,"базовое доверие"
"базовое доверие недоверие",40,"базовое доверие"
"базовый уровень доверия",35,"базовое доверие"
"доверие базовая потребность",23,"базовое доверие"
"базовое доверие к миру эриксон",21,"базовое доверие"
"базовое чувство доверия к миру",20,"базовое доверие"
"типы базового доверия",17,"базовое доверие"
"отсутствие базового доверия",16,"базовое доверие"
"базовое доверие к миру у взрослых",12,"базовое доверие"
"книга про базовое доверие к сиру",11,"базовое доверие"
"базовое доверие это в психологии",9,"базовое доверие"
"базовое доверие к миру психология",9,"базовое доверие"
"базовое доверие к миру формируется до",8,"базовое доверие"
"как самостоятельно восстановить базовое доверие к миру",6,"базовое доверие"
"э эриксон базовое доверие к миру",5,"базовое доверие"
