phrase,frequency,seed
"беспомощность",10306,"беспомощность"
"беспомощность",10306,"беспомощность"
"выученная беспомощность",4176,"беспомощность"
"воспользовался беспомощностью",641,"беспомощность"
"синдром беспомощности",587,"беспомощность"
"чувство беспомощности",549,"беспомощность"
"синдром выученной беспомощности",494,"беспомощность"
"психология беспомощности",436,"беспомощность"
"беспомощность человека",428,"беспомощность"
"ощущение беспомощности",393,"беспомощность"
"страх беспомощности",368,"беспомощность"
"беспомощность ребенка",361,"беспомощность"
"сын воспользовался беспомощностью",316,"беспомощность"
"слово беспомощность",303,"беспомощность"
"выученная беспомощность это в психологии",284,"беспомощность"
"теория беспомощности",271,"беспомощность"
"состояние беспомощности",263,"беспомощность"
"теория выученной беспомощности",262,"беспомощность"
"фильм беспомощность",251,"беспомощность"
"порно беспомощность",238,"беспомощность"
"беспомощность 2012",212,"беспомощность"
"сын воспользовался беспомощностью мамы",212,"беспомощность"
"беспомощность фильм 2012",195,"беспомощность"
"выученной беспомощностью ребенка",195,"беспомощность"
"ситуации беспомощности",181,"беспомощность"
"русский сын воспользовался беспомощностью мамы",181,"беспомощность"
"русский сын воспользовался беспомощностью застрявшей мамы",173,"беспомощность"
"беспомощность в жизни",155,"беспомощность"
"беспомощность перед",151,"беспомощность"
"беспомощность синоним",147,"беспомощность"
"беспомощность 3",136,"беспомощность"
"воспользовался беспомощностью порно",135,"беспомощность"
"селигман беспомощность",135,"беспомощность"
"собственная беспомощность",130,"беспомощность"
"полное беспомощность",129,"беспомощность"
"бессилие беспомощность",126,"беспомощность"
"беспомощность почему",119,"беспомощность"
"психологическая беспомощность",119,"беспомощность"
"эмоциональная беспомощность",116,"беспомощность"
"выученная беспомощность эксперимент",112,"беспомощность"
"селигман выученная беспомощность",111,"беспомощность"
"про беспомощность",107,"беспомощность"
"приобретенная беспомощность",105,"беспомощность"
"беспомощность что делать",102,"беспомощность"
"травма беспомощности",97,"беспомощность"
"проявления беспомощности",92,"беспомощность"
"чувствую беспомощность",91,"беспомощность"
"феномен беспомощности",91,"беспомощность"
"стрессы беспомощность",88,"беспомощность"
"вызванная беспомощность",88,"беспомощность"
"беспомощность как избавиться",87,"беспомощность"
"причины беспомощности",84,"беспомощность"
"беспомощность это простыми словами",83,"беспомощность"
"беспомощность матери",80,"беспомощность"
"до беспомощности ошалевший",80,"беспомощность"
"выученная беспомощность как избавиться",79,"беспомощность"
"беспомощность власти",79,"беспомощность"
"проблема беспомощности",76,"беспомощность"
"беспомощность женщины",74,"беспомощность"
"что значит беспомощность",72,"беспомощность"
"беспомощность мужчины",72,"беспомощность"
"беспомощность эмоция",70,"беспомощность"
"боль беспомощности",69,"беспомощность"
"беспомощность в отношениях",67,"беспомощность"
"феномен выученной беспомощности",67,"беспомощность"
"беспомощность предложения",67,"беспомощность"
"примеры беспомощности",66,"беспомощность"
"сон беспомощность",66,"беспомощность"
"физическая беспомощность",66,"беспомощность"
"социальная беспомощность",65,"беспомощность"
"переживание беспомощности",65,"беспомощность"
"работа с беспомощностью",63,"беспомощность"
"беспомощность статьи",62,"беспомощность"
"чувство тревоги беспомощности",61,"беспомощность"
"вымученная беспомощность",61,"беспомощность"
"смотреть беспомощность",60,"беспомощность"
"состояния выученной беспомощности",56,"беспомощность"
"выученная беспомощность я хочу",55,"беспомощность"
"пользуется беспомощностью",53,"беспомощность"
"как преодолеть беспомощность",53,"беспомощность"
"как справиться с беспомощностью",52,"беспомощность"
"беспомощность россии",52,"беспомощность"
"одиночество и беспомощность",51,"беспомощность"
"воспользовался беспомощностью и трахнул",50,"беспомощность"
"твоей беспомощностью",49,"беспомощность"
"как пишется беспомощность",49,"беспомощность"
"беспомощность путина",49,"беспомощность"
"выученная беспомощность автор",49,"беспомощность"
"выученная беспомощность книги",49,"беспомощность"
"преодоление беспомощности",48,"беспомощность"
"эффект беспомощности",47,"беспомощность"
"беспомощность решение",47,"беспомощность"
"беспомощность скачать",46,"беспомощность"
"приобретенная беспомощность автор",46,"беспомощность"
"сын воспользовался беспомощностью матери",45,"беспомощность"
"беспомощность тест",45,"беспомощность"
"безысходность беспомощность",45,"беспомощность"
"дорама беспомощность",45,"беспомощность"
"про выученную беспомощность",44,"беспомощность"
"мартин селигман беспомощность",44,"беспомощность"
"какая то беспомощность",44,"беспомощность"
"вынужденная беспомощность",44,"беспомощность"
"как преодолеть выученную беспомощность",43,"беспомощность"
