phrase,frequency,seed
"буллинг",94958,"буллинг"
"буллинг",94958,"буллинг"
"про буллинг",17492,"буллинг"
"буллинг в школе",15853,"буллинг"
"дорамы буллинг",9154,"буллинг"
"дорамы про буллинг",7862,"буллинг"
"про буллинг в школе",4935,"буллинг"
"буллинг фильм",4706,"буллинг"
"школьный буллинг",4284,"буллинг"
"буллинг детей",3810,"буллинг"
"буллинг какой",3458,"буллинг"
"фильмы про буллинг",3382,"буллинг"
"суть буллинга",3278,"буллинг"
"буллинг бывшего",3277,"буллинг"
"дорамы про школу и буллинг",3205,"буллинг"
"профилактика буллинга",2656,"буллинг"
"буллинг подростков",2442,"буллинг"
"корейский буллинг",2424,"буллинг"
"буллинг сериал",2295,"буллинг"
"про школьный буллинг",2060,"буллинг"
"жертва буллинга",2046,"буллинг"
"сериалы про буллинг",1877,"буллинг"
"буллинг человека",1806,"буллинг"
"буллинг травля",1782,"буллинг"
"буллинг на работе",1634,"буллинг"
"буллинг видео",1580,"буллинг"
"буллинг в школе фильм",1569,"буллинг"
"буллинг что делать",1346,"буллинг"
"буллинг 2026",1314,"буллинг"
"буллинг где",1310,"буллинг"
"статья за буллинг",1237,"буллинг"
"дорамы про школьный буллинг",1221,"буллинг"
"буллинг порно",1219,"буллинг"
"фильмы про буллинг в школе",1210,"буллинг"
"буллинг в классе",1175,"буллинг"
"социальный буллинг",1167,"буллинг"
"буллинг драка",1166,"буллинг"
"тема буллинга",1151,"буллинг"
"буллинг что это такое простыми",1133,"буллинг"
"буллинг учителей",1082,"буллинг"
"буллинг корейские дорамы",1077,"буллинг"
"буллинг школьники",1073,"буллинг"
"как называется буллинг",1044,"буллинг"
"буллинг девочки",1044,"буллинг"
"признаки буллинга",1030,"буллинг"
"конфликт буллинг",992,"буллинг"
"стороны буллинга",978,"буллинг"
"корейские дорамы про буллинг",977,"буллинг"
"буллинг симс 4",975,"буллинг"
"буллинг что это такое простыми словами",970,"буллинг"
"буллинг стать",961,"буллинг"
"аниме буллинг",954,"буллинг"
"буллинг почему",939,"буллинг"
"был ли буллинг",868,"буллинг"
"буллинг игра",862,"буллинг"
"буллинг детей в школе",855,"буллинг"
"буллинг в школе сериалы",836,"буллинг"
"буллинг в корейских школах",833,"буллинг"
"буллинг педагогов",828,"буллинг"
"группы буллинга",821,"буллинг"
"1 буллинг",786,"буллинг"
"виды буллинга",782,"буллинг"
"дорамы про буллинг и драки",777,"буллинг"
"против буллинга",765,"буллинг"
"буллинг девушки",763,"буллинг"
"буллинг психологи",749,"буллинг"
"после буллинга",745,"буллинг"
"психологический буллинг",745,"буллинг"
"буллинг россии",740,"буллинг"
"сериалы про буллинг в школе",734,"буллинг"
"буллинг в интернете",733,"буллинг"
"подвергался буллингу",717,"буллинг"
"мода на буллинг",715,"буллинг"
"буллинг истории",714,"буллинг"
"корейские сериалы про буллинг",706,"буллинг"
"детский буллинг",705,"буллинг"
"буллинг учеников",690,"буллинг"
"дорамы буллинг и любовь",672,"буллинг"
"буллинг со стороны",667,"буллинг"
"как справиться с буллингом",666,"буллинг"
"дорамы про буллинг и любовь",649,"буллинг"
"симс мод на буллинг",648,"буллинг"
"причины буллинга",640,"буллинг"
"моббинга буллинга",631,"буллинг"
"буллинг ситуация",619,"буллинг"
"симс 4 мод на буллинг",612,"буллинг"
"насилие буллинг",602,"буллинг"
"скачай буллинг",594,"буллинг"
"буллинг рф",592,"буллинг"
"смотреть буллинг",591,"буллинг"
"план буллинг",589,"буллинг"
"буллинг правильный",579,"буллинг"
"дорамы школа буллинг драки",569,"буллинг"
"буллинг унижение",562,"буллинг"
"буллинг несовершеннолетних",554,"буллинг"
"риск буллинга",554,"буллинг"
"буллинг кибербуллинг",536,"буллинг"
"буллинг друзей",524,"буллинг"
"аниме про буллинг",523,"буллинг"
"дорамы 2026 буллинг",521,"буллинг"
"профилактика буллинга в школе",517,"буллинг"
"без буллинга",512,"буллинг"
"программа буллинга",512,"буллинг"
"буллинг парня",511,"буллинг"
"дорама про школу и драки буллинг",509,"буллинг"
"буллинг одноклассников",508,"буллинг"
"буллинг песня",506,"буллинг"
"физический буллинг",503,"буллинг"
"корейские дорамы про школу и буллинг",499,"буллинг"
"буллинг случаи",498,"буллинг"
"буллинг в корее",497,"буллинг"
"буллинг в школе видео",487,"буллинг"
"книги про буллинг",486,"буллинг"
"дорама про буллинг 2026",486,"буллинг"
"буллинг отменяется",472,"буллинг"
"буллинг мальчика",472,"буллинг"
"про буллинг подросткам",461,"буллинг"
"подростковый буллинг",454,"буллинг"
"буллинг в отношениях",450,"буллинг"
"японский буллинг",449,"буллинг"
