phrase,frequency,seed
"виктимблейминг",2906,"виктимблейминг"
"виктимблейминг",2906,"виктимблейминг"
"виктимблейминг что это такое простыми",127,"виктимблейминг"
"виктимблейминг что это такое простыми словами",115,"виктимблейминг"
"газлайтинг и виктимблейминг",17,"виктимблейминг"
"примеры виктимблейминг",11,"виктимблейминг"
"тюменский блоггер виктимблейминг",9,"виктимблейминг"
"виктимблейминг украины",8,"виктимблейминг"
"виктимблейминг это в психологии",6,"виктимблейминг"
"почему виктимблейминг это плохо",6,"виктимблейминг"
