phrase,frequency,seed
"вина",8396038,"вина"
"вин вину",8393606,"вина"
"вины",3711365,"вина"
"вино бела",625691,"вина"
"белое вино",625551,"вина"
"красное вино",603416,"вина"
"сухом вине",426075,"вина"
"вино суше сухого",425982,"вина"
"сухое вино",425982,"вина"
"домашнем вине",418121,"вина"
"домашнее вино",416084,"вина"
"купить вино",351964,"вина"
"моя вина",350712,"вина"
"вин номер",300489,"вина"
"условия вин вин",297647,"вина"
"вино в домашних условиях",294889,"вина"
"полусладкое вино",244836,"вина"
"какую вину",243553,"вина"
"без вина",242875,"вина"
"рецепт вина",241893,"вина"
"1 вине",241005,"вина"
"где вин",234736,"вина"
"игристом вине",213630,"вина"
"игристое вино",213571,"вина"
"без вины",203379,"вина"
"вина без вины",203379,"вина"
"белое сухое вино",189235,"вина"
"вин ли",185746,"вина"
"вину код",185355,"вина"
"вин код",185345,"вина"
"твоя вина",183340,"вина"
"рецепт домашнего вина",182267,"вина"
"просто вино",167663,"вина"
"вино отзывы",167485,"вина"
"рецепт вина в домашних условиях",162997,"вина"
"скачать вин",160342,"вина"
"вину скачать",160310,"вина"
"хорошее вино",158017,"вина"
"вине цена",153819,"вина"
"вино цена",153691,"вина"
"смотреть вине",150823,"вина"
"вин бесплатно",149652,"вина"
"вине бесплатно",149643,"вина"
"красное сухое вино",149308,"вина"
"домашнее вино простой",148966,"вина"
"вино в домашних условиях простой",143697,"вина"
"вином вину песня",140429,"вина"
"простой рецепт вина",140285,"вина"
"розов вин",137187,"вина"
"розовое вино",137135,"вина"
"простой рецепт домашнего вина",136783,"вина"
"вино условиях простой рецепт",132170,"вина"
"вино в домашних условиях простой рецепт",132076,"вина"
"вине дизель",120713,"вина"
"вин дизель",120707,"вина"
"фильм моя вина",117579,"вина"
"вино виной скачать",115875,"вина"
"полусухое вино",114915,"вина"
"вино красное полусладкое",113187,"вина"
"вино пила",112682,"вина"
"вино виноградов",111306,"вина"
"виноград вину",111303,"вина"
"бокал вина",111051,"вина"
"вине бокал",111049,"вина"
"суть вин вин",110654,"вина"
"пьющая вино",109522,"вина"
"вино пью пила",109520,"вина"
"пьете вино",109520,"вина"
"авто по вину",105751,"вина"
"авто по вин",105748,"вина"
"бутылка вина",105220,"вина"
"номер по вину",104827,"вина"
"вино будете",104346,"вина"
"сделай вине",98575,"вина"
"вино из яблок",96629,"вина"
"вины виноватый",95996,"вина"
"вин 10",94624,"вина"
"без вина виноватая",93634,"вина"
"без вины виноватая",93632,"вина"
"вина без вины виноватая",93632,"вина"
"можно ли вин",92766,"вина"
"вино белое полусладкое",91154,"вина"
"вин 11",89300,"вина"
"где вин номер",85804,"вина"
"вин онлайн",85357,"вина"
"вине онлайн",85303,"вина"
"вина в красном вине",84074,"вина"
"вину 2",83583,"вина"
"сайт вине",82433,"вина"
"11 вины вины",81844,"вина"
"вина сериал",81716,"вина"
"черное вино",80403,"вина"
"вино 0",79687,"вина"
"как сделать вино",77282,"вина"
"пьяная без вина",76344,"вина"
"пьяная без вины",76316,"вина"
"проверка по вину",76200,"вина"
"проверка по вин",76198,"вина"
"суть вины",74361,"вина"
"вино из смородины",72329,"вина"
"кб вино",71997,"вина"
"автомобиль по вину",71966,"вина"
"вино из винограда",70891,"вина"
"сладкое вино",70432,"вина"
"найдется вина",68998,"вина"
"проверен вин",68956,"вина"
"проверить вин",68952,"вина"
"вину официальный сайт",68897,"вина"
"яблочное вино",66572,"вина"
"где находится вин",66461,"вина"
"где находится вине",66461,"вина"
"вин онлайн бесплатно",66025,"вина"
"вино красное белое вине",64627,"вина"
"красное белое вино",64627,"вина"
"ван вин",64286,"вина"
"киндзмараули вино",64017,"вина"
"ване вины",63958,"вина"
"ван вины",63746,"вина"
"вине смотреть онлайн",63313,"вина"
"твоя вина фильм",62674,"вина"
"хачапури и вино",62235,"вина"
"хачапури и вину",62234,"вина"
"белое игристое вино",62144,"вина"
"рислинг вино",61764,"вина"
"3 вину",61264,"вина"
"безалкогольное вино",60840,"вина"
"моя вина лондон",60689,"вина"
"домашнее вино из яблок",60573,"вина"
"смотреть вину бесплатно",60376,"вина"
"пина вино",59921,"вина"
"вино из сливы",59090,"вина"
"вино пино",57574,"вина"
"вин л",56937,"вина"
"л вине",56844,"вина"
"совиньон вино",56282,"вина"
"вино брют",56277,"вина"
"после вина",56083,"вина"
"проверить по вину",55395,"вина"
"запчасти по вин",55226,"вина"
"запчасти по вину",55226,"вина"
"яблоки в вине",55023,"вина"
"белое полусухое вино",53014,"вина"
"вину смотреть онлайн бесплатно",52654,"вина"
"вино шато",52592,"вина"
"фото вине",52424,"вина"
"вино фото",52032,"вина"
"грузинское вино",51806,"вина"
"вино из яблок в домашних условиях",50962,"вина"
"долина вине",50710,"вина"
"вино долина",50699,"вина"
"скачать песню вина",50137,"вина"
"сколько в вине",49274,"вина"
"узнать вин",49040,"вина"
"вино фанагория",47851,"вина"
"вкусное вино",47602,"вина"
"проверка авто по вину",47128,"вина"
"проверка авто по вин",47126,"вина"
"вино 75",46599,"вина"
"где купить вино",46445,"вина"
"вин код автомобиля",46130,"вина"
"смотреть вина в вине",46015,"вина"
"вино москва",45175,"вина"
"вино 0 75",45156,"вина"
"гранатовое вино",45121,"вина"
"почему вин",45018,"вина"
"вина крыма",44963,"вина"
"крымов вина крыма",44963,"вина"
"крымов вино",44871,"вина"
"вин 5",44820,"вина"
"вине из одуванчиков",44615,"вина"
"вино из одуванчиков",44615,"вина"
"магазин вина",44588,"вина"
