phrase,frequency,seed
"воспитание ребенка",177728,"воспитание ребенка"
"воспитание детей",177716,"воспитание ребенка"
"воспитание детей обучение",30906,"воспитание ребенка"
"дошкольное воспитание ребенка",20247,"воспитание ребенка"
"развитие и воспитание детей",18563,"воспитание ребенка"
"воспитание детей какая",18412,"воспитание ребенка"
"воспитание детей и молодежи",18180,"воспитание ребенка"
"воспитание ребенка возрасту",16527,"воспитание ребенка"
"нравственное воспитание детей",16214,"воспитание ребенка"
"воспитание ребенка родителями",15716,"воспитание ребенка"
"требования к воспитанию детей",14676,"воспитание ребенка"
"рождение воспитание ребенка",14329,"воспитание ребенка"
"программа воспитания детей",14104,"воспитание ребенка"
"требования к организации воспитания детей",14088,"воспитание ребенка"
"воспитание детей цель",14056,"воспитание ребенка"
"процесс воспитания ребенка",13941,"воспитание ребенка"
"духовное воспитание ребенка",13716,"воспитание ребенка"
"российское воспитание детей",13633,"воспитание ребенка"
"духовно нравственное воспитание детей",13061,"воспитание ребенка"
"воспитание ребенка является",12084,"воспитание ребенка"
"пособие в связи с воспитанием ребенка",11552,"воспитание ребенка"
"условия воспитания ребенка",11346,"воспитание ребенка"
"ежемесячное пособие в связи с воспитанием ребенка",10532,"воспитание ребенка"
"воспитание образование дети",10398,"воспитание ребенка"
"воспитание детей ответы",9795,"воспитание ребенка"
"вопросы воспитания ребенка",9311,"воспитание ребенка"
"воспитание детей в семье",8749,"воспитание ребенка"
"социальное воспитание ребенка",8666,"воспитание ребенка"
"воспитание детей в деятельности",8492,"воспитание ребенка"
"федеральная программа воспитания детей",8325,"воспитание ребенка"
"ценность воспитания детей",8306,"воспитание ребенка"
"направления воспитания детей",8154,"воспитание ребенка"
"воспитание детей государственное",8120,"воспитание ребенка"
"патриотическое воспитание детей",8027,"воспитание ребенка"
"воспитания личности ребенка",7829,"воспитание ребенка"
"педагогическое воспитание детей",7514,"воспитание ребенка"
"воспитание детей ограничивая",7348,"воспитание ребенка"
"целью воспитания ребенка является",7116,"воспитание ребенка"
"воспитание детей с ограниченными возможностями",7017,"воспитание ребенка"
"воспитания детей с ограниченными возможностями здоровья",6887,"воспитание ребенка"
"воспитание ребенка 1",6771,"воспитание ребенка"
"дети в процессе воспитания являются",6526,"воспитание ребенка"
"программа нравственное воспитание детей",6523,"воспитание ребенка"
"организация процесса воспитания ребенка",6516,"воспитание ребенка"
"программа духовно нравственного воспитания детей",6420,"воспитание ребенка"
"результат воспитания ребенка",6375,"воспитание ребенка"
"основная цель воспитания детей",6247,"воспитание ребенка"
"работа воспитание детей",6184,"воспитание ребенка"
"воспитание и формирование ребенка",6124,"воспитание ребенка"
"цель образовательной организации в воспитании ребенка",6076,"воспитание ребенка"
"инклюзивное воспитание детей",6006,"воспитание ребенка"
"правила воспитания детей",5975,"воспитание ребенка"
"направления нравственного воспитания детей",5736,"воспитание ребенка"
"основной целью организации процесса воспитания детей с",5682,"воспитание ребенка"
"задачи воспитания детей",5653,"воспитание ребенка"
"нравственные ценности в воспитании детей",5580,"воспитание ребенка"
"проект воспитание детей",5571,"воспитание ребенка"
"духовные ценности в воспитании детей",5552,"воспитание ребенка"
"программа воспитания и развития детей",5512,"воспитание ребенка"
"основной целью воспитания ребенка является",5500,"воспитание ребенка"
"развитие обучение воспитание ребенка",5470,"воспитание ребенка"
"духовно нравственные ценности в воспитании детей",5466,"воспитание ребенка"
"воспитание ребенка 2",5441,"воспитание ребенка"
"нравственное воспитание детей дошкольного",5433,"воспитание ребенка"
"игра воспитание ребенка",5385,"воспитание ребенка"
"суть воспитания детей",5231,"воспитание ребенка"
"воспитание детей будучи",5220,"воспитание ребенка"
"воспитание детей духовно нравственное развитие",5200,"воспитание ребенка"
"воспитание ребенка человеком",5200,"воспитание ребенка"
"воспитание и развитие личности ребенка",5174,"воспитание ребенка"
"воспитание 3 детей",5173,"воспитание ребенка"
"системы воспитания детей",5163,"воспитание ребенка"
"воспитание ребенка рф",5110,"воспитание ребенка"
"вид воспитания ребенка",4986,"воспитание ребенка"
"воспитание детей раньше",4950,"воспитание ребенка"
"дошкольное воспитание детей с ограниченными возможностями",4887,"воспитание ребенка"
"целевые ориентиры воспитания детей",4867,"воспитание ребенка"
"воспитатель и воспитание детей",4688,"воспитание ребенка"
