phrase,frequency,seed
"грусть",309179,"грусть"
"грусть",309179,"грусть"
"песня не грусти",32942,"грусть"
"грусть грустинка",24818,"грусть"
"не грусти скачать",19019,"грусть"
"здравствуй грусть",18650,"грусть"
"песня грусть грустинка",15949,"грусть"
"грусть печаль",14612,"грусть"
"лицо грусти",13627,"грусть"
"грусть текст",13295,"грусть"
"грусть лета",12790,"грусть"
"по тихой грусти",12598,"грусть"
"твоя грусти",12508,"грусть"
"скачать песню не грусти",12082,"грусть"
"грусть грустинка на лице",12054,"грусть"
"песня грустить не грусти",11740,"грусть"
"грусть грусть на лице улыбка",11650,"грусть"
"грусть грустинка на лице улыбка",11380,"грусть"
"грусть домой",10945,"грусть"
"иду по грусти",10740,"грусть"
"бесплатная грусть",10122,"грусть"
"по грусти иду домой",10044,"грусть"
"года и грусть",9934,"грусть"
"по тихой грусти домой",9898,"грусть"
"фильм грусть",9832,"грусть"
"грусть 2",9461,"грусть"
"грусти больше",9329,"грусть"
"песня грусть улыбка",9075,"грусть"
"песня грусть грустинка на лице",9057,"грусть"
"я по тихой грусти иду домой",8801,"грусть"
"песня грусть грусть на лице улыбка",8799,"грусть"
"песня грусть грустинка улыбка",8772,"грусть"
"день грусти",8738,"грусть"
"грусть грустинка на лице улыбка песня",8631,"грусть"
"почему грусти",8290,"грусть"
"а я по тихой грусти иду",7841,"грусть"
"сказал грусти",7492,"грусть"
"кот грусти",7197,"грусть"
"грусть в глазах",7112,"грусть"
"налетела грусть",6954,"грусть"
"грусть дзен",6776,"грусть"
"какой грусти",6758,"грусть"
"здравствуй грусть дзен",6692,"грусть"
"джиган не грусти",6216,"грусть"
"грусть печаль в твоих",6210,"грусть"
"грусть твоих глаз",5870,"грусть"
"не надо грусти",5812,"грусть"
"песня грусти иду",5433,"грусть"
"бегу года и грусть",5425,"грусть"
"бегут года и грусть",5417,"грусть"
"пусть грусть",5346,"грусть"
"лепс грусть",5335,"грусть"
"и грусть печаль в твоих глазах",5308,"грусть"
"накатила грусть",5246,"грусть"
"грусти друг",5191,"грусть"
"грусть ушла",5138,"грусть"
"грусть тоска",5119,"грусть"
"код грусти",5112,"грусть"
"без грусти",4988,"грусть"
"истинная грусть",4941,"грусть"
"бегут и грусть печаль",4849,"грусть"
"бегу года и грусть печаль",4838,"грусть"
"бегут года и грусть печаль",4831,"грусть"
"любовь грусти",4701,"грусть"
"розенбаум налетела грусть",4632,"грусть"
"текст песни грусть",4591,"грусть"
"про грусть",4581,"грусть"
"смотреть грусть",4392,"грусть"
"грусть девушки",4358,"грусть"
"код на грусть грустинка",4322,"грусть"
"здравствуй грусть фильм",4319,"грусть"
