phrase,frequency,seed
"депрессия",715540,"депрессия"
"депрессия",715540,"депрессия"
"депрессия тесте",128978,"депрессия"
"тест на депрессию",114504,"депрессия"
"шкала депрессии",33672,"депрессия"
"депрессия бека",33315,"депрессия"
"суть депрессии",27668,"депрессия"
"депрессия симптомы",21684,"депрессия"
"теста депрессию бека",19884,"депрессия"
"шкала депрессии бека",19697,"депрессия"
"тревога и депрессия",17892,"депрессия"
"послеродовая депрессия",17802,"депрессия"
"депрессия после депрессии",16844,"депрессия"
"признаки депрессии",16740,"депрессия"
"лечение депрессии",14933,"депрессия"
"тест бека на депрессию",13557,"депрессия"
"депрессия онлайн",12747,"депрессия"
"великая депрессия",12677,"депрессия"
"депрессия отзывы",10863,"депрессия"
"можно депрессия",10622,"депрессия"
"бесплатный депрессия",10333,"депрессия"
"депрессия без депрессии",9424,"депрессия"
"про депрессию",9392,"депрессия"
"диаграмма депрессии",9359,"депрессия"
"тяжелая депрессия",9270,"депрессия"
"депрессия как вышли",9130,"депрессия"
"депрессия врач",9092,"депрессия"
"депрессия у женщин",8922,"депрессия"
"таблетки от депрессии",8512,"депрессия"
"тест на депрессию с диаграммой",8447,"депрессия"
"как выйти из депрессии",8359,"депрессия"
"депрессия и тревожность",8128,"депрессия"
"теста шкалы депрессии бека",8056,"депрессия"
"у бывшего депрессия",8052,"депрессия"
"стресс и депрессия",8033,"депрессия"
"депрессия прошла",7894,"депрессия"
"депрессия пройдет",7263,"депрессия"
"депрессия самостоятельно",7177,"депрессия"
"тест на депрессию онлайн",7167,"депрессия"
"клиническая депрессия",7065,"депрессия"
"шкала тревоги и депрессии",7003,"депрессия"
"слово депрессия",6797,"депрессия"
"тест на депрессию бесплатно",6014,"депрессия"
"idrlabs депрессия",5853,"депрессия"
"депрессия пациент",5843,"депрессия"
"год в депрессии",5812,"депрессия"
"idrlabs тест на депрессию",5644,"депрессия"
"депрессия форум",5624,"депрессия"
"тест на тревожность и депрессию",5599,"депрессия"
"скачать депрессию",5519,"депрессия"
"уровень депрессии",5497,"депрессия"
"бек депрессия онлайн",5478,"депрессия"
"депрессия st",5206,"депрессия"
"стадии депрессии",5152,"депрессия"
"виды депрессии",5052,"депрессия"
"сильная депрессия",5009,"депрессия"
"тест на депрессию по шкале",4818,"депрессия"
"депрессия отзывы пациентов",4699,"депрессия"
"причины депрессии",4649,"депрессия"
"невроз депрессия",4577,"депрессия"
"тревожная депрессия",4563,"депрессия"
"хроническая депрессия",4549,"депрессия"
"депрессия лечение врач",4503,"депрессия"
