phrase,frequency,seed
"интроекция",1522,"интроекция"
"интроекция это",648,"интроекция"
"интроекция в психологии",342,"интроекция"
"проекция и интроекция",92,"интроекция"
"интроекция человека",90,"интроекция"
"гештальт интроекции",83,"интроекция"
"слияние интроекция",63,"интроекция"
"интроекция является",55,"интроекция"
"интроекция это простыми",52,"интроекция"
"проекция интроекция ретрофлексия",48,"интроекция"
"интроекция это простыми словами",47,"интроекция"
"интроекция объекта",39,"интроекция"
"интроекция защита",39,"интроекция"
"механизм интроекции это",37,"интроекция"
"интроекция и идентификация",35,"интроекция"
"защитный механизм интроекции",31,"интроекция"
"интроекция прерывание контакта",28,"интроекция"
"механизм прерывания контакта интроекция",27,"интроекция"
"интроекция психологическая защита",25,"интроекция"
"интроекция в гештальт терапии это",23,"интроекция"
"проективные интроекция",22,"интроекция"
"механизм защиты интроекция",21,"интроекция"
"интроекция в психологии это простыми",19,"интроекция"
"интроекция синоним",17,"интроекция"
"слияние интроекция проекция",16,"интроекция"
"взаимная интроекция",14,"интроекция"
"проекция интроекция и проективная идентификация",13,"интроекция"
"интроекция в психологии это простыми словами",13,"интроекция"
"интроекция потерянного объекта",10,"интроекция"
"проекция интроекция в психологии",9,"интроекция"
"пример интроекции",8,"интроекция"
"интроекция женственности",6,"интроекция"
"интроекция в психоанализе это",6,"интроекция"
"интроекция женственности и покинутости",5,"интроекция"
