phrase,frequency,seed
"истерика у ребенка",15277,"истерика у ребенка"
"истерика у ребенка",15277,"истерика у ребенка"
"истерики у ребенка 2",2299,"истерика у ребенка"
"истерики у ребенка в год",2104,"истерика у ребенка"
"истерики у ребенка 2 года",2028,"истерика у ребенка"
"истерика у ребенка 3",1475,"истерика у ребенка"
"истерики у ребенка 3 года",1211,"истерика у ребенка"
"у ребенка истерика после",1117,"истерика у ребенка"
"истерики у ребенка 5",1035,"истерика у ребенка"
"истерики у детей 4",905,"истерика у ребенка"
"у ребенка сильная истерика",891,"истерика у ребенка"
"почему у ребенка истерика",891,"истерика у ребенка"
"истерики у ребенка 5 лет",824,"истерика у ребенка"
"истерика у ребенка 1",784,"истерика у ребенка"
"ночные истерики у ребенка",769,"истерика у ребенка"
"истерика у ребенка ночью",763,"истерика у ребенка"
"что делать если у ребенка истерика",611,"истерика у ребенка"
"у ребенка начались истерики",525,"истерика у ребенка"
"у ребенка истерика что делать 2",501,"истерика у ребенка"
"истерика у ребенка перед сном",482,"истерика у ребенка"
"истерики у ребенка 2 года что делать",482,"истерика у ребенка"
"причины истерик у ребенка",465,"истерика у ребенка"
"у ребенка постоянная истерика",460,"истерика у ребенка"
"истерика у ребенка 6",451,"истерика у ребенка"
"истерики у детей форум",430,"истерика у ребенка"
"у ребенка часто истерики",415,"истерика у ребенка"
"как успокоить истерику у ребенка",321,"истерика у ребенка"
"истерики у ребенка 6 лет",320,"истерика у ребенка"
"истерики у ребенка 1.5",261,"истерика у ребенка"
"ночные истерики у ребенка 2",255,"истерика у ребенка"
"истерики у ребенка 10",250,"истерика у ребенка"
"истерика у ребенка после года",244,"истерика у ребенка"
"у ребенка случаются истерики",236,"истерика у ребенка"
"ночные истерики у ребенка 2 года",233,"истерика у ребенка"
"у ребенка истерика по любому поводу",231,"истерика у ребенка"
"у ребенка истерика хочу не хочу",230,"истерика у ребенка"
"истерика у ребенка 7 лет",228,"истерика у ребенка"
"истерики в 4 года у ребенка",217,"истерика у ребенка"
"истерики у ребенка 3 что делать",193,"истерика у ребенка"
"истерики у ребенка в 1 год",191,"истерика у ребенка"
"истерики во сне у ребенка",190,"истерика у ребенка"
"истерика у ребенка садике",184,"истерика у ребенка"
"истерики у ребенка 1 5",183,"истерика у ребенка"
"истерика у ребенка 3 лет что делать",177,"истерика у ребенка"
"истерики у ребенка 2 5",176,"истерика у ребенка"
"истерика ночью у ребенка 2",172,"истерика у ребенка"
"приступ истерики у ребенка",171,"истерика у ребенка"
"у ребенка истерика в саду",171,"истерика у ребенка"
"истерики у детей 8 лет",170,"истерика у ребенка"
"как остановить истерику у ребенка",166,"истерика у ребенка"
"истерики у ребенка 2.5",162,"истерика у ребенка"
"истерика ночью у ребенка 2 года",159,"истерика у ребенка"
