phrase,frequency,seed
"копинг",8145,"копинг"
"копинг стратегии",4505,"копинг"
"копинг это",1420,"копинг"
"лазарус копинги",814,"копинг"
"копинг тест",621,"копинг"
"копинг стратегии в психологии",613,"копинг"
"копинг стратегии лазаруса",566,"копинг"
"копинг вопросы",538,"копинг"
"копинг это в психологии",447,"копинг"
"опросник копинга",444,"копинг"
"копинг стресса",426,"копинг"
"копинг механизм",423,"копинг"
"психологический копинг",364,"копинг"
"копинг тест лазаруса",333,"копинг"
"копинг теста лазаруса",333,"копинг"
"копинг карточки",321,"копинг"
"методики копинга",299,"копинг"
"какие копинг стратегии",279,"копинг"
"эмоциональные копинги",268,"копинг"
"опросники копинг стратегий",260,"копинг"
"копинг стратегии вопросы",254,"копинг"
"копинг стратегии стресса",254,"копинг"
"социальный копинг",243,"копинг"
"копинг совладание",232,"копинг"
"копинг стратегий ситуации",209,"копинг"
"способ копинга",200,"копинг"
"стратегия копинг поведение",197,"копинг"
"психологические копинг стратегии",191,"копинг"
"выберите копинги",190,"копинг"
"методика копинг стратегий",181,"копинг"
"особенности копинга",180,"копинг"
"эмоциональные копинг стратегии",170,"копинг"
"копинг исследование",168,"копинг"
"копинг защита",158,"копинг"
"копинги подростков",158,"копинг"
"когнитивные копинг",157,"копинг"
"копинг 1",151,"копинг"
"копинг стратегии совладание",150,"копинг"
"крюкова копинг",135,"копинг"
"фолкман лазарус копинг",135,"копинг"
"копинг стратегии личности",134,"копинг"
"пример копинга",129,"копинг"
"адаптация и копинг",128,"копинг"
"копинг опросник лазаруса",127,"копинг"
"активный копинг",124,"копинг"
"копинг поведение в стрессовых ситуациях",124,"копинг"
"адаптивный копинг",123,"копинг"
"особенности копинг стратегий",116,"копинг"
"виды копингов",114,"копинг"
"опросник лазаруса копинг стратегии",113,"копинг"
"копинг онлайн",112,"копинг"
"копинг действия",112,"копинг"
"типы копингов",111,"копинг"
"копинг стратегии со стрессом",109,"копинг"
"диагностика копингов",108,"копинг"
"копинг стратегии подростков",106,"копинг"
"копинга р лазаруса",106,"копинг"
"копинг поведение опросник",98,"копинг"
"проблемы копинг стратегии",98,"копинг"
"поведенческие копинги",98,"копинг"
"тест на копинг стратегии",96,"копинг"
"адаптивные копинг стратегии",96,"копинг"
"индикатор копинг стратегий",95,"копинг"
"исследования копинг стратегий",95,"копинг"
"механизм копинг стратегии",94,"копинг"
"суть копинга",92,"копинг"
"копинг стратегии лазарус фолкман",92,"копинг"
"фолкман копинг стратегии",92,"копинг"
"социальная поддержка копинг",90,"копинг"
"копинг избегание",90,"копинг"
"результат копинга",88,"копинг"
"понятие копинга",87,"копинг"
"копинг стратегии детям",87,"копинг"
"когнитивный копинг стратегии",85,"копинг"
"копинг стрессовые стратегии",85,"копинг"
