phrase,frequency,seed
"кризис сепарации",1997,"кризис сепарации"
"кризис сепарации",1997,"кризис сепарации"
"кризис сепарации у ребенка",791,"кризис сепарации"
"кризис сепарации от родителей",173,"кризис сепарации"
"кризис сепарации в год",149,"кризис сепарации"
"кризис сепарации во сколько",131,"кризис сепарации"
"кризис сепарации у ребенка во сколько",114,"кризис сепарации"
"кризис сепарации в 6 месяцев",111,"кризис сепарации"
"кризис сепарации во сколько месяцев",82,"кризис сепарации"
"сколько длится кризис сепарации",82,"кризис сепарации"
"кризис сепарации у ребенка во сколько месяцев",74,"кризис сепарации"
"кризис сепарации в 1 год",44,"кризис сепарации"
"кризис сепарации в 2 года",36,"кризис сепарации"
"кризис сепарации в 8 месяцев",33,"кризис сепарации"
"кризис сепарации у малышей",32,"кризис сепарации"
"кризис сепарации у младенцев",28,"кризис сепарации"
"кризис сепарации у ребенка 8 месяцев",28,"кризис сепарации"
"кризис сепарации в 10 месяцев",27,"кризис сепарации"
"кризисы сепарации в каком возрасте",26,"кризис сепарации"
"кризис сепарации у ребенка 6 месяцев",25,"кризис сепарации"
"кризис сепарации в 7 месяцев",23,"кризис сепарации"
"когда начинается кризис сепарации",23,"кризис сепарации"
"когда проходит кризис сепарации",22,"кризис сепарации"
"когда заканчивается кризис сепарации",20,"кризис сепарации"
"кризис сепарации 3 года",20,"кризис сепарации"
"кризис сепарации у ребенка сколько длится",19,"кризис сепарации"
"кризис сепарации у ребенка 1 год",18,"кризис сепарации"
"кризис сепарации в 9 месяцев",18,"кризис сепарации"
"кризис сепарации в 6 месяцев сколько длится",17,"кризис сепарации"
"кризис сепарации у ребенка до года",15,"кризис сепарации"
"как пережить кризис сепарации",13,"кризис сепарации"
"кризис сепарации в 11 месяцев",12,"кризис сепарации"
"первый кризис сепарации",11,"кризис сепарации"
"кризис сепарации в 5 месяцев",10,"кризис сепарации"
"кризис сепарации у ребенка в 2 года",10,"кризис сепарации"
"кризис сепарации форум",10,"кризис сепарации"
"кризис сепарации у ребенка 10 месяцев",10,"кризис сепарации"
"кризис сепарации в 1.5 года",9,"кризис сепарации"
"кризис сепарации у ребенка в 11 месяцев",6,"кризис сепарации"
