phrase,frequency,seed
"онемение чувств",4733,"онемение чувств"
"чувство онемения",4733,"онемение чувств"
"чувство онемения в ногах",548,"онемение чувств"
"чувство онемения в руках",524,"онемение чувств"
"чувство онемения в левой",363,"онемение чувств"
"чувство онемения в пальце",230,"онемение чувств"
"чувство онемения языка",207,"онемение чувств"
"чувство онемения пальцев ног",198,"онемение чувств"
"чувство онемения в голове",172,"онемение чувств"
"чувство онемения и покалывания",168,"онемение чувств"
"чувство онемения в стопе",164,"онемение чувств"
"чувство онемения в левой руке",153,"онемение чувств"
"чувство онемения конечностей",148,"онемение чувств"
"чувство онемения кожи",113,"онемение чувств"
"чувство онемения в колене",106,"онемение чувств"
"чувство онемения в пальцах рук",104,"онемение чувств"
"чувство онемения во рту",103,"онемение чувств"
"чувство онемения бедра",101,"онемение чувств"
"чувство онемения в кистях",98,"онемение чувств"
"чувство онемения шеи",95,"онемение чувств"
"чувство онемения зубов",94,"онемение чувств"
"чувство онемения легких",93,"онемение чувств"
"чувство онемения в ухе",90,"онемение чувств"
"чувство онемения в левой ноге",87,"онемение чувств"
"чувство онемения в руках и ногах",80,"онемение чувств"
"чувство онемения в правой руке",77,"онемение чувств"
"чувство онемения щеки",76,"онемение чувств"
"чувство онемения кистей рук",75,"онемение чувств"
"чувство онемения в правой ноге",71,"онемение чувств"
"чувство онемения в мышцах",68,"онемение чувств"
"чувство онемения в груди",67,"онемение чувств"
"чувство онемения ноги причины",66,"онемение чувств"
"чувство онемения в животе",65,"онемение чувств"
"чувство онемения голени",65,"онемение чувств"
"может ли быть чувство онемения",64,"онемение чувств"
"чувство онемения в горле",63,"онемение чувств"
"чувство онемения в губах",62,"онемение чувств"
"чувство онемения левой стороны",62,"онемение чувств"
"чувство онемения кончика",60,"онемение чувств"
"чувство онемения глаз",59,"онемение чувств"
"чувство онемения стоп ног",58,"онемение чувств"
"чувство онемения лба",55,"онемение чувств"
"чувство онемения мизинца",54,"онемение чувств"
"чувство онемения челюсти",54,"онемение чувств"
"чувство онемения в спине",54,"онемение чувств"
"чувство онемения что делать",52,"онемение чувств"
"чувство онемения в висках",52,"онемение чувств"
"чувство онемения после операции",52,"онемение чувств"
"чувство онемения ступни",51,"онемение чувств"
"чувство онемения на лице",51,"онемение чувств"
"чувство онемения затылка",50,"онемение чувств"
"онемения без чувства",50,"онемение чувств"
"чувство онемения ягодиц",47,"онемение чувств"
"почему чувство онемения руки",44,"онемение чувств"
"чувство онемения большого пальца на ноге",43,"онемение чувств"
