phrase,frequency,seed
"отношение к деньгам",3270,"отношение к деньгам"
"отношение к деньгам",3270,"отношение к деньгам"
"какое отношение к деньгам",352,"отношение к деньгам"
"отношение людей к деньгам",266,"отношение к деньгам"
"деньги по отношению к рублю",243,"отношение к деньгам"
"отношение ребенка к деньгам",142,"отношение к деньгам"
"правильное отношение к деньгам",129,"отношение к деньгам"
"вопросы отношения к деньгам",107,"отношение к деньгам"
"отношение к деньгам мужчина",97,"отношение к деньгам"
"лучшее отношение к деньгам",92,"отношение к деньгам"
"отношение женщин к деньгам",91,"отношение к деньгам"
"про отношение к деньгам",91,"отношение к деньгам"
"изменить отношение к деньгам",71,"отношение к деньгам"
"отношение русских к деньгам",66,"отношение к деньгам"
"проблема отношения к деньгам",64,"отношение к деньгам"
"отношение к большим деньгам",61,"отношение к деньгам"
"3 отношение к деньгам",60,"отношение к деньгам"
"отношение к отцу отношение к деньгам",59,"отношение к деньгам"
"деньги по отношению к золотую",54,"отношение к деньгам"
"книги отношение к деньгам",52,"отношение к деньгам"
"как воспитать правильное отношение к деньгам",51,"отношение к деньгам"
"деньги по отношению к товару",51,"отношение к деньгам"
"современное отношение к деньгам",49,"отношение к деньгам"
"типы отношения к деньгам",48,"отношение к деньгам"
"как можно воспитать правильное отношение к деньгам",45,"отношение к деньгам"
"отношение к деньгам психология",44,"отношение к деньгам"
"по белоруссии деньги отношению к рублю",44,"отношение к деньгам"
"ваше отношение к деньгам",43,"отношение к деньгам"
"отношение к деньгам в семье",43,"отношение к деньгам"
"бережное отношение к деньгам",37,"отношение к деньгам"
"отношение к деньгам сочинение",37,"отношение к деньгам"
"пословицы к отношении к деньгам",33,"отношение к деньгам"
"отношение к деньгам по жизни",32,"отношение к деньгам"
"отношение белорусских денег к рублю",32,"отношение к деньгам"
"статья отношение к деньгам",30,"отношение к деньгам"
"как воспитывать отношение к деньгам сочинение",27,"отношение к деньгам"
"взрослое отношение к деньгам",25,"отношение к деньгам"
"отношение к деньгам в россии",25,"отношение к деньгам"
"разумное отношение к деньгам",23,"отношение к деньгам"
"виды отношений к деньгам",22,"отношение к деньгам"
"отношение к деньгам библия",21,"отношение к деньгам"
"книги про отношение к деньгам",20,"отношение к деньгам"
"легкое отношение к деньгам",20,"отношение к деньгам"
"курс белорусских денег по отношению к рублю",19,"отношение к деньгам"
"отношение к деньгам сочинение егэ",18,"отношение к деньгам"
"тест отношение к деньгам",15,"отношение к деньгам"
"поменять отношение к деньгам",15,"отношение к деньгам"
"отношение к деньгам психология самооценка",14,"отношение к деньгам"
"пословица про деньги и отношение к ним",13,"отношение к деньгам"
"изменение отношения к деньгам",11,"отношение к деньгам"
"деньги таиланда по отношению к рублю",10,"отношение к деньгам"
"отношения подростков к деньгам",10,"отношение к деньгам"
"узбекские деньги по отношению к рублю",9,"отношение к деньгам"
"белорусские деньги по отношению к российским",9,"отношение к деньгам"
"армянские деньги по отношению к рублю",7,"отношение к деньгам"
"инфантильное отношение к деньгам",7,"отношение к деньгам"
"отношения людей к деньгам сочинение",6,"отношение к деньгам"
"чем определяется отношение к деньгам",6,"отношение к деньгам"
"чем определяется отношение к деньгам сочинение",6,"отношение к деньгам"
"чем определяются отношения людей к деньгам",6,"отношение к деньгам"
"лазарев с н отношение к деньгам",6,"отношение к деньгам"
"отношение левашова к деньгам",6,"отношение к деньгам"
"молдавские деньги по отношению к рублю",5,"отношение к деньгам"
