phrase,frequency,seed
"паника",147118,"паника"
"паника",147118,"паника"
"без паники",11174,"паника"
"не надо паники",9941,"паника"
"квест паника",9469,"паника"
"квеста паника",9469,"паника"
"паника песня",7101,"паника"
"паника краснодар",6714,"паника"
"фильм паника",4825,"паника"
"паника краснодар квесты",4007,"паника"
"песня не надо паники",3861,"паника"
"началось паника",3822,"паника"
"тревога паники",3685,"паника"
"не надо слов не надо паники",3646,"паника"
"скачай паники",3635,"паника"
"почему паника",3516,"паника"
"паника новороссийск",3502,"паника"
"какая паника",3186,"паника"
"паника видео",3114,"паника"
"не надо паники ведь мы",3092,"паника"
"день паника",3083,"паника"
"паники ведь мы не титанике",2870,"паника"
"ли паника",2657,"паника"
"песни паники титаник",2615,"паника"
"паника после",2590,"паника"
"годы паники",2422,"паника"
"паника на титанике",2382,"паника"
"человек в панике",2225,"паника"
"страх и паника",2208,"паника"
"не надо паники на титанике",2105,"паника"
"вызывающих панику",2012,"паника"
"вызывает панику",2011,"паника"
"парки паник",1921,"паника"
"смотреть паника",1912,"паника"
"паника текст",1830,"паника"
"паника в нидл",1763,"паника"
"паника в нидл парке",1752,"паника"
"режим паники",1689,"паника"
"начало паники",1665,"паника"
"скачать песню паника",1642,"паника"
"паник 2",1630,"паника"
"паника анапа",1619,"паника"
"время паники",1606,"паника"
"где паник",1596,"паника"
"начать панику",1584,"паника"
"приступ паники",1539,"паника"
"погода паники",1513,"паника"
"песня не надо паники ведь мы",1491,"паника"
"паники последний день",1478,"паника"
"паника сегодня",1470,"паника"
"квест паника новороссийск",1427,"паника"
"песня титаник не надо паники ведь",1416,"паника"
"паника дайте",1402,"паника"
"не надо паники последний день",1391,"паника"
"паника в киеве",1389,"паника"
"зеленский в панике",1363,"паника"
"просто панику",1355,"паника"
"новости паника",1348,"паника"
"хороший паника",1340,"паника"
"не надо паники это мой последний",1329,"паника"
"паника в селе",1325,"паника"
"паника 1",1321,"паника"
"сериал паника",1310,"паника"
"надо паники скачать",1307,"паника"
"паников",1292,"паника"
"игры паник",1291,"паника"
"без паники фильм",1277,"паника"
"паника ночью",1276,"паника"
"паника сейчас",1202,"паника"
"паника слова песни",1192,"паника"
"фильм паника в парке",1184,"паника"
"фильм паника в нидл парке",1171,"паника"
"паника перед",1163,"паника"
"слова титаника не надо паники",1142,"паника"
"паник головой",1128,"паника"
"став паника",1122,"паника"
"паника стрессы",1108,"паника"
"атака паники",1107,"паника"
"бесплатно паника",1103,"паника"
"не надо слов не надо паники песня",1082,"паника"
"паника дома",1065,"паника"
"паника друг",1050,"паника"
"больше паники",1044,"паника"
