phrase,frequency,seed
"проекция",206636,"проекция"
"проекция",206636,"проекция"
"проекция тела",13628,"проекция"
"проекция скорости",13628,"проекция"
"проекции рентгена",13343,"проекция"
"проекция времени",13207,"проекция"
"проекция на лобовое",12078,"проекция"
"проекция на стекло",12011,"проекция"
"в двух проекциях",11515,"проекция"
"в 2 проекциях",10948,"проекция"
"оси проекции",10499,"проекция"
"график проекции",10260,"проекция"
"зависимость проекции",9797,"проекция"
"проекция скорости времени",9584,"проекция"
"проекция на лобовое стекло",9575,"проекция"
"зависимость проекции от времени",9195,"проекция"
"график зависимости проекций",8851,"проекция"
"1 проекция",8840,"проекция"
"проекция скорости тела",8791,"проекция"
"проекция графика скорости",8779,"проекция"
"зависимость проекции скорости",8772,"проекция"
"график проекций от времени проекций",8686,"проекция"
"график зависимости от времени проекции",8410,"проекция"
"проекция зависимости скорости от времени",8357,"проекция"
"график зависимости проекции скорости проекция",7984,"проекция"
"прямая проекция",7927,"проекция"
"график проекции скорости от времени",7859,"проекция"
"график зависимости проекции скорости от времени",7627,"проекция"
"3 проекция",7614,"проекция"
"рисунок в проекции",7468,"проекция"
"на рисунке график зависимости проекции",7414,"проекция"
"проекция скорости тела от времени",7404,"проекция"
"зависимость проекции скорости тела",7395,"проекция"
"проекция скорости рисунок",7393,"проекция"
"боковая проекция",7371,"проекция"
"какая проекция",7294,"проекция"
"зависимость проекции скорости тела от времени",7172,"проекция"
"график проекции скорости тела",7112,"проекция"
"проекция тела на графике",7088,"проекция"
"проекция сустава",7023,"проекция"
"график зависимости проекции скорости тела",6744,"проекция"
"на рисунке график зависимости проекции скорости",6697,"проекция"
"график проекции скорости тела от времени",6684,"проекция"
"проекция 5",5967,"проекция"
"определить проекцию",5961,"проекция"
"проекции рентгенографии",5921,"проекция"
"4 проекции",5739,"проекция"
"суть проекции",5640,"проекция"
"проекция тела на ось",5521,"проекция"
"проекция ускорения",5388,"проекция"
"проекция скорости на ось",5213,"проекция"
"проекция х",5178,"проекция"
"рентген в двух проекциях",4955,"проекция"
"проекция стопы",4952,"проекция"
"проекция x",4931,"проекция"
"проекция координаты",4902,"проекция"
"проекция 0",4886,"проекция"
"зависимость проекции на ось",4786,"проекция"
"проекция графика на ось",4614,"проекция"
"проекция 10",4611,"проекция"
"проекция права",4572,"проекция"
"проекция точки",4471,"проекция"
"правая проекция",4464,"проекция"
"проекции равны",4440,"проекция"
"на графике приведена зависимость проекции",4396,"проекция"
"проекция костей",4325,"проекция"
"проекция 2 1",4311,"проекция"
"проекция скорости движущегося",4304,"проекция"
"на рисунке приведены графики зависимости проекции",4265,"проекция"
"определить проекцию тела",4165,"проекция"
"определить проекцию скорости",4128,"проекция"
"проекция скорости тела на ось",4112,"проекция"
"на графике приведена зависимость проекции скорости",4064,"проекция"
"лев проекция",4060,"проекция"
"проекции позвоночника",4043,"проекция"
"плоскости проекций",4033,"проекция"
"проекция левого",4016,"проекция"
"на рисунке приведен график проекции скорости",3989,"проекция"
"график проекции скорости на ось",3988,"проекция"
"проекция органа",3953,"проекция"
