phrase,frequency,seed
"ревность",581619,"ревность"
"тест на ревность",347703,"ревность"
"тесто на ревность",346926,"ревность"
"диаграмма ревности",134935,"ревность"
"тест на ревность с диаграммой",115269,"ревность"
"круговая диаграмма на ревность",33035,"ревность"
"круговой тест на ревность",33025,"ревность"
"уровень ревности",31935,"ревность"
"тест на ревность с диаграммой круговой",31363,"ревность"
"ревность это",15251,"ревность"
"тест на уровень ревности",13320,"ревность"
"песня ревность",11268,"ревность"
"уровень ревности диаграмма",9720,"ревность"
"idrlabs ревность",8982,"ревность"
"уровень ревности тест с диаграммой",8968,"ревность"
"тест на ревность idrlabs",8760,"ревность"
"тест на ревность на русском",8711,"ревность"
"тест на ревность диаграммой русском",8487,"ревность"
"про ревность",8161,"ревность"
"ревность фильм",8013,"ревность"
"ревность тест с диаграммой круговой на русском",7945,"ревность"
"суть ревности",7528,"ревность"
"ревность скачать",7455,"ревность"
"ревность мужчины",7289,"ревность"
"ревность девушки",7123,"ревность"
"ревность дорама",5540,"ревность"
"песня любовь ревность",5063,"ревность"
"каста ревность",4851,"ревность"
"бесплатно ревность",4705,"ревность"
"воплощение ревности",4576,"ревность"
"ревность парня",4509,"ревность"
"любовь и ревность",4367,"ревность"
"ревность онлайн",4317,"ревность"
"ревность ру",4278,"ревность"
"любовь ревность flockaa",4195,"ревность"
"скачать песню ревность",4171,"ревность"
"любовь ревность скачать",4167,"ревность"
"тест ревности ру",4037,"ревность"
"ревность смотреть",4000,"ревность"
"язык ревности",3882,"ревность"
"ревность женщины",3567,"ревность"
"сериал ревность",3378,"ревность"
"ревность любимой",3255,"ревность"
"без ревности",3233,"ревность"
"крыса ревность",3022,"ревность"
"дорам воплощение ревности",2938,"ревность"
"воплощение ревности дорама",2937,"ревность"
"тик ток ревность",2929,"ревность"
"порно ревность",2849,"ревность"
"ревность люблю",2743,"ревность"
"тест на ревность из тик тока",2719,"ревность"
"скачать песню любовь ревность",2689,"ревность"
"ревность проходит",2528,"ревность"
"почему ревность",2504,"ревность"
"ревность к бывшим",2321,"ревность"
"текст на ревность",2233,"ревность"
"где ревность",2225,"ревность"
"тест на ревность для девушек",2162,"ревность"
"ревность слушать",2161,"ревность"
"многомерная ревность",2147,"ревность"
"многомерный тест на ревность",2117,"ревность"
"ревность дорама с русской",2113,"ревность"
"лепс ревность",2084,"ревность"
