phrase,frequency,seed
"резильентность",1186,"резильентность"
"резильентность",1186,"резильентность"
"резильентность это простыми",147,"резильентность"
"резильентность это простыми словами",130,"резильентность"
"резильентность в психологии это",94,"резильентность"
"развитие резильентности",37,"резильентность"
"шкала резильентности",30,"резильентность"
"жизнестойкость резильентность",29,"резильентность"
"понятие резильентности",27,"резильентность"
"психологическая резильентность это",24,"резильентность"
"концепция резильентности",20,"резильентность"
"резильентности в экономике",18,"резильентность"
"резильентность это простыми словами в психологии",12,"резильентность"
"краткая шкала резильентности",10,"резильентность"
"краткая шкала резильентности brs",9,"резильентность"
"кто изучал резильентность в первоисточниках анализ",7,"резильентность"
"резильентность в образовании это",5,"резильентность"
"резильентность или резилентность",5,"резильентность"
