phrase,frequency,seed
"сепарация",50834,"сепарация"
"сепарация",50834,"сепарация"
"сепарация от родителей",7386,"сепарация"
"слово сепарация",3038,"сепарация"
"сепарация это простыми",2749,"сепарация"
"сепарация это простыми словами",2248,"сепарация"
"кризис сепарации",1997,"сепарация"
"сепарация взрослого",939,"сепарация"
"сепарация зубов",912,"сепарация"
"прошла сепарацию",810,"сепарация"
"кризис сепарации у ребенка",791,"сепарация"
"сепарация в психологии",720,"сепарация"
"сепарация от матери",713,"сепарация"
"сепарация от детей",705,"сепарация"
"сепарация молока",677,"сепарация"
"после сепарации",644,"сепарация"
"сепарация листков",617,"сепарация"
"сепарация в год",605,"сепарация"
"сепарация газа",599,"сепарация"
"сепарация от мамы",573,"сепарация"
"процесс сепарации",554,"сепарация"
"про сепарацию",553,"сепарация"
"сепарация перикарда",528,"сепарация"
"сепарация от родителей возраст",513,"сепарация"
"период сепарации",501,"сепарация"
"произошла сепарация",490,"сепарация"
"магнитная сепарация",480,"сепарация"
"сепарация во взрослом возрасте",471,"сепарация"
"сепарация листков перикарда",456,"сепарация"
"сепарация от родителей взрослым",444,"сепарация"
"сепарация от родителей во взрослом возрасте",371,"сепарация"
"как пройти сепарацию",364,"сепарация"
"как проходит сепарация",364,"сепарация"
"что значит сепарация",328,"сепарация"
"сепарация детей от родителей",319,"сепарация"
"этапы сепарации",310,"сепарация"
"установки сепарации",303,"сепарация"
"норма сепарации",291,"сепарация"
"низкотемпературная сепарация",282,"сепарация"
"сепарация от бывшего",274,"сепарация"
"психологическая сепарация",270,"сепарация"
"система сепарации",264,"сепарация"
"сепарация в каком возрасте",256,"сепарация"
"сепарация во сколько",256,"сепарация"
"подростковая сепарация",250,"сепарация"
"сепарация хлебова",248,"сепарация"
"сепарация вероника",247,"сепарация"
"сепарация вопросы",236,"сепарация"
"сепарация нефти",233,"сепарация"
"книги про сепарацию",231,"сепарация"
"не прошедшая сепарация",230,"сепарация"
"сепарация в отношениях",228,"сепарация"
"признаки сепарации",225,"сепарация"
"период сепарации у детей",221,"сепарация"
"метод сепарации",220,"сепарация"
"вероника хлебова сепарация",215,"сепарация"
"сепарация жидкостей",213,"сепарация"
