phrase,frequency,seed
"синдром выгорания",10819,"синдром выгорания"
"синдром выгорания",10819,"синдром выгорания"
"синдром выгорания лакорн",5127,"синдром выгорания"
"синдром эмоционального выгорания",2434,"синдром выгорания"
"синдром выгорания озвучка",2147,"синдром выгорания"
"синдром выгорания русская озвучка",1851,"синдром выгорания"
"серия синдрома выгорания лакорн",1681,"синдром выгорания"
"синдром выгорания лакорн озвучка",1582,"синдром выгорания"
"смотреть синдром выгорания",1303,"синдром выгорания"
"синдром выгорания лакорн с русской",1256,"синдром выгорания"
"синдром выгорания лакорн с русской озвучкой",1212,"синдром выгорания"
"смотреть лакорн синдром выгорания",1081,"синдром выгорания"
"синдром психологического выгорания",842,"синдром выгорания"
"синдром профессионального выгорания",805,"синдром выгорания"
"синдром эмоционально психологического выгорания",790,"синдром выгорания"
"синдром эмоционального выгорания проявляется",759,"синдром выгорания"
"синдром выгорания смотреть с русской озвучкой",734,"синдром выгорания"
"психологических характеристиках проявляется синдром эмоционального выгорания",710,"синдром выгорания"
"каких психологических характеристиках проявляется синдром эмоционального выгорания",708,"синдром выгорания"
"синдром выгорания лакорн смотреть с озвучкой",652,"синдром выгорания"
"смотреть лакорн синдром выгорания с русской",649,"синдром выгорания"
"синдром выгорания лакорн с русской озвучкой смотреть",647,"синдром выгорания"
"синдром выгорания 5",626,"синдром выгорания"
"сериал синдром выгорания",564,"синдром выгорания"
"синдром выгорания 1",522,"синдром выгорания"
"синдром выгорания 5 серия",509,"синдром выгорания"
"профилактика синдрома выгорания",479,"синдром выгорания"
"синдром выгорания 2025",446,"синдром выгорания"
"профессиональный синдром эмоционального выгорания",440,"синдром выгорания"
"синдром выгорания дорама",405,"синдром выгорания"
"2 синдром выгорания",385,"синдром выгорания"
"синдром выгорания лакорн 5",378,"синдром выгорания"
"синдром выгорания 8",374,"синдром выгорания"
"синдром выгорания сериал 2025 2026",342,"синдром выгорания"
"синдром выгорания 5 озвучка",341,"синдром выгорания"
"синдром выгорания смотреть бесплатно",327,"синдром выгорания"
"лакорн синдром выгорания 5 серия",327,"синдром выгорания"
"синдром выгорания 1 серия",318,"синдром выгорания"
"синдром выгорания смотреть онлайн",318,"синдром выгорания"
"синдром выгорания 3",307,"синдром выгорания"
"синдром выгорания 5 серия озвучка",305,"синдром выгорания"
"синдром выгорания 8 серия",299,"синдром выгорания"
"синдром выгорания 10",281,"синдром выгорания"
"синдром выгорание лакорн смотреть онлайн",280,"синдром выгорания"
"синдром выгорания 6",276,"синдром выгорания"
"смотреть бесплатно синдром выгорания русская озвучка",271,"синдром выгорания"
"синдром выгорания лакорн 1",267,"синдром выгорания"
"смотреть бесплатно лакорн синдром выгорания",262,"синдром выгорания"
"синдром выгорания онлайн бесплатно",256,"синдром выгорания"
"лакорн синдром выгорания 8",248,"синдром выгорания"
"профилактика синдрома эмоционального выгорания",245,"синдром выгорания"
"синдром выгорания 5 серия русская озвучка",244,"синдром выгорания"
"синдром эмоционального выгорания вопросы",244,"синдром выгорания"
"синдром выгорания 9",240,"синдром выгорания"
"синдром выгорания лакорн 1 серия",238,"синдром выгорания"
"синдром хронического выгорания",234,"синдром выгорания"
"синдром выгорания 6 серия",221,"синдром выгорания"
"синдром выгорания лакорн с русской бесплатно",215,"синдром выгорания"
"лакорн синдром выгорания смотреть онлайн бесплатно",212,"синдром выгорания"
