phrase,frequency,seed
"соматизация",1125,"соматизация"
"соматизация",1125,"соматизация"
"соматизация тревоги",108,"соматизация"
"соматизация расстройств",64,"соматизация"
"соматизация это в психологии",60,"соматизация"
"шкала соматизации",52,"соматизация"
"соматизация депрессии",49,"соматизация"
"реакция соматизации",45,"соматизация"
"опросник соматизации",43,"соматизация"
"склонность к соматизации",36,"соматизация"
"механизм соматизации",34,"соматизация"
"соматизация боли",31,"соматизация"
"защитный механизм соматизация",23,"соматизация"
"модели соматизации",21,"соматизация"
"соматизация это простыми словами",17,"соматизация"
"соматизация стресса",17,"соматизация"
"опросник дистресса депрессии тревоги и соматизации",16,"соматизация"
"соматизация конфликта это",14,"соматизация"
"склонность к соматизации конфликта",14,"соматизация"
"факторы соматизации",14,"соматизация"
"соматизация переживаний",10,"соматизация"
"психологические защиты соматизация",9,"соматизация"
"соматизация тревоги это в психологии",8,"соматизация"
"соматизация аффекта",8,"соматизация"
"пример соматизации",7,"соматизация"
"клод смаджа горе меланхолия и соматизация",7,"соматизация"
"соматизация психических расстройств",7,"соматизация"
"соматизация эмоций",7,"соматизация"
"механизм защиты соматизация",7,"соматизация"
"тест на соматизацию",5,"соматизация"
