phrase,frequency,seed
"соперничество",172267,"соперничество"
"соперничество",172267,"соперничество"
"жарки соперничества",112427,"соперничество"
"жаркого соперничества",112346,"соперничество"
"жаркое соперничество",112346,"соперничество"
"соперничество сериал",48734,"соперничество"
"дружеское соперничество",41534,"соперничество"
"жаркое соперничество сериал",39651,"соперничество"
"сериал жаркого соперничества",39651,"соперничество"
"смотреть соперничество",35927,"соперничество"
"жарок соперничество смотреть",29341,"соперничество"
"жаркого соперничества смотреть",29337,"соперничество"
"жаркое соперничество смотреть",29337,"соперничество"
"соперничество 2025",21548,"соперничество"
"соперничество сериал 2025",21192,"соперничество"
"серии жаркого соперничества",21156,"соперничество"
"соперничество дорама",18038,"соперничество"
"дружеское соперничество дорам",16986,"соперничество"
"дружеское соперничество дорама",16975,"соперничество"
"жаркое соперничество 2025",15530,"соперничество"
"жаркое соперничество сериал с 2025",13612,"соперничество"
"жаркое соперничество сериал с 2025 г",13471,"соперничество"
"смотреть сериал соперничество",11769,"соперничество"
"русское соперничество",11390,"соперничество"
"жаркое соперничество сезоны",11219,"соперничество"
"жаркое соперничество сериал смотреть",10993,"соперничество"
"сериал жаркого соперничество смотреть",10993,"соперничество"
"соперничество смотреть онлайн",9922,"соперничество"
"соперничество 1",9775,"соперничество"
"соперничество 2",9407,"соперничество"
"жаркое соперничество онлайн",8924,"соперничество"
"жаркое соперничество смотреть онлайн",8476,"соперничество"
"соперничество 1 серия",8206,"соперничество"
"жаркое соперничество на русском",7586,"соперничество"
"дружеское соперничество сериал",7264,"соперничество"
"соперничество смотреть бесплатно",6572,"соперничество"
"соперничество актеры",6505,"соперничество"
"русское соперничество смотреть",6350,"соперничество"
"жаркое соперничество 2",6260,"соперничество"
"дружеское соперничество 2025",5978,"соперничество"
"жаркое соперничество 1",5898,"соперничество"
"дружеское соперничество 2025 сериал",5870,"соперничество"
"жаркое соперничество сериал сезон",5775,"соперничество"
"жаркое соперничество бесплатно",5764,"соперничество"
"смотреть дружеское соперничество",5454,"соперничество"
"соперничество смотреть онлайн бесплатно",5439,"соперничество"
"жаркое соперничество смотреть бесплатно",5272,"соперничество"
"соперничество сериал смотреть онлайн",5231,"соперничество"
"жаркое соперничество сериал онлайн",5074,"соперничество"
"жаркое соперничество сериал смотреть онлайн",5057,"соперничество"
"соперничество книга",4964,"соперничество"
"1 серия жаркого соперничества",4924,"соперничество"
"жаркое соперничество 1 серия",4924,"соперничество"
"жаркое соперничество книга",4650,"соперничество"
"жаркое соперничество субтитры",4627,"соперничество"
