phrase,frequency,seed
"стыд за себя",525,"стыд за себя"
"стыд за себя",525,"стыд за себя"
"чувство стыда за себя",102,"стыд за себя"
"испытываю стыд за себя",91,"стыд за себя"
"стыд за самого себя",54,"стыд за себя"
"чувствую стыд за себя",44,"стыд за себя"
"постоянный стыд за себя",26,"стыд за себя"
"стыд во сне за себя",24,"стыд за себя"
"испытываю чувство стыда за себя",22,"стыд за себя"
"стыд за прошлого себя",20,"стыд за себя"
"испытывать во сне стыд за себя",19,"стыд за себя"
"как избавиться от стыда за себя",16,"стыд за себя"
"как называется стыд за себя",12,"стыд за себя"
"стыд за себя настоящую",11,"стыд за себя"
"стыд за себя психология",11,"стыд за себя"
"как справиться со стыдом за себя",9,"стыд за себя"
"сонник испытывать стыд во сне за себя",6,"стыд за себя"
"почему человек испытывает стыд за себя",6,"стыд за себя"
