phrase,frequency,seed
"тоска",299933,"тоска"
"тоска",299933,"тоска"
"тоска чехов",39862,"тоска"
"тосков",39041,"тоска"
"тоск",39024,"тоска"
"чех тоска",36747,"тоска"
"песня тоска",23122,"тоска"
"тоска тамбов",22063,"тоска"
"тоск тамбов",21649,"тоска"
"в душе тоска",16146,"тоска"
"тоска скачать",15462,"тоска"
"тоска кратко",14632,"тоска"
"бесконечная тоска",14070,"тоска"
"личный тоска",13585,"тоска"
"тоска показания",13530,"тоска"
"тоска в разлуке",13451,"тоска"
"личный тоск",13262,"тоска"
"тоск показания",13150,"тоска"
"бесконечная тоска в разлуке",12891,"тоска"
"щемящая тоска",12824,"тоска"
"щемит тоска",12821,"тоска"
"щемящая душу тоска",12515,"тоска"
"щемит в душе тоска",12331,"тоска"
"тоска личный кабинет",11248,"тоска"
"тоск кабинет",11209,"тоска"
"тоск личный кабинет",11202,"тоска"
"тоск показания тамбов",10182,"тоска"
"чехов тоска краткое",10025,"тоска"
"тоска содержание",9636,"тоска"
"тоска читать",9388,"тоска"
"кратчайшее содержание тоска",9368,"тоска"
"тоска краткое содержание",9360,"тоска"
"тоск тамбов личный",8669,"тоска"
"скачать песню тоска",8131,"тоска"
"тоска смотреть",8115,"тоска"
"русская тоска",8087,"тоска"
"тоска сериал",7853,"тоска"
"передать тоску",7764,"тоска"
"тоска текст",7717,"тоска"
"передать показания тоску",7501,"тоска"
"тоск счетчики",7383,"тоска"
"тоск показания счетчика",7303,"тоска"
"тоск передать",7200,"тоска"
"передать показания тоск",7130,"тоска"
"личный кабинет тоска тамбов",6821,"тоска"
"тоск тамбов кабинет",6803,"тоска"
"личный кабинет тоска тамбов тоск",6801,"тоска"
"тоск тамбов личный кабинет",6801,"тоска"
"многоточие тоска",6737,"тоска"
"тоска суть",6657,"тоска"
"показания счетчиков тоску тамбов",6596,"тоска"
"многоточие в душе тоска",6592,"тоска"
"чехов тоска содержание",6567,"тоска"
"тоска п",6510,"тоска"
"многоточие щемит тоска",6497,"тоска"
"чехов тоска кратчайшее содержание",6480,"тоска"
"чехов тоска краткое содержание",6477,"тоска"
"чехов тоска читать",6436,"тоска"
