phrase,frequency,seed
"фигура и фон",1229,"фигура и фон"
"фигура и фон",1229,"фигура и фон"
"белый фон и фигура",112,"фигура и фон"
"фон и фигура в гештальте",103,"фигура и фон"
"фигура и фон терапия",81,"фигура и фон"
"фигура и фон в гештальт терапии",68,"фигура и фон"
"фигура и фон девушка",57,"фигура и фон"
"фигура и фон картинки",56,"фигура и фон"
"линии фигуры и фона",47,"фигура и фон"
"восприятие фигура и фон",38,"фигура и фон"
"рисунок фигуры и фона",37,"фигура и фон"
"принцип фигура и фон",27,"фигура и фон"
"фигура и фон техники",27,"фигура и фон"
"эффект фигуры и фона",24,"фигура и фон"
"закон фигуры и фона",23,"фигура и фон"
"понятие фигуры и фона",22,"фигура и фон"
"фигура и фон психология",14,"фигура и фон"
"фигура и фон в гештальтпсихологии",10,"фигура и фон"
"феномен фон и фигура",9,"фигура и фон"
"теория фигуры и фона",8,"фигура и фон"
"расстройства фигуры и фона",8,"фигура и фон"
"игнатий журавлев гештальт фон и фигура",5,"фигура и фон"
"фигура и фон в нейрографике",5,"фигура и фон"
"фигура и фон в отношениях",4,"фигура и фон"
