phrase,frequency,seed
"фрустрация",44972,"фрустрация"
"фрустрация",44972,"фрустрация"
"слово фрустрация",5110,"фрустрация"
"фрустрация это простыми",5046,"фрустрация"
"фрустрация это простыми словами",4163,"фрустрация"
"фрустрация в психологии",1140,"фрустрация"
"состояние фрустрации",964,"фрустрация"
"эмоциональная фрустрация",704,"фрустрация"
"какие фрустрации",641,"фрустрация"
"фрустрацией называется",619,"фрустрация"
"b фрустрация",602,"фрустрация"
"стресс фрустрация",596,"фрустрация"
"конфликт фрустрации",574,"фрустрация"
"фрустрация человека",531,"фрустрация"
"ситуация фрустрации",526,"фрустрация"
"фрустрации розенцвейг",465,"фрустрация"
"способы фрустрации",463,"фрустрация"
"ответ на фрустрации",439,"фрустрация"
"способы разрешения фрустрации",431,"фрустрация"
"переживание фрустрации",373,"фрустрация"
"фрустрация это простыми словами в психологии",357,"фрустрация"
"суть фрустрации",337,"фрустрация"
"низкая фрустрация",330,"фрустрация"
"психологические фрустрации",317,"фрустрация"
"эмоциональное состояние фрустрация",313,"фрустрация"
"тест фрустрации розенцвейга",299,"фрустрация"
"теста фрустрации розенцвейга",299,"фрустрация"
"реакция фрустрации",299,"фрустрация"
"чувство фрустрации",298,"фрустрация"
"аффект фрустрация",291,"фрустрация"
"психическая фрустрация",266,"фрустрация"
"фрустрация эмоций",260,"фрустрация"
"методика фрустрация",235,"фрустрация"
"фрустрация и прокрастинация",232,"фрустрация"
"рисуночная фрустрация",232,"фрустрация"
"фрустрация личности",232,"фрустрация"
"фрустрация возникает",222,"фрустрация"
"фрустрация агрессия",221,"фрустрация"
"сексуальная фрустрация",220,"фрустрация"
"толерантность к фрустрации",218,"фрустрация"
"фрустрация синоним",216,"фрустрация"
"фрустрации влияние",215,"фрустрация"
"аффект стресс фрустрация",215,"фрустрация"
"фрустрация психические состояния",214,"фрустрация"
"фрустрация примеры",195,"фрустрация"
"рисуночная фрустрация розенцвейга",191,"фрустрация"
"вызвать фрустрацию",189,"фрустрация"
"страх фрустрации",178,"фрустрация"
"типы фрустрации",177,"фрустрация"
"правильная фрустрация",174,"фрустрация"
"1 фрустрация",171,"фрустрация"
