phrase,frequency,seed
"эффект Даннинга-Крюгера",10370,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера",10370,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера простыми словами",653,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера что это такое простыми",401,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера когнитивное искажение",50,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера кратко",47,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера простыми словами кратко",43,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера примеры",42,"эффект Даннинга-Крюгера"
"эффект самозванца даннинга крюгера",31,"эффект Даннинга-Крюгера"
"синдром самозванца и эффект даннинга крюгера",29,"эффект Даннинга-Крюгера"
"суть эффекта даннинга крюгера",25,"эффект Даннинга-Крюгера"
"обратный эффект даннинга крюгера",24,"эффект Даннинга-Крюгера"
"люди с эффектом даннинга крюгера",23,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера объяснение",23,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера книга",21,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера видео",20,"эффект Даннинга-Крюгера"
"даннинга крюгера эффект простое объяснение",20,"эффект Даннинга-Крюгера"
"про эффект даннинга крюгера",20,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера график",18,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера долбоебы",18,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера в психологии",17,"эффект Даннинга-Крюгера"
"выражение в эффект даннинга крюгера это",15,"эффект Даннинга-Крюгера"
"в чем заключается эффект даннинга крюгера",14,"эффект Даннинга-Крюгера"
"что значит эффект даннинга крюгера",12,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера мемы",9,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера статья",8,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера mp4",7,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера наоборот",6,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера анекдот",5,"эффект Даннинга-Крюгера"
"генно модифицированный эффект даннинга крюгера",5,"эффект Даннинга-Крюгера"
"эффект даннинга крюгера название по простому",5,"эффект Даннинга-Крюгера"
