category,cluster,phrase,frequency
Другое,C_relationships,негативно,495518
Другое,B_emotions,результаты анализов,486585
Другое,B_emotions,апатиты,485412
Другое,B_emotions,все будет хорошо,482474
Другое,B_emotions,бессонница,478104
Другое,B_emotions,надя,472210
Другое,C_relationships,банк это,464735
Другое,B_emotions,ее парень,460227
Другое,B_emotions,скучно,453956
Другое,G_therapy_practices,система органов,450567
Другое,B_emotions,добросовестность,443398
Другое,B_emotions,другая жизнь,426548
Другое,B_emotions,жизнь других,426536
Другое,B_emotions,типы личности,419459
Другое,D_self_knowledge,мотивация,416985
Другое,F_mak_art_ai,mac m,416037
Другое,B_emotions,ненависть,413938
Другое,B_emotions,критики,412030
Другое,B_emotions,женская консультация,403187
Другое,D_self_knowledge,суета,384325
Другое,B_emotions,характер это,383729
Другое,B_emotions,на войне как на войне,372440
Другое,C_relationships,взаимоотношения,366975
Другое,B_emotions,той ночью,365828
Другое,D_self_knowledge,что означает имя,365270
Другое,G_therapy_practices,методические рекомендации,363336
Другое,B_emotions,рекомендуется,358657
Другое,B_emotions,игрушечный,355965
Другое,B_emotions,doll,353659
Другое,B_emotions,рубероид рпп,350371
Другое,B_emotions,рпп 300 и рпп,350160
Другое,C_relationships,будь со мной,348365
Другое,B_emotions,синдром это,344682
Другое,B_emotions,я скучаю,342421
Другое,B_emotions,проект это,333033
Другое,B_emotions,критерии оценивания,328571
Другое,B_emotions,уверенно,325464
Другое,B_emotions,о море море,318329
Другое,B_emotions,психосоматика,316604
Другое,B_emotions,психосоматики,316552
Другое,B_emotions,чувства это,314864
Другое,C_relationships,банкинг,311437
Другое,C_relationships,такая как все,308915
Другое,B_emotions,шизофрения,304506
Другое,B_emotions,вся правда,304321
Другое,D_self_knowledge,выбор это,303962
Другое,D_self_knowledge,симптом это,303013
Другое,B_emotions,эмоция,301178
Другое,A_psycho_tests,псих,301046
Другое,B_emotions,технониколь рпп,300204
Другое,B_emotions,рубероид технониколь рпп,300198
Другое,B_emotions,рубероид ркп рпп,300192
