откуда,куда,дата_откуда,дата_куда,текст_ссылки
pochemu-snyatsya-sny,veschie-sny,2026-09-05,2026-09-07,почему сон кажется вещим
pochemu-snyatsya-koshmary,snitsya-padenie,2026-09-03,2026-09-04,снится падение
pochemu-snyatsya-koshmary,snitsya-izmena,2026-09-03,2026-09-07,снится измена
pochemu-snyatsya-koshmary,snitsya-dom,2026-09-03,2026-09-05,рушится дом
povtoryayuschiesya-sny,snitsya-mashina,2026-09-04,2026-09-07,машина без тормозов
snitsya-medved,snitsya-pozhar,2026-09-06,2026-09-07,снится пожар
snitsya-medved,snyatsya-griby,2026-09-06,2026-09-07,снятся грибы
snitsya-krov,snyatsya-volosy,2026-09-06,2026-09-07,выпадают волосы
snitsya-mama,snitsya-kladbische,2026-09-06,2026-09-07,к чему снится кладбище
snitsya-voda,snitsya-plach,2026-09-04,2026-09-07,вы плачете
dnevnik-snov,veschie-sny,2026-09-05,2026-09-07,почему сны кажутся вещими
razbor-snov-po-jungu,snyatsya-zuby,2026-09-02,2026-09-03,Выпадающие зубы
razbor-snov-po-jungu,snitsya-rebenok,2026-09-02,2026-09-03,ребёнок
razbor-snov-po-jungu,snyatsya-zuby,2026-09-02,2026-09-03,зубы
snitsya-padenie,snitsya-loshad,2026-09-04,2026-09-07,снится лошадь
snitsya-padenie,snitsya-dom,2026-09-04,2026-09-05,"дом, который рушится"
