годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,"Умерла подруга: как пережить горе, которое не признают",umerla-podruga,Психология,/artterapy,46619,умершей подруги (16719) · умерла подруга (16091) · подруга смерть (6943) · памяти подруги (6866),
да,Муж изменил с подругой: как пережить двойное предательство,muzh-izmenil-s-podrugoy,Отношения,/artterapy,53918,изменил с подругой (22715) · измена с подругой (16936) · муж изменяет с подругой (6809) · изменила мужу с подругой (6809) · предательство подруга муж (649),
да,Дружба с коллегами: где проходит граница на работе,druzhba-s-kollegami,Отношения,/coach,12896,подруга коллега (7913) · общение с коллегами (3592) · общение с бывшими коллегами (484) · общение на работе с коллегами (356) · профессиональное общение с коллегами (331) · правила общения с коллегами (220),
да,Почему люди сплетничают и что стоит за этим на самом деле,pochemu-lyudi-spletnichayut,Психология,/artterapy,12082,сплетни людей (2935) · сплетни суть (2680) · виды сплетен (1090) · сплетни почему (994) · сплетни рассказывать (860) · сплетни зло (821) · сплетни женщин (765) · сплетня и клевета (526) · распространяет сплетни (518) · обсуждать сплетни (477) · сплетни почему люди (214) · причины сплетен (202),
нет,Бывает ли настоящая женская дружба,,,,57109,,"каннибализация: otnosheniya-mezhdu-zhenschinami держит раздел «Миф «женщины не дружат»» и lsiKeyword «дружба между женщинами». Интент закрыт, вторая статья отнимет трафик у пиллара"
нет,Дружба между мужчиной и женщиной: возможна ли,,,,55000,,дубль druzhba-mezhdu-muzhchinoy-i-zhenschinoy (primaryKeyword совпадает буквально)
нет,Женский коллектив на работе: как в нём выжить,,,,1500,,каннибализация: раздел «Женский коллектив: близость и её изнанка» в otnosheniya-mezhdu-zhenschinami + ne-prinyali-v-kollektive
нет,Токсичный коллектив на работе,,,,1795,,«токсичный коллектив» уже стоит в lsiKeywords и отдельным разделом в ne-prinyali-v-kollektive; рядом mobbing-na-rabote и bulling-na-rabote
нет,Новый коллектив: как себя вести первые недели,,,,1857,,дубль pervyy-den-na-novoy-rabote + ne-prinyali-v-kollektive
нет,Сплетни на работе / коллеги сплетничают,,,,1933,,"дубль kollegi-spletnichayut (primaryKeyword «коллеги сплетничают обо мне», lsi «сплетни на работе»)"
нет,Как реагировать на сплетни о себе,,,,1251,,«как реагировать на сплетни» и «что делать если о тебе сплетничают» уже в lsiKeywords kollegi-spletnichayut
нет,Обсуждают за спиной,,,,2439,,"частоту делает песня Гуфа «сколько боли за душой, сколько сплетен за спиной»; чистый остаток дублирует kollegi-spletnichayut (lsi «обсуждают за спиной на работе»)"
нет,Предательство подруги,,,,5051,,дубль predala-podruga
нет,Ссора с подругой: причины и примирение,,,,1195,,дубль ssora-s-podrugoy
нет,Подруга завидует,,,,246,,"дубль podruga-zaviduet-mne; единственная фраза сида «зависть подруги» — «зависть подруги фильм», кино"
нет,Подруга перестала общаться / отдалилась,,,,7066,,дубль podruga-otdalilas
нет,Как отдалиться от подруги,,,,0,,дубль kak-otdalitsya-ot-podrugi
нет,Токсичная подруга,,,,0,,дубль toksichnaya-druzhba
нет,Нет подруг / мало подруг / как найти подругу,,,,47022,,"дубль сразу трёх: net-druzey, net-blizkogo-druga, kak-zavesti-druzey-vzroslomu"
нет,"Как поддержать подругу, которой плохо",,,,13670,,дубль chto-skazat-cheloveku-kotoromu-ploho + slova-podderzhki-pri-potere-blizkogo + kak-podderzhat-posle-rasstavaniya
нет,Подруга вышла замуж и пропала,,,,12754,,"пересекается с vse-podrugi-zamuzhem и podruga-otdalilas; «свадьба подруги» и «подруга невесты» — платья, тосты и подарки, не тема"
нет,Подруга обесценивает,,,,0,,дубль podruga-obescenivaet
нет,Односторонняя дружба,,,,0,,дубль odnostoronnyaya-druzhba
нет,Подруга обиделась и молчит,,,,4832,,дубль kak-otpustit-obidu + na-menya-obidelis-i-molchat
нет,Подруга детства: почему выросли врозь,,,,63649,,"«аккуратная и симпатичная подруга детства, с которой я играл» — название манги/аниме, весь куст навигационный"
нет,Совместимость знаков зодиака в женской дружбе,,,,5000,,"эзотерика — запрет ТЗ и эзо-фильтр сборки (лев, овен, телец, скорпион, водолей, близнецы, весы, рыбы, дева, стрелец, козерог, рак)"
нет,"Молитва и заговор от сплетен, таро-расклад «сплетни за спиной»",,,,3000,,эзотерика — запрет ТЗ и эзо-фильтр сборки
нет,Клевета и статья за сплетни,,,,811,,юриспруденция — чужая тема
нет,Сплетни в школе / сплетни у одноклассников,,,,536,,"частота ниже порога; «одноклассники» в половине запросов — соцсеть, а не класс"
нет,Ребёнок и одноклассники,,,,4462,,"сид из двух фраз, интент не читается; ближайшее закрыто u-rebenka-net-druzey и zastenchivyy-rebenok"
нет,"План работы коллектива, сплочение коллектива",,,,847,,"педагогическая и HR-нормативка, чужая тема"
нет,Влюбилась в подругу,,,,11960,,"тема ориентации — решение владельца, без согласования не беру"
нет,Пьющая подруга,,,,8310,,"одна фраза на весь куст; зависимость — клиника, запрет ТЗ"
нет,"Подруга беременна / родила, а я нет",,,,26624,,"дыра в корпусе есть, но эта волна интент не подтверждает: частоту «беременной подруги» делает порно-выдача, «с рождением сына/дочери» — поздравления"
нет,Качества настоящей подруги / типы подруг,,,,100000,,"запросы обслуживают поздравления и школьные сочинения, а не психологический интент"
нет,Заклятые подруги / подруга-соперница,,,,41370,,"мемы и видео; чистый остаток закрыт podruga-zaviduet-mne, chernaya-i-belaya-zavist, chuzhaya-zavist"
нет,Сплетни — словарная статья «что это простыми словами»,,,,5229,,"схлопнута в «Почему люди сплетничают», иначе две статьи на один интент"
нет,Общение с бывшими коллегами,,,,484,,схлопнуто в «Дружба с коллегами»
нет,Порно-хвост сида «подруга»,,,,0,,около 35% массива сида: не тема
нет,"Поздравления, открытки, подарки и тосты подруге",,,,0,,около 20% массива сида «подруга»: не тема
