годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
нет,отсутствие ребенка в школе,,,,98852,,администрация: заявления и записки об отсутствии
нет,родители дети школа,,,,86872,,"склейка лемматизатора, навигационный куст"
нет,уроки с ребенком,,,,68105,,дубль: rebenok-ne-hochet-delat-uroki
нет,учитель и дети,,,,61280,,"склейка: картинки, стихи, День учителя"
нет,заявление в школу об отсутствии ребенка,,,,59535,,администрация: образцы заявлений
нет,день детей в школе,,,,57757,,школьные мероприятия и праздники
нет,детям в школу можно,,,,55797,,склейка лемматизатора
да,Плохие оценки у ребёнка: как перестать стыдиться двоек,plohie-otsenki-u-rebenka,Детская психология,/artterapy,13999,ребенок плохие оценки (1707) · оценки ребенка в школе (4212) · двойки детей в школе (873) · ребенок получил 2 в школе (576) · ребенок получил плохую оценку (237) · оценки важнее ребенка (926) · дети получают оценки (1868) · ставить детям оценки (1897) · оценка в жизни ребенка (536) · средние оценки детей (576) · оценки детям в четверти (277) · психолог дети оценки (314),
нет,школа сколько детей,,,,51928,,статистика и численность
нет,питание детей в школе,,,,51664,,школьное питание — отбраковка по ТЗ
нет,дети в школу идите,,,,43239,,склейка лемматизатора
нет,дети идут в школу,,,,43236,,склейка: даты начала учебного года
нет,учитель школа ребенок,,,,41230,,склейка лемматизатора
нет,ребенок в школу хожу,,,,39603,,склейка лемматизатора
нет,школа 2 дети,,,,37555,,навигация по номерам школ
нет,дети после школы,,,,32882,,"продлёнка и расписание, не переживание"
нет,ребенок со школы,,,,32541,,склейка лемматизатора
нет,работа школы детьми,,,,29748,,педагогика: организация работы школы
нет,дети в начальной школе,,,,27975,,педагогический обзор без интента
нет,школа самостоятельных детей,,,,26993,,"название частной школы, навигация"
нет,что делают дети в школе,,,,26204,,"детский вопрос-обзор, не переживание"
нет,должен ребенок в школе,,,,25163,,нормативка: права и обязанности
нет,дети сво в школе,,,,24356,,"льготы и статусы, не переживание"
нет,школа для детей с овз,,,,23313,,коррекционное образование
нет,почему ребенок в школу,,,,22738,,склейка лемматизатора
нет,школа дети 1 сентября,,,,21076,,праздник и линейка
нет,школа время детям,,,,21050,,расписание и продолжительность уроков
нет,дети россии школа,,,,20934,,новости и обзоры
нет,группа детей в школе,,,,19036,,педагогика: группы продлённого дня
нет,занятия детей в школе,,,,18827,,педагогика: внеурочные занятия
нет,школа интернат для детей,,,,16517,,выбор учреждения
нет,права ребенка в школе,,,,16408,,нормативка
нет,имеет ребенок в школе,,,,16101,,"склейка лемматизатора, нормативка"
нет,ребенок не ходит в школу,,,,13946,,дубль: rebenok-ne-hochet-v-shkolu
нет,забрал ребенка из школы,,,,12309,,"процедура: кто может забрать, доверенность"
нет,дети приходящие в школу,,,,11989,,склейка лемматизатора
нет,подготовка детей к школе 6,,,,11730,,подготовка и задания для дошкольников
нет,образование детей в школе,,,,11605,,обзор без интента
нет,перекус ребенку в школу,,,,11303,,еда и ланч-боксы
нет,данные на ребенка в школе,,,,11100,,"персональные данные, администрация"
нет,учитель ребенок и родитель,,,,10425,,"педагогическая связка, склейка"
нет,готовность ребенка к школе,,,,10411,,"диагностика готовности, тесты и методики"
нет,директору школы об отсутствии ребенка,,,,10387,,администрация: образцы заявлений
нет,проводить детей в школу,,,,10026,,склейка лемматизатора
нет,что подарить детям в школе,,,,9935,,подарки
нет,льготы детям в школе,,,,9663,,льготы и выплаты
нет,законы ребенка в школе,,,,9585,,нормативка
нет,объяснительная в школу об отсутствии ребенка,,,,9523,,администрация: образцы
нет,дети в школе 2 класс,,,,9485,,обзор по классам без интента
