годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
нет,,,,,467759,,«женщина после 40» — навигационный запрос: головная фраза сида без интента
нет,,,,,325602,,"«женщины в возрасте» — навигационный запрос: головная фраза сида, хвост порнографический"
нет,,,,,76450,,"«норма по возрастам у женщин» — медицина: анализы, гормоны, симптомы"
нет,,,,,55641,,«порно женщин в возрасте» — порно и запросы знакомств
нет,,,,,51971,,"«норма у женщин после 40» — медицина: анализы, гормоны, симптомы"
нет,,,,,43135,,«таблица возраста женщины» — внешность и косметология
нет,,,,,43016,,«возраст женщин в год» — возрастные нормы и таблицы
нет,,,,,42606,,"«крови у женщин после 40» — медицина: анализы, гормоны, симптомы"
да,Свекровь и деньги мужа: когда он содержит свою родню,svekrov-i-dengi-muzha,Отношения,/coach,4193,свекровь и деньги мужа · деньги и родители мужа · деньги и родственники мужа · сестра мужа и деньги · брат мужа и деньги · муж и деньги в семье,
нет,,,,,38050,,"«семейный бюджет» — бухгалтерия: учёт доходов и расходов, не психология"
нет,,,,,34713,,"«норма у женщин по возрасту таблица» — медицина: анализы, гормоны, симптомы"
нет,,,,,33026,,«женщины в возрасте россии» — навигационный запрос без темы
нет,,,,,32569,,«пенсия женщины возраст» — юридическое: пенсия
да,Бальзаковский возраст: сколько это лет и почему задевает,balzakovskiy-vozrast,Словарь,/online,5107,женщина бальзаковского возраста это сколько · женщина бальзаковского возраста это сколько лет · возраст женщины средних лет · женщины среднего возраста и старше · женщина старшего возраста,
да,Муж содержит бывшую семью: как не копить обиду за деньги,muzh-soderzhit-byvshuyu-semyu,Отношения,/coach,3253,ребенок мужа и деньги · бывшие дети мужа и деньги · бывшей не хватает денег · тратит алименты на себя · деньги мужа и жены · муж и деньги,
нет,,,,,27764,,"«организм женщины после 40» — медицина: анализы, гормоны, симптомы"
нет,,,,,26889,,"«инозитол для чего женщинам после 40» — медицина: анализы, гормоны, симптомы"
нет,,,,,26138,,«женщины пожилого возраста» — аудитория за пределами 25–50
