блок,название_блока,cta,тема,частота,тип_вопроса,объект,покрыто,ключи
33,Школа и учёба,/coach,отсутствие ребенка в школе,98852,обзор,школа ребенок,,отсутствие ребенка в школе · отсутствие ребенка в школе по семейным · отсутствие ребенка в школе по семейным обстоятельствам · заявление отсутствие ребенка в школе по семейным · образец об отсутствии ребенка в школе · образец отсутствия ребенка в школе по семейным · заявление на отсутствие ребенка в школе образец · как написать об отсутствии ребенка в школе · ребенок отсутствует в школе · отсутствие ребенка в школе в связи · родителям об отсутствии ребенка в школе · записка об отсутствии ребенка в школе образец · примеры отсутствия ребенка в школе · заявление что ребенок будет отсутствовать в школе · как пишут отсутствие ребенка в школе · шаблон отсутствия ребенка в школе · записка учителю об отсутствии ребенка в школе · как написать что ребенок отсутствовал в школе · заявление родителя об отсутствии ребенка в школе · бланк об отсутствии ребенка в школе
33,Школа и учёба,/coach,родители дети школа,86872,обзор,школа ребенок,,родители дети школа · школа дети сентябрь родителям · видео родители дети школа · родители дети школа собрание · родители дети школа 2026 · дети ждут школа родителей
33,Школа и учёба,/coach,уроки с ребенком,68105,обзор,уроки с ребенком,,уроки с ребенком · делать уроки с ребенком · уроки с ребенком 1 класс · работа уроки с ребенком · дети на уроке с учителем · уроки с ребенком видео · уроки с ребенком 2 класс · уроки английского с ребенком · учили с ребенком уроки · сижу на уроке с ребенком · уроки с ребенком картинки · уроки общения с ребенком · делаете ли уроки с ребенком · уроки с ребенком 3 лет · мама с ребенком делают уроки · готовить уроки с ребенком · как сделать уроки с ребенком · учитель делать уроки с ребенком · уроки с ребенком до года · уроки для ребенка с 1 года · уроки с ребенком прикол · уроки с ребенком репетитор · не хочу делать уроки с ребенком · видео делаем уроки с ребенком · мама с ребенком учат уроки
33,Школа и учёба,/coach,учитель и дети,61280,обзор,учитель и ребенок,,учитель и дети · учитель и дети в классе · с днем учителя учитель и дети · дети и родители день учителя · воспитатель учитель и дети · картинка учитель и дети · первый класс дети и учитель · видео учитель и дети · учитель доска и дети · учитель физкультуры и дети · учитель английского и дети · танец учитель и дети · учитель и дети погибли · учитель и дети рисунок · учитель и современные дети · особые дети и особые учителя · отцы и дети учитель · учителя и дети конфликты · учитель и дети 18 · учитель и одаренные дети · учитель и дети стихи · погибла в школе учителей и дети · какой учитель такие и дети · команда учителя и дети · учителя и умные дети
33,Школа и учёба,/coach,заявление в школу об отсутствии ребенка,59535,обзор,школа ребенок,,заявление в школу об отсутствии ребенка · образец заявление ребенку в школу · заявление ребенку в школу по семейным · заявление в школу ребенку по семейным обстоятельствам · написать заявление ребенку в школу · написать заявление в школу об отсутствии ребенка · заявление в школу об отъезде ребенка · подать заявление ребенка в школу · заявление на день ребенку в школу · пример заявления ребенка в школу · как писать заявление ребенку в школу · заявление в школу что ребенка не будет · шаблоны заявления ребенку в школу · заявление на отпуск в школу ребенку образец · заявление о переводе ребенка в школу · пример заявления в школу об отсутствии ребенка · заявление о переводе ребенка в другую школу · шаблон заявления в школу об отсутствии ребенка · заявление что ребенок пропустил школу · заявление в школу отпустить ребенка с урока · заявление в школу на отдых ребенка · заявление принят школу ребенку · бланк заявления в школу об отсутствии ребенка · написать заявление в школу отпустить ребенка · как заполнить заявление ребенку в школу · как пишется заявление ребенку в школу · заявление в школу принять ребенка · форма заявления в школу на отсутствие ребенка
33,Школа и учёба,/coach,день детей в школе,57757,обзор,школа ребенок,,день детей в школе · поведение детей в школе · учеба детей в школе · имена детей в школе · безопасность детей в школе · деятельность детей в школе · фото детей в школе · секс детей в школе · состояние здоровья детей в школе · много детей в школе · список детей в школе · в школе детей заставили · покажи детей в школе · учет детей в школе · игры для детей в школе · правила для детей в школе · выплаты на детей к школе · ответственность за детей в школе · расписание детей в школе · поддержка детей в школе · таблица детей в школе · информация для детей в школе · кружка для детей в школе · кружки для детей в школе · мероприятия для детей в школе · возраст детей в начальной школе · курсы для детей к школе · правила поведения в школе для детей · навыки детей в школе · фамилии детей в школе · пребывание детей в школе · нагрузка детей в школе · защита детей в школе · учат в школе для детей · обследование детей в школе · научить детей в школе · бесплатно кормить детей в школе · план год детей в школе · для детей в школе идеи · стихи о школе для детей
33,Школа и учёба,/coach,детям в школу можно,55797,обзор,школа ребенок,,детям в школу можно · детям про школу · подарки детям в школу · детям на день рождения в школу · подарок в школу детям на день · детям в школу сегодня · деньги детям в школу · детям можно в школу ходить · в какую школу лучше детям · вода детям в школу · подарки на др в школу детям · компенсация детям в школу · какого числа детям в школу · в школу осенним детям · детям можно идти в школу · какого сентября детям в школу · сертификаты детям в школу · когда детям в школу в 2026 · что подарить детям в школу на др · когда детям в школу в сентябре · верните детям школу · детям в школу идти учиться · подарки детям в школу 1 класс · детям нужно ходить в школу · в понедельник детям в школу · детям в школу в октябре · подарки детям в школу 3 класс · детям школу отменили · прически детям в школу · когда детям в школу в 2026 году · подарки на новый детям в школу · какова детям в школу · какие выплаты детям в школу · подарки на новый год детям в школу · подарки детям в школу от именинника · в школу на 23 детям · в августе детям на школу · детям в школу надо идти · в школу ли сегодня детям · что детям носить в школу
33,Школа и учёба,/coach,оценки ребенка,52633,обзор,оценки ребенка,,оценки ребенка · оценка развития ребенка · оценка родителями ребенка · оценка состояния ребенка · критерии оценки ребенка · ставить детям оценки · ребенок плохие оценки · общая оценка ребенка · поведение ребенка оценка · комплексная оценка ребенка · психическая оценка ребенка · какие оценки у ребенка · оценка рождения ребенка · оценки важнее ребенка · эмоциональная оценка ребенка · оценки ребенка с овз · оценка индивидуального развития ребенка · методы оценки развития ребенка · госуслуги оценка ребенка · педагогическая оценка развития ребенка · оценка риска ребенка · оценка прав ребенка · оценка речи ребенка · психологическая оценка ребенка · ребенку занизили оценку · оценка возможностей ребенка · оценка безопасности ребенка · оценка адаптации ребенка · комплексная оценка состояния ребенка · оценка ребенка по апгар · оценка ребенка 7 лет · оценка в жизни ребенка · оценка особенностей развития ребенка · оценка развития ребенка проводится · ребенок исправляет оценки · критерии оценки развития ребенка · оценка познавательного развития ребенка · оценка социального развития ребенка · учитель занижает оценки ребенку · оценка новорожденного ребенка
33,Школа и учёба,/coach,школа сколько детей,51928,сколько,школа ребенок,,школа сколько детей · сколько дети учатся в школе · школа 1 сколько детей · во сколько лет дети в школу · сколько собрать ребенка в школу · типы детей в школе · сколько детей пошло в школу · сколько должно быть детей в школе · сколько дети ходят в школу · сколько часов дети в школе · во сколько дети идут в школу · во сколько отдавать ребенка в школу · сколько лет дети учатся в школе · сколько детей погибло в школе · сколько погибших детей в школе · сколько ребенок может пропускать школу · сколько ребенок может пропустить школу · беслан школа сколько погибших детей · сколько детей в 5 школе · сколько детей погибло в школе беслана · во сколько лет дети идут в школу · сколько дней ребенок может пропускать школу · сколько дней ребенок может пропустить школу · сколько детей в 7 школе · сколько детей в школах россии · сколько детей в 3 школе · во сколько лет отдавать ребенка в школу · сколько погибло детей в беслане школе 2004 · сколько ребенок может отсутствовать в школе · виды школ для детей с овз · сколько детей в школе в среднем · виды обучения ребенка в школе · сколько детей на психолога в школе · сколько детей обучалось в школе · сколько дней дети учатся в школе
33,Школа и учёба,/coach,питание детей в школе,51664,обзор,школа ребенок,,питание детей в школе · питание детей сво в школе · бесплатное питание в школе для детей · питание детей инвалидов в школе · питание многодетных детей в школе · питание в школе для детей участников сво · ветеран боевых действий питание детей в школе · питание детей из многодетных семей в школе · питание детей в школе документы · право детей на питание в школе · горячее питание детей в школе · платное питание детей в школе · льгота на питание в школе для детей · питание детей в школе 5 класс · питание детей в начальной школе
