годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,Не хочу детей: нормально ли это и что стоит за решением,ne-hochu-detey,Психология,/artterapy,74191,я не хочу детей (32991) · не хочу иметь детей (3605) · не хочу рожать детей (3601) · очень очень не хочу детей (3416) · не хочу детей форум (2579) · поняла что не хочу ребенка (2472) · не хочу детей боюсь (2432) · можно ли не хотеть детей (1982) · не хочу ребенка психолог (1940) · не хочу детей вообще (1854) · не хочу детей причины (1737) · как можно не хотеть детей (1617) · почему я не хочу детей (1322) · всю жизнь не хотела детей (1089) · совсем не хочу детей (1087) · потому что я не хочу детей (961) · не хочу детей и отношений (961) · не хочу детей что со мной (871) · ни в какую не хотела ребенка (784) · не хотеть детей это хорошо (769) · нормально ли не хотеть детей (706) · не хочу детей и заставляют (601) · я не хочу детей начала понимать (570) · категорически не хочу детей (553) · не хочу никаких детей (521) · замужем не хочу детей (458) · как объяснить что не хочу ребенка (457) · причины почему не хочу детей (398) · с возрастом не хочу детей (391) · не понимаю почему не хочу детей (323) · зачем я не хочу детей (307) · совершенно не хочу детей (283) · вышла замуж и не хочу детей (268) · стыдно не хотеть детей (77) · объяснить родителям что не хочу детей (75) · нормально ли женщине не хотеть детей (68) · не хочу детей как объяснить мужу (65),
да,«Когда родишь?»: как отвечать на вопросы про детей,kogda-rodish-chto-otvechat,Отношения,/artterapy,2184,вопросы когда родишь (688) · вопрос когда рожать (688) · когда спрашивают когда родишь (318) · когда рожать заставляют (135) · когда родишь ответ (128) · что отвечать на когда родишь (54) · родители давят с детьми (41) · все спрашивают когда рожу (37) · как называется когда заставляют рожать (32) · как ответить на вопрос когда родишь (29) · как ответить на вопрос когда рожать (29) · родственники давят с рождением детей (5),
да,Жизнь без детей: чем она наполняется и как её строят,zhizn-bez-detey,Психология,/coach,10046,жизнь без детей (6144) · жизнь без семьи и детей (618) · люди жизнь без детей (570) · жизнь женщин без детей (322) · прожила жизнь без детей (263) · есть ли жизнь без детей (262) · жизнь без детей лучше (205) · выбирают жизнь без детей (170) · смысл жизни без детей (170) · жить всю жизнь без детей (165) · семейная жизнь без детей (156) · причины жизни без детей (137) · счастливая жизнь без детей (116) · добровольная бездетность (85) · жизнь без детей жизнь без будущего (83) · ваша жизнь без детей (82) · жизнь в браке без детей (81) · жизнь без детей счастье (65) · жизнь без детей форум (63) · жизнь без детей пустая (53) · жизнь без детей 40 (51) · как называется жизнь без детей (42) · можно ли прожить жизнь без детей (41) · плюсы жизни без детей (28) · жизнь прекрасна без детей (26) · жизнь без детей отзывы (22) · плюсы и минусы жизни без детей (15) · жизнь без детей после 40 (11),
да,Осталась одна без детей: как жить дальше и на что опереться,ostalas-odna-bez-detey,Психология,/artterapy,7068,осталась одна без детей (1968) · бездетная женщина (1280) · живу одна без детей (1062) · одна без мужа без детей (1041) · жизнь без мужа и детей (311) · 35 лет одна без детей (269) · всю жизнь одна без детей (163) · одна без мужчины и детей (156) · бездетные женщины россия (151) · живу одна без мужа и детей (133) · одинокая бездетная женщина (91) · бездетная незамужняя женщина (74) · лучше быть одному и без детей (71) · 30 лет одна без детей (66) · чем заняться без детей одной (56) · как жить одной в старости без детей (31) · бездетная женщина в 40 (30) · как прожить одной без детей (27) · бездетность и одиночество (22) · бездетные женщины после 40 (21) · как жить бездетной женщине (20) · бездетная женщина как называют (14) · бездетная женщина форум (11),
да,Не хочу второго ребёнка: почему одного бывает достаточно,ne-hochu-vtorogo-rebenka,Психология,/artterapy,17476,не хочу больше детей (8069) · второй ребенок не хочу (2355) · не хочу второго ребенка (2353) · не хочу двоих детей (1083) · не хочу третьего ребенка (693) · не хочу троих детей (524) · не хочу больше детей что делать (381) · не хочу второго ребенка что делать (298) · не хочу больше детей после (236) · не хочу больше иметь детей (211) · не хотела рожать второго ребенка (190) · не хочу больше рожать детей (146) · поняла что больше не хочу детей (145) · не хочу больше двух детей (115) · 1 ребенок и больше не хочу (109) · не хочу больше детей никогда (86) · не хочу второго ребенка форум (82) · очень не хочу второго ребенка (73) · больше не хочу детей форум (61) · не хочу третьего ребенка что делать (60) · почему я больше не хочу детей (58) · почему я не хочу второго ребенка (52) · не хочу больше детей после первого ребенка (49) · почему не хочу третьего ребенка (47),
нет,"Сид «когда родишь» целиком (2000 фраз, 631 945 показов)",,,,,,"Лемматизатор склеил «родишь/рожать/родим/рожали» — вышел акушерский и бытовой корпус. 77,7% показов в общем «когда рожать / когда родим» (одна фраза «когда родим» — 108 376), 6,6% акушерство (недели, схватки, пробка, раскрытие, ПДР), 5,7% песни и мемы («когда меня рожали мусора дрожали», Инстасамка), 4,6% животные (кошка, собака, медведица), 2,1% Иисус/СССР/пенсия, 1,4% сериалы и видео, 1,3% сны. На дословный вопрос родни приходится 8 фраз и 1 971 показ — 0,3% сида; они взяты в статью kogda-rodish-chto-otvechat."
нет,"Сид «бездетность» (204 фразы, 37 080 показов)",,,,,,"Куст про налог на бездетность: СССР, проценты, возраст, «введут ли в России 2026», Песков. Юриспруденция и новости, не наш жанр. Из 204 фраз в работу ушли две («добровольная бездетность» 85, «бездетность и одиночество» 22)."
нет,"Сид «одна без детей», голова «один без детей» 22 731",,,,,,"Лемматизатор притянул опеку и льготы: «ребёнок без одного родителя» 6 802, «дети оставшиеся без одного родителя» 856, «дети без попечения одного родителя» 579, плюс медицина («ребёнок без одной почки», «без одной хромосомы»). Живых фраз про женщину — 12 из 73."
нет,«Ребёнок не хочет…» внутри сида «не хочу детей»,,,,,,"1 082 фразы и 479 154 показа — 51,7% сида: не хочет в школу, спать, есть, в сад, делать уроки. Чужой интент (детская психология), в корпусе уже закрыт статьями rebenok-ne-hochet-v-shkolu и rebenok-ne-hochet-delat-uroki."
нет,Чайлдфри как тема статьи,,,,,,"Из 493 фраз и 108 503 показов почти всё — песня Noize MC и Монеточки (скачать, текст, аккорды, слушать), роман «Двойня для чайлдфри» Талы Тоцки («читать бесплатно без регистрации») и закон о запрете пропаганды (441 + 326 + 167 + 157 и далее). Остаётся словарный интент «что значит чайлдфри простыми словами» (~6 000), но брать термин, вокруг которого в РФ идёт запрет пропаганды, ради словарной статьи — риск без выгоды. Переживание того же человека закрыто статьёй ne-hochu-detey без этого слова."
нет,Абортный интент внутри сида «не хочу детей»,,,,,,"«что делать если не хочешь ребенка» 15 292, «забеременела не хочу ребенка» 1 226, «беременна но не хочу ребенка» 533, «аборт не хочу ребенка» 442, «что сделать если не хочу ребенка» 773. Это решение по текущей беременности, а не переживание бездетности. Не берём ни в каком виде."
нет,«не хочу ребенка хочу умереть» 954,,,,,,"Суицидальный запрос. Не берём, по правилу об опасных запросах."
нет,Мужской субъект внутри сида «не хочу детей» (~30 000 показов),,,,,,"«жена не хочет детей» 5 133, «девушка не хочет детей» 2 756, «жена не хочет ребенка что делать» 514, «супруга не хочет ребенка» 653 и далее. Переживает мужчина — не наша читательница."
нет,Женский субъект «муж не хочет детей» (~25 000 показов),,,,,,"«мужчина не хочет детей» 4 584, «любимый не хочет ребенка» 3 285, «не хочет детей развод» 2 239, «муж сказал не хочет детей» 1 150, «муж не хочет детей что делать» 1 140, «почему муж не хочет детей» 1 120. Интент наш, но занят: docs/seo/articles/muzh-ne-hochet-detey.md, primaryKeyword «муж не хотел ребенка»."
нет,«подруги все с детьми» 834 · «подруга все время с ребенком» 64,,,,,,"Отдельной статьи не заслуживает: интент сравнения с подругами уже держит vse-podrugi-zamuzhem, где есть разделы «Свадьбы, декреты и детские праздники» и «Вопросы родни: что отвечать». Отдать туда как LSI."
нет,Медицинский хвост про зачатие,,,,,,"«хочу ребенка не получается» 1 573, «хотим ребенка не получается год» 258, «хочу ребенка не получается что делать» 198, «хотим ребенка не получается забеременеть» 114, «психология что не получается забеременеть» 5. Диагностика и лечение — отказ по правилу; психологическая часть («боюсь не успеть») уже пишется в boyus-ne-uspet-rodit."
нет,Чужие имена в сиде «не хочу детей»,,,,,,"Манхва «Муж не хотел ребёнка» (522 «читать» + 522 «манга» + 357 «манхва» + главы 23/24/26) и новелла про дракона: «дракон я больше не хочу детей» 4 138, «заткнись дракон я не хочу растить детей» 1 120, «манга я не хочу воспитывать ребенка» 481. Поэтому весь куст «не хочу воспитывать ребёнка» (3 871 + 2 882) не берём — не отличить живой запрос от сюжета."
