годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,День рождения умершего человека: как прожить эту дату,den-rozhdeniya-umershego,Психология,/artterapy,32709,день рождения умершего (29192) · новый год умершим (3517),
да,Бывший поздравляет с Новым годом: отвечать или промолчать,byvshiy-pozdravlyaet-s-novym-godom,Отношения,/artterapy,17004,бывший написал в новый год (4566) · бывший под новый год (4458) · новый год бывший муж (4210) · бывший поздравляет с новым годом (3770),
нет,Почему не отмечают 40 лет,,,,54450,почему не отмечают 40 (9505) · почему не отмечают 40 лет (8777) · 40 не отмечают (11269) · отмечают ли 40 (6627) · 40 лет отмечают день (6280) · можно отмечать 40 (5534) · почему нельзя отмечать (6458),"Самый живой куст файла, но запрос про примету, а не про переживание: человек ищет суеверие и готовый ответ извне. Ответить по-психологически = не попасть в интент, отвечать по примете = эзо-фильтр сборки"
нет,Не люблю застолья / ненавижу шумные праздники,,,,229,не люблю застолья (104) · зачем застолье (73) · грустное застолье (21) · ненавижу застолья (16) · отказаться от застолья (15),"Ниже порога 300. Ровно тот интент, который сбор 41 уже показал несуществующим как запрос: люди так не набирают"
нет,Новый год без бывшего,,,,3486,новый год без бывшего (3486),"Дубль novyy-god-v-odinochestve: там в lsiKeywords уже стоит «новый год после развода» и «как встретить новый год одной». Правило 1 — один интент, одна статья"
нет,Тревога перед корпоративом,,,,2329,первый корпоратив (810) · корпоратив без мужа (522) · жду корпоратив (222) · как вести себя на корпоративе (194) · заставляют на корпоратив (176) · корпоратив первый раз (405),"Каждая фраза ниже порога, а сид «корпоратив» на 60%+ порно и дзен-рассказы; чистого спроса на тревогу перед корпоративом в файле нет"
нет,Свекровь за праздничным столом,,,,6310,свекровь решила собрать застолье (524) · свекровь решила собрать застолье в моей квартире (497) · во время застолья свекровь (400) · на семейном застолье свекровь (262) · перед юбилеем свекрови (2710) · муж на юбилее свекрови (1825) · во время свадебного застолья свекровь подняла бокал (92),"Это не запросы, а заголовки дзен-рассказов: люди ищут продолжение истории, а не помощь. Тот же маркер — «муж застыл на пороге увидев праздничный стол» (877)"
нет,Бывшие и Новый год (голова куста),,,,443462,бывшие новый год (203045) · праздник бывших (240417),"Чужое имя, правило 6: сериал ТНТ «Бывшие» и мем «День бывших». Голова мусорная, куст считаем по хвосту — он ушёл в годную тему выше"
нет,Первый праздник без него,,,,78274,первый новый год (43189) · первый день рождения (35085),"Ожидаемая формулировка не подтвердилась: «первый день рождения» — про младенца, «первый новый год» — про историю календаря. Про первый праздник после утраты в файле нет ни одной фразы"
нет,Слёзы в новогоднюю ночь,,,,122,слезы в новогоднюю ночь (59) · слезы в новогоднюю ночь мужское (51) · слезы в новогоднюю ночь мужское и женское (12),"Выпуск телепрограммы «Мужское и Женское», а не переживание"
нет,Поздравлять ли бывшего,,,,31262,поздравление с днем рождения бывшему (25958) · поздравить бывшего с юбилеем (3728) · поздравление с юбилеем бывшему (1576),"Ищут готовый текст поздравления, а не решение. Слово «поздравление» в запросе = запрос на открытку"
нет,Застолье после похорон,,,,238,застолье с умершими (136) · застолье на похоронах (47) · поминальное застолье (28) · застолье после похорон (27),"Ниже порога; половина фраз — сонник («к чему снится застолье с умершим»), вторая половина — ритуал и меню поминок"
нет,Одиночество в праздник,,,,0,,"В файле ноль фраз: «одиноч» — 0 вхождений, «одинок» — 1 и то в строке песни. Сид «новый год» дал «где встретить новый год», но не «не с кем встретить»"
нет,Год прошёл зря / итоги года,,,,0,,"В файле ноль вхождений «зря», «итоги года», «год прошёл». Плюс темы заняты: lichnye-itogi-goda и ne-hochu-podvodit-itogi-goda"
нет,Усталость и выгорание от праздников,,,,0,,"Ноль вхождений «устал», «выгор», «надоел», «тяжело», «нет настроения» на 19 612 фраз"
нет,Тревога и депрессия перед праздником,,,,0,,"Ноль вхождений «тревог», «депресс», «боюсь», «паник», «страшно». Единственное «депресс» в корпусе праздников — уже написанная depressiya-pered"
нет,Ссоры за праздничным столом,,,,0,,"«ссор» — 2 вхождения и оба про сценарий, «сканда» и «конфликт» — 0. Родня в файле есть только как адресат поздравления или как персонаж дзен-рассказа"
нет,Разочарование от подарка,,,,0,,Все 150 фраз про подарки — «что подарить»; ни одной про «не понравился подарок». Тема и так закрыта статьёй ne-ponravilsya-podarok
