годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,Личные итоги года: вопросы вместо списка достижений,lichnye-itogi-goda,Цели и развитие,/coach,4989,итоги года жизни (1808) · личные итоги года (589) · практика итоги года (559) · время подвести итоги года (507) · какие подвести итоги года (312) · дневник итогов года (223) · итоги года психолог (211) · подводя итоги года в жизни (175) · психологические итоги года (120) · итоги года вопросы самому (111) · итоги года благодарности (92) · где подвести итоги года (87) · хочу подвести итоги года (74) · итоги года 2025 практика (71) · решила подвести итоги года (50),
да,Не люблю поздравлять с днём рождения: откуда раздражение,ne-lyublyu-pozdravlyat-s-dnem-rozhdeniya,Психология,/artterapy,3039,не люблю поздравлять с днем рождения (1801) · не люблю поздравлений с днем рождения (465) · не люблю поздравлять с днем рождения людей (464) · не люблю праздники и дни рождения (162) · не люблю дни рождения на работе (72) · не любишь ходить на дни рождения (51) · не люблю детские дни рождения (24),
нет,Близкий не хочет праздновать день рождения,,,,1221,,"почти прошла. Сумма 1221 по 11 фразам, но голова всего 296 («подруга не любит дни рождения»), дальше 213 «сын не любит день рождение», 207 «муж не любит дни рождения», 169, 86, 81, 65, 62, 26, 16. Порог правила 5 — 300 по одной фразе; дыру в кластере не закрывает, там уже три статьи про день рождения. Взять после пересбора сидом «муж не любит праздновать»"
нет,Новый год в одиночестве,,,,30977,,каннибализация: novyy-god-v-odinochestve держит primaryKeyword «новый год в одиночестве» и lsi «как встретить новый год одной». Голова сида «новый год одной» (30977) — это он же
нет,Не люблю свой день рождения / почему люди не любят день рождения,,,,3524,,"каннибализация: ne-lyublyu-svoy-den-rozhdeniya держит primaryKeyword «не люблю свой день рождения» (1650), плюс depressiya-pered на «депрессия перед днем рождения». «люди не любящие день рождения» (1342) и «почему человек не любит свой день рождения» (147) — тот же интент по правилу 1"
нет,Не хочу подводить итоги года / год прошёл зря,,,,515,,"каннибализация: ne-hochu-podvodit-itogi-goda держит primaryKeyword и lsi «год прошел зря», «плохой год итоги», «разочарование в итогах года». В сборе этому соответствуют «итоги плохого года» (317) и «итоги тяжелого года» (198) — обе внутри статьи"
нет,Не хочу ставить цели на новый год,,,,0,,"спроса нет: в 2201 фразе ноль вхождений «цели на новый», ноль «не хочу ставить». Плюс celi-na-novyy-god и celi-na-god уже держат куст целей"
нет,Сравнение с чужими итогами в соцсетях,,,,0,,"спроса нет: ноль фраз со словами «соцсет», «инстаграм», «сравн» во всём сборе. Гипотеза не подтвердилась"
нет,Предновогоднее одиночество и разочарование прожитым годом,,,,8,,"спроса нет: ноль фраз с корнями «одиноч», «зря», «впуст», «разочаров» во всём сборе. Единственная близкая фраза — «новый год одному грусть» (8). Направление надо не отбирать, а пересобирать другими сидами"
нет,Застолье с родственниками,,,,768,,"сид ушёл в сонник: 10 фраз из 12 — «к чему снится застолье с родственниками» (128), «застолье с умершими родственниками» (65) и производные. Голая голова (380) тянется тем же интентом. Плюс толкование снов — под эзо-фильтр сборки"
нет,Новый год после развода,,,,843,,"сид мёртв: 6 фраз. Голова «после развода новый год новая» (538) — склейка лемматизатора («новая жизнь»), не интент. Остаток — «новый год с ребенком после развода» (53). Тема уже в lsi novyy-god-v-odinochestve"
нет,Предпраздничная суета,,,,81,,"сид мёртв: 4 фразы, 81 показ, из них «предпраздничная суета 8 букв» (7) и «предпраздничная суета 8» (8) — кроссворд"
нет,"Депрессия и грусть на праздниках, ссоры за столом",,,,531,,"сиды не раскрылись: «праздники депрессия» — 1 фраза (77), «грустно на праздники» — 1 фраза (326), «ссоры на праздниках» — 1 фраза (128). Вордстат вернул только сам сид в нормализованной форме, хвоста нет — по таким данным темы не ставят"
нет,Не хочу праздновать,,,,1784,,"сид мёртв по сути: голова «празднуй не хочу» (764) — идиома «ешь не хочу», не интент. Живое — «не хочу праздновать день рождения» (437), но это lsiKeyword ne-lyublyu-svoy-den-rozhdeniya. «Не хочу праздновать новый год» — 45 показов"
нет,Итоги года в Яндекс.Музыке и ВК,,,,275932,,"чужой интент: 117 фраз про сервисную фичу — «яндекс музыка итоги года» (23059), «как посмотреть итоги года» (12060), «где посмотреть итоги лета» (3732). Это же тянет и голые головы «итоги лета» (211052) и «итоги года» (207127) в сентябре"
нет,"Итоги года: страна, выборы, война",,,,228205,,"чужой интент: 294 фразы — «итоги выборов 2026 года» (18449), «год войне итоги» (17026), «россия итоги года» (15433), «итоги первого года первой мировой» (4524)"
нет,"Итоги года: отчётность, доклад, совещание",,,,38530,,"чужой интент: 99 фраз — «итоги года организации» (2906), «презентация итогов года» (2578), «компания итоги года» (2553), «доклад итоги года» (1381), «протокол итоги года» (1654), «дивиденды по итогам года» (1025)"
нет,"Итоги учебного года, класса, детского сада",,,,74492,,"чужой интент: 135 фраз — «итоги учебного года» (8669), «итоги класса года» (8343), «итоги года 8 класс» (3194), «подведение итогов года в доу» (77), «педсовет подведение итогов года» (99)"
нет,Шаблоны и вопросы для подведения итогов года,,,,64982,,"интент не определяется: 22 фразы на 64982 показа — «таблица итогов года» (11636), «вопросы итогов года» (6331), «карта итогов года» (4425), «итоги года заполнить» (4170). В одной куче школьные таблицы по истории, корпоративные формы и личные планеры; долю нашего читателя по этим данным не отделить. Отложить до пересбора сидом «вопросы для подведения итогов года»"
нет,Новый год одной с детьми,,,,588,,"одна фраза (588), хвоста нет. Рамка «одна в новогоднюю ночь» уже держится novyy-god-v-odinochestve, отдельная статья отнимет у неё трафик"
нет,Новый год одной на работе,,,,1124,,"чужой интент: про рабочую смену в новогоднюю ночь, а не про переживание. Соседние фразы сида того же рода — «один дома новый год» (1858, фильм), «один в один лучшее новый год» (517, телешоу)"
