годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,Единственный ребёнок в семье: чем он правда отличается,edinstvennyy-rebenok-v-seme,Детская психология,/artterapy,7376,единственный ребенок в семье (4331) · единственному ребенку проще (463) · единственный ребенок любимый (396) · какого быть единственным ребенком (298) · воспитание единственного ребенка (260) · люди единственные дети в семье (226) · являюсь единственным ребенком в семье (186) · хорошо быть единственным ребенком (185) · как воспитывать единственного ребенка (150) · лучше быть единственным ребенком в семье (125) · хочу быть единственным ребенком в семье (115) · единственный ребенок проблемы (80) · особенности единственных детей (64) · какого быть единственным ребенком в семье (58) · синдром единственного ребенка (52) · плохо быть единственным ребенком (51) · минусы быть единственным ребенком (43) · плюсы быть единственным ребенком в семье (39) · единственные дети плюсы и минусы (33) · минусы быть единственным ребенком в семье (33) · единственный ребенок в семье плюсы и минусы (31) · единственный ребенок в семье воспитание (31) · единственные дети счастливее (28) · единственный ребенок последствия (25) · поздний единственный ребенок (22) · истории единственных детей в семье (17) · единственный ребенок эгоист (12) · проблемы единственного ребенка в семье (11) · почему единственному ребенку в семье скучно (11),
да,Старший ребёнок в семье: почему ему достаётся больше,starshiy-rebenok-v-seme,Детская психология,/artterapy,5911,проблемы старшего ребенка (981) · старший ребенок в семье это (973) · тяжело быть старшим ребенком (916) · самый старший ребенок в семье (448) · обязанности старшего ребенка (393) · старшие дети воспитывают младших (366) · старшие дети помогают младшим (351) · синдром старшего ребенка (226) · старшие дети психология (212) · роль старшего ребенка в семье (130) · травмы старшего ребенка (117) · старший ребенок в семье проблемы (108) · характеристика старшего ребенка в семье (104) · роль старших детей в воспитании (95) · особенности старших детей в семье (94) · истории старших детей в семье (88) · плохо быть старшим ребенком (78) · проблемы со старшим ребенком (78) · обязанности старшего ребенка в семье (59) · старший ребенок одинокий (94),
да,"Младший ребёнок в семье: роль, характер и взрослая жизнь",mladshiy-rebenok-v-seme,Детская психология,/artterapy,13254,младший ребенок в семье (5829) · младший старший ребенок в семье (2359) · роль младшего ребенка (732) · психология младших детей (693) · проблемы младшего ребенка (646) · отношение к младшим детям (586) · самый младший ребенок в семье (366) · характер младших детей (332) · воспитание младшего ребенка в семье (160) · синдром младшего ребенка (150) · особенности младшего ребенка в семье (99) · роль младших детей в семье (75) · младшие дети в семье какие они (50) · проблемы младших детей в семье (48) · младший ребенок в семье психология (33) · травма младшего ребенка (80) · мама в семье была младшим ребенком (106) · родитель был младшим ребенком (910),
да,Сиблинги: кто это такие простыми словами в психологии,siblingi-kto-eto,Словарь,/artterapy,7041,слово сиблинг (1734) · сиблинги это простыми (1569) · сиблинги это простыми словами (1472) · дети сиблинги (356) · семьи сиблинги (218) · позиции сиблингов (180) · сиблинг это в психологии (92) · младший сиблинг (91) · сиблингами называют (86) · что значит сиблинги (85) · про сиблингов (72) · конкуренция сиблингов (65) · сиблинги определение (59) · теория сиблингов (58) · сиблинг это в психологии простыми (53) · сиблинги это простыми словами в психологии (53) · роль сиблингов (48) · отношения между сиблингами (45) · сиблинг на английском (45) · взаимоотношения сиблингов (43) · особенности сиблингов (43) · сиблинги на русском (37) · родные сиблинги (34) · сводный сиблинг (33) · сиблинги сибсы (25) · средний сиблинг (22) · сиблингами являются (24) · сиблинги это простыми словами в психологии определение (22) · единственный сиблинг (20) · полные сиблинги (19) · старший сиблинг это (17) · сиблингами называется (16) · сиблингами называют в психологии (12) · сиблинги это простыми словами что значит (12) · отношения сиблингов в семье (30) · отношения сиблингов психология (18) · наличие сиблингов (52) · система сиблингов (118) · подсистема сиблингов (63),
да,Разница в возрасте между детьми: какая лучше и почему,raznica-v-vozraste-mezhdu-detmi,Детская психология,/coach,4274,разница в возрасте между детьми (992) · разница в возрасте у детей (697) · какая разница в возрасте между детьми (333) · какая разница в возрасте у детей (272) · большая разница в возрасте детей (230) · хорошая разница в возрасте детей (172) · разница в возрасте детей 2 года (122) · разница в возрасте 3 года дети (122) · разница в возрасте детей 5 лет (114) · идеальная разница в возрасте между детьми (113) · разница в возрасте детей какая лучше (100) · лучшая разница в возрасте между детьми (94) · оптимальная разница в возрасте детей (93) · оптимальная разница в возрасте между детьми (79) · разница в возрасте детей 4 года (63) · разница в возрасте детей 10 лет (58) · разница в возрасте детей 7 лет (50) · большая разница в возрасте между детьми (48) · какая идеальная разница в возрасте между детьми (47) · какая лучшая разница в возрасте между детьми (46) · самая лучшая разница в возрасте детей (45) · дети погодки разница в возрасте (44) · дети с маленькой разницей в возрасте (42) · какая разница в возрасте детей оптимальна (42) · наименьшая разница в возрасте между детьми (36) · дети погодки это какая разница в возрасте (28) · минимальная разница в возрасте между детьми (24) · нормальная разница в возрасте между детьми (17) · погодки старший ребенок (69) · старший ребенок погодка (69) · самая маленькая разница в возрасте между детьми (13),
да,Старший ревнует к младшему: как пройти появление второго,starshiy-revnuet-k-mladshemu,Детская психология,/artterapy,2289,ревность старших детей (235) · старший ребенок ревнует (190) · ревность детей в семье (185) · после рождения младшего ребенка старший (138) · ребенок ревнует к младшему ребенку (129) · как подготовить старшего ребенка (123) · ревность старшего ребенка к младшему (107) · как справиться с ревностью ребенка (101) · ревность первого ребенка (98) · старший ребенок ревнует к младшему (86) · рождение младшего ребенка в семье (86) · старший ребенок после рождения второго (70) · появление младшего ребенка в семье (68) · ревность между детьми (66) · детская ревность детей (51) · второй ребенок ревность (51) · ревность второго ребенка (51) · ревность сиблингов (48) · ревность у детей к младшим детям (41) · ревность детей к младшим детям психолог (39) · ревность к новорожденному ребенку (36) · старший ребенок с появлением младшего (34) · ревность к младшим детям советы (33) · ревность ребенка к младшему ребенку советы психолога (29) · детская ревность к младшему ребенку (22) · ревность как объяснить ребенку (34) · детская ревность к младшему ребенку советы психолога (15) · ревность старшего ребенка к младшему советы (11) · второй ребенок ревность первого (11) · ревность старшего ребенка к новорожденному (11) · ревность старшего ребенка к младшему советы психолога (9) · ревность ребенка психолог (81),
да,Родители любят одного ребёнка больше: почему так выходит,roditeli-lyubyat-odnogo-bolshe,Детская психология,/artterapy,5113,младшего ребенка любят (857) · старший ребенок не любим (785) · почему старших детей любят (356) · младшего ребенка любят больше (307) · старших детей любят больше (289) · почему младших детей любят (230) · почему старшего ребенка любят больше (163) · почему младших детей любят больше (157) · младшего ребенка любят больше чем старшего (147) · ненавижу старшего ребенка (145) · раздражает старший ребенок (133) · ненавижу младшего ребенка (126) · родители не любят старших детей (122) · почему младших любят больше чем старших детей (116) · родители больше любят младшего ребенка (111) · почему родители любят младших детей (105) · старших детей любят меньше (100) · срываюсь на старшего ребенка (95) · почему родители больше любят младших детей (92) · почему родители любят старшего ребенка больше (87) · почему родители не любят старших детей (84) · бесит старший ребенок (75) · раздражает младший ребенок (69) · мама не любит старшего ребенка (55) · мать любит старшего ребенка (49) · мать любит младшего ребенка (33) · любимчики в семье (225),
да,Жена брата и брат мужа: как ладить с роднёй супруга,rodnya-supruga-brat-i-sestra,Отношения,/coach,1109,с мужем сестры отношения (368) · отношения с женой брата (305) · отношения с братом мужа (183) · отношения с сестрой жены (172) · отношение с женой брата мужа (35) · плохие отношения с сестрой мужа (26) · плохие отношения с женой брата (15) · отношения с сестрой жены что делать (5),
нет,Сид «наследство» целиком,,,,,,"10,3 млн показов на 2000 фраз, из них переживание — 0,47%. 42% юридическое (нотариус, доли, сроки, госпошлина), 7,6% история («война за испанское наследство»), 5,1% кино и книги («скромное наследство», «наследство» сериал), остальное — обрывки и ряды «наследство 1/2/3…». Слов состояния (обида, ссора, простить, разрыв) — 7 фраз на весь сид. Сид закрыть, повторно не собирать."
нет,Делёж наследства рассорил родных,,,,,делить наследство (5588) · наследство конфликты (2241) · разделить наследство (2644) · наследство брат сестра (4529) · несправедливое наследство (1867),"Частота есть, но интент юридический: рядом с этими фразами в файле стоят «доля в наследстве», «нотариус», «оспорить», «сроки». В выдаче по ним право, мы туда не попадём. Психологической формулировки («поссорились из-за наследства», «обида на брата после похорон») в файле нет ни одной."
нет,Любимчик в семье,,,,,любимчики в семье (225),"Весь сид — 4 фразы и 370 показов, три из которых дорама «Перерождение в любимчиках богатой семьи». Тема уже закрыта разделом в otnosheniya-mezhdu-bratyami-i-sestrami."
нет,Дети дерутся между собой,,,,,старший ребенок бьет младшего (171) · ребенок бьет младшего что делать (74) · младшие дети дерутся (94),"Занято: deti-derutsya-mezhdu-soboy (опубликована 21.09.2026), primaryKeyword «дети дерутся»."
нет,Отношения между братьями и сёстрами (общая),,,,,отношения с сестрой (5859) · отношения с братьями (5445) · отношения с братом сестрой (1470),"Занято: otnosheniya-mezhdu-bratyami-i-sestrami, primaryKeyword «отношения между братьями и сестрами»."
нет,Как наладить отношения с сестрой / с братом,,,,,плохие отношения с сестрами (201) · плохие отношения с братом (168) · как наладить отношения с сестрой (139) · сложные отношения с братом (98) · как наладить отношения с братом (66),"Один интент с ne-obschayus-s-sestroy: там уже есть разделы «Право не общаться» и «Стоит ли восстанавливать связь», LSI «отношения с сестрой во взрослом возрасте»."
нет,Сиблинги: соперничество и конкуренция,,,,,соперничество сиблингов (135) · конфликт сиблингов (54) · что такое соперничество между сиблингами (46),Дубль к otnosheniya-mezhdu-bratyami-i-sestrami (раздел «Соперничество за родительскую любовь — это норма»). Термин уходит в словарную статью siblingi-kto-eto.
нет,Многодетная семья: старшие и младшие,,,,,многодетные старшие дети (11819) · старшие дети в многодетной семье (3730) · 18 лет старшему ребенку многодетная (3517),"Частота большая, но интент целиком льготный: считается ли ребёнок старше 18 в статусе многодетной семьи. Это не наша тема."
нет,Единственный ребёнок: потеря,,,,,умер единственный ребенок (1421) · погиб единственный ребенок (1378) · потерять единственного ребенка (457) · родители потерявшие единственного ребенка (323),"4,7 тыс. показов и дыра в корпусе (есть «Как пережить смерть мамы/отца/питомца», про ребёнка нет). Но в этом сборе фразы стоят вплотную к выплатам и СВО («выплаты погибший сво единственный совершеннолетний ребенок»), интент смешанный. Тема настоящая, но не из этой партии: её надо собирать отдельным сидом и писать с рамкой безопасности."
нет,Ребёнок ревнует маму к новому мужчине,,,,,ревность ребенка к мужчине (67) · ревность к детям от первого брака (54) · ревность к ребенку мужа от первого брака (32) · ревность ребенка к новому мужчине мамы (16),"169–200 показов на весь куст — ниже порога 300, отдельной статьи не тянет."
нет,Муж ревнует к ребёнку,,,,,ревность мужа к ребенку (96) · ревность жены к ребенку (42) · ревность к своему ребенку (44),"182 показа, ниже порога. Плюс это не сиблинги, а пара."
нет,Двоюродные и троюродные,,,,,отношения с двоюродной сестрой (230) · отношения с двоюродным братом (200) · отношения с троюродной сестрой (91),"Половина куста — «можно ли иметь отношения с двоюродной сестрой», то есть про брак между родственниками, а не про родственную связь. Чистого остатка меньше 300."
нет,Отношения с братом бывшего / с другом брата,,,,,отношения с братом бывшего (1127) · отношения с другом брата (585) · отношения с девушкой брата (240) · отношения с сестрой друга (231),"Читается как родственная тема, а на деле романтический интент: завести отношения с братом бывшего парня. Чужая тема."
нет,«Отношения с сестрой пошли не по плану»,,,,,отношения с сестрой пошли (313) · отношения с сестрой пошли не по плану (281) · манхва отношения с сестрой (66),"Название манхвы, правило 10 (чужое имя в голове куста). Плюс вся ветка эротическая."
нет,Порнохвост сидов «отношения с сестрой/братом»,,,,,,"61 фраза из 182 (34% фраз, 9% показов): «порно», «хентай», «инцест», «интимные отношения с сестрой», «степ сиблинг». Отдельно вычищены фразы вида «порно младших детей», «секс с детьми младше» из сидов старший/младший — в ключи не берём ничего из этих веток."
нет,Старший ребёнок в детском саду / младший школьный возраст,,,,,ребенок старшей группы (97313) · детей помладше (239540) · дети младшего школьного возраста (20180),"Это не позиция в семье, а возрастная группа. 64% фраз обоих сидов — методика для воспитателей и учителей. Чужая тема."
нет,Кроссвордные хвосты,,,,,младший ребенок в семье 8 (222) · младший ребенок в семье 9 (139) · младший ребенок в семье 9 букв (36) · старший ребенок в семье 8 (583),"Сканворд («младший ребёнок в семье, 9 букв» — поскрёбыш). Из ключей вычищено, но эти фразы надувают голову «младший ребенок в семье»."
