годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
да,"Отказываю мужу в близости: вина, долг и право сказать нет",otkazyvayu-muzhu-v-blizosti,Отношения,/artterapy,14640,отказываю мужу · жена отказывает мужу · женщины отказывают мужьям · может ли жена отказывать мужу · можно ли отказать мужу · почему жена отказывает мужу · мужу отказывать нельзя · не хочу мужа отказываю · отказ от близости,
да,Муж отказывает в близости: как пережить отвержение в браке,muzh-otkazyvaet-v-blizosti,Отношения,/online,1318,муж отказывает в сексе · почему муж отказывает · перестал хотеть жену · муж отказывает в близости · секс муж отказал жене · муж отказывает в интиме · муж перестал хотеть секса · нет близости с женой,
да,Нет близости в отношениях: как между двумя вырастает стена,net-blizosti-v-otnosheniyah,Отношения,/artterapy,4868,нет близости · пропала близость · с мужем нет близости · нет интимной близости · почему нет близости · как вернуть близость · нет эмоциональной близости · как начать говорить с мужем,
да,Перестала хотеть мужа: куда уходит желание к близкому,perestala-hotet-muzha,Отношения,/cards,1150,перестала хотеть мужа · девушка перестала хотеть секса · жена перестала хотеть мужа · нет желания близости · девушка перестала хотеть парня · почему перестаешь хотеть мужа · почему перестаешь хотеть девушку · пропадает желание близости,
да,Муж не поздравил с днём рождения: почему это так больно,muzh-ne-pozdravil-s-dnem-rozhdeniya,Отношения,/online,2849,муж не поздравил · муж не поздравил с днем · не поздравляйте бывших мужей · муж не поздравил с днем рождения · муж не поздравляет с праздниками · бывший муж не поздравляет с праздниками · не хочу поздравлять мужа · муж не поздравил с годовщиной,
да,Не люблю свой день рождения: почему праздник даётся тяжело,ne-lyublyu-svoy-den-rozhdeniya,Самопознание,/artterapy,1693,не люблю свой день рождения · человек не любит свой день рождения · человек не любящий свой день рождения · грустно на празднике,"выделено из группы «муж не поздравил»: другой интент, своя частота 1693"
нет,,kak-govorit-s-devushkami,,,8594,,"Мужская аудитория и знакомства: «как знакомиться с девушкой что говорить», «как пошло говорить с девушкой», «как красиво говорить с девушками», «как говорить с мамой девушки». К близости отношения не имеет, к нашей читательнице тоже"
нет,,kak-govorit-s-muzhem,,,6496,,"Разговор вообще, а не про близость. Закрыто тремя статьями: kak-obschatsya-s-muzhchinoy-v-otnosheniyah («Как разговаривать с партнёром»), kak-nachat-razgovor, kak-podderzhat-razgovor. Единственная фраза группы про близость — «с мужем нет близости» 634 — отдана net-blizosti-v-otnosheniyah"
нет,,kak-govorit-s-parnyami,,,5653,,"Группа-помойка: сид склеил мужское «как говорить с парнями», куст угасания чувств («чувства угаснет» 1787, «угасли чувства в отношениях», «вернуть чувство любви») — дубль pochemu-propadayut-chuvstva, и мусор «желание вернуть деньги» 426, «разное либидо» 385 (медицина, запрет ТЗ)"
нет,,kak-govorit-s-zhenoy,,,4107,,"Мужская аудитория: «как говорить с женой», «как говорить с бывшей женой», «как говорить с изменившей женой» — мужской взгляд на измену. Женская сторона закрыта kak-perezhit-izmenu и prostit-li-izmenu-ili-uyti"
нет,,kak-vernut-chuvstva,,,3046,,"Помечено «покрыто»: дубль pochemu-propadayut-chuvstva («Почему пропадают чувства к мужчине и что с этим делать»). Живая фраза «как вернуть близость» 420 отдана net-blizosti-v-otnosheniyah, «как перестать хотеть парня» 293 — другой интент, закрыт ne-mogu-otpustit-cheloveka"
нет,,kak-govorit-s-byvshim-parnem,,,1674,,"Дубль byvshego-parnya-posle-rasstavaniya, byvshiy-muzh-posle-rasstavaniya, otnosheniya-s-byvshim-muzhchinoy. Остаток группы — чужая тема «как говорить с парнем дочери» 463"
нет,,kak-muzh-s-zhenoyu-govoril,,,1524,,"Строка народной песни плюс склейка лемматизатора («как говорить с мужем» + «жена»), самостоятельного интента нет. Живое из группы — «муж отказывает в сексе/интиме/близости» — ушло в muzh-otkazyvaet-v-blizosti; остальное отбраковано: порно («порно русское муж отказал», «муж на час не отказал порно» — «муж на час» это бытовой сервис), деньги и право («муж отказывает в деньгах» 1387, «муж отказал в помощи» 1192, «муж отказывает в разводе», «муж на сво отказывают в пособии»)"
нет,,kak-govorit-s-lyubovnicey-muzha,,,387,,"Низкая частота и интент «пойти разбираться с любовницей» — не то, что мы рекомендуем. Тема измены закрыта kak-perezhit-izmenu и prostit-li-izmenu-ili-uyti; «как говорить с дочерью мужа» 212 — другая тема"
нет,,vernut-zhelanie-film,,,20167,в · е · р · н · у · т · ь ·   · ж · е · л · а · н · и · е ·   · ф · и · л · ь · м,"Самая частотная фраза всего сбора — кино, а не тема. В группировку не попала, фиксирую, чтобы не подняли снова"
