годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
нет,,vospitanie-rebenka,,,177728,,"широкий педагогический запрос: цели, условия и процесс воспитания — нормативка, не самопомощь; семья закрыта vospitanie-detey-v-seme.md"
нет,,perehodnyy-vozrast,,,98000,,"кино, концерты и песня GSPD в ключах; тема закрыта perehodnyy-vozrast-u-detey.md и etapy-podrostkovogo-vozrasta.md"
нет,,psihologicheskiy-rebenok,,,46047,,склейка лемматизатора + навигационный поиск детского психолога («психолог онлайн для ребенка»)
нет,,u-detey-bez-simptomov,,,34887,,"склейка лемматизатора, темы под фразой нет"
нет,,izbegayuschaya-privyazannost,,,33389,,"дубль: izbegayuschaya-privyazannost-v-otnosheniyah.md, izbegayuschiy-tip-privyazannosti-pochemu.md, rasslablenno-izbegayuschaya-privyazannost.md"
да,Серьёзные отношения: как поговорить о будущем с мужчиной,razgovor-o-sereznyh-otnosheniyah,Отношения,/artterapy,27351,серьезные отношения с мужчиной · хочу серьезных отношений с мужчиной · как поговорить с мужчиной об отношениях серьезно · серьезные ли отношения с мужчиной · как начинать серьезные отношения с мужчиной · построить серьезные отношения с мужчиной · мужчина ищет серьезные отношения с женщиной · серьезный мужчина в отношении с женщинами,
нет,,emotsionalnoe-vygoranie,,,25440,,"дубль: vygoranie.md, emocionalnoe-istoshchenie.md, stadii-vygoraniya.md"
нет,,muzhchina-v-otnosheniyah-s-zhenschinoy,,,22625,,"склейка + гороскопы (лев, овен, рак); интент закрыт kak-ponyat-otnosheniya-s-muzhchinoy.md"
нет,,trevozhnaya-privyazannost,,,20078,,дубль trevozhnaya-privyazannost-v-otnosheniyah.md и tipy-privyazannosti.md
нет,,poslerodovaya-depressiya,,,17802,,дубль depressiya-posle-rodov.md; хвост ключей — лечение и антидепрессанты
нет,,perezhitoe-rasstavanie,,,17747,,склейка + кино («расставания 1984»); интент закрыт kak-perezhit-rasstavanie.md
нет,,emotsionalnye-otnosheniya,,,17495,,склейка из двух фраз; тревожные отношения закрыты trevozhnost-v-otnosheniyah.md
нет,,depressiya-posle-depressii-2,,,16844,,дубль depressiya-posle-depressii.md («Жизнь после депрессии»)
нет,,vospitanie-rebenka-roditelyami,,,15716,,склейка + «право родителя на воспитание» — юридическая нормативка
нет,,chuvstvo-trevogi,,,15134,,дубль prichiny-chuvstvo-trevogi.md и kak-spravitsya-s-trevogoy.md
нет,,rozhdenie-vospitanie-rebenka,,,14329,,склейка; в ключах выплаты при рождении ребёнка
нет,,programma-vospitaniya-detey,,,14104,,"педагогическая нормативка: рабочие программы, ДОУ, дополнительное образование"
нет,,rossiyskoe-vospitanie-detey,,,13633,,"госполитика и нормативка («цель воспитания детей в Российской Федерации»), не самопомощь"
нет,,chuvstvo-straha,,,13400,,дубль prichiny-straha.md и kak-izbavitsya-ot-straha.md
нет,,otnoshenie-prichiny,,,12830,,склейка лемматизатора; кризисы отношений закрыты krizis-v-otnosheniyah.md
нет,,emotsionalnye-kacheli,,,12765,,дубль emocionalnye-kacheli-v-otnosheniyah.md
нет,,glubokaya-privyazannost,,,12764,,"дорама «Глубокая привязанность» (озвучка, все серии); смысл закрыт kak-otlichit-privyazannost.md"
нет,,god-otnosheniy-s-muzhchinoy,,,12453,,склейка: годовщина и поздравления; первые месяцы закрыты mesyats-otnosheniyam-s-muzhchinoy.md
нет,,rasstavanie-s-devushkoy,,,11908,,"мужская перспектива, не наша читательница; блок расставания переполнен (~25 статей)"
нет,,rasstavaniya-pochemu,,,11787,,"эзотерика в ключах: аркан, матрица совместимости; причины закрыты stadii-rasstavaniya.md и prichiny-razvoda.md"
нет,,bez-trevozhnost,,,11552,,"склейка; за фразой — успокоительные без рецепта, лечение (запрет ТЗ)"
нет,,rasstavanie-s-parnem,,,10974,,дубль byvshego-parnya-posle-rasstavaniya.md и kak-perezhit-rasstavanie.md
нет,,povyshennaya-trevozhnost,,,10158,,дубль povyshennaya-trevozhnost-u-vzroslyh.md
нет,,zaschitnye-mehanizmy-2,,,9972,,дубль zaschitnye-mehanizmy.md; в ключах розетки и шторки с защитным механизмом
нет,,vospitanie-detey-otvety,,,9795,,юридическая нормативка: ответственность за ненадлежащее воспитание детей
нет,,povyshennaya-samootsenka,,,9733,,дубль kak-povysit-samoocenku.md; блок самооценки переполнен (~12 статей)
нет,,depressiya-bez-depressii,,,9424,,"склейка + «депрессия без таблеток», «антидепрессанты» — лечение"
нет,,tyazhelaya-depressiya,,,9270,,"тяжёлые формы и антидепрессанты — диагностика и лечение, прямой запрет ТЗ"
нет,,nizkaya-samootsenka,,,9232,,дубль priznaki-nizkoy-samoocenki.md и kak-povysit-samoocenku.md
нет,,depressiya-kak-vyshli,,,9130,,склейка; выход из состояния закрыт kak-vyyti-iz-depressii.md
да,Депрессия у женщин: почему её принимают за усталость и лень,depressiya-u-zhenschin,Психология,/artterapy,8922,депрессия у женщин · как проявляется депрессия у женщин · признаки депрессии у женщин · депрессия у женщин после 40 · депрессия у женщин после 50 · женская депрессия,
нет,,muzhchiny-poznakomyatsya-s-muzhchinami-dlya-otnosheniy,,,8917,,"сайты знакомств, навигационный запрос"
нет,,professionalnoe-vygoranie,,,8809,,дубль professionalnoe-vygoranie-spetsialistov.md и vygoranie-na-rabote.md
нет,,tipy-privyazannosti-v-otnosheniyah,,,8727,,дубль tipy-privyazannosti.md и teoriya-privyazannosti.md
нет,,depressiya-proshla,,,7894,,"склейка из трёх фраз, темы под ней нет"
нет,,vospitaniya-lichnosti-rebenka,,,7829,,"педагогическая теория формирования личности, не самопомощь"
нет,,pedagogicheskoe-vospitanie-detey,,,7514,,"педагогика как наука: системы, условия, задачи воспитания"
нет,,rasstavanie-s-lyubimym,,,7428,,дубль rasstavanie-lyubyaschih-lyudey.md и kak-napisat-o-rasstavanii.md
нет,,vospitanie-detey-ogranichivaya,,,7348,,склейка; за ней дефектология и ОВЗ — чужая сфера
нет,,depressiya-proydet,,,7263,,склейка из трёх фраз
нет,,rasstavanie-s-byvshey,,,7226,,склейка; интент закрыт otnosheniya-s-byvshim-muzhchinoy.md
нет,,bessoznatelnoe-sostoyanie,,,7188,,омоним: первая помощь в бессознательном состоянии; психология закрыта bessoznatelnoe-sostoyanie-cheloveka.md и kollektivnoe-bessoznatelnoe.md
нет,,lyubimomu-posle-rasstavaniya,,,7162,,«вернуть любимого» и молитвы на возврат; дубль vozvraschayutsya-li-posle-rasstavaniya.md
нет,,klinicheskaya-depressiya,,,7065,,клинические рекомендации и диагноз — запрет ТЗ
нет,,posle-rasstavaniya-s-devushkoy,,,6266,,мужская перспектива; блок расставания переполнен
нет,,samootsenka-i-uverennost-v-sebe,,,6182,,дубль uverennost-v-sebe.md и kak-povysit-samoocenku.md
да,Книги по психологии отношений: что почитать и чему верить,knigi-po-psihologii-otnosheniy,Отношения,/artterapy,6117,психология отношений книги · книги про психологию отношений · лучшие книги по психологии отношений · психология отношений книги читать · книги по психологии семейных отношений · книги по психологии отношений мужчины и женщины,
нет,,pravila-vospitaniya-detey,,,5975,,постановления правительства и «правильные методы» — нормативка; дубль tipy-vospitaniya-detey.md
нет,,god-v-depressii,,,5812,,склейка из четырёх фраз
нет,,trevozhnost-bespokoystvo,,,5805,,дубль prichiny-chuvstvo-trevogi.md; хвост — витамины и средства от тревожности
нет,,samootsenka-cheloveka,,,5802,,дубль samootsenka-opredelenie.md и vidy-samoocenki.md
нет,,samootsenka-kniga,,,5718,,"склейка со школьной самооценкой («итоговая самооценка», «самооценка выполнена»)"
нет,,panicheskaya-trevozhnost,,,5662,,дубль kak-spravitsya-s-panikoy.md и slovar-panicheskaya-ataka.md; хвост — лечение и гипноз
да,"Упражнения для отношений: практики, которые возвращают близость",uprazhneniya-dlya-otnosheniy,Отношения,/cards,5632,упражнения для отношений · техники отношений с мужчиной · психология отношений практика · как научиться отношениям с мужчиной · психология отношений техника,
нет,,emotsionalnaya-labilnost,,,5628,,"дубль slovar-labilnost.md; хвост — «синдром», «нарушение», «расстройство» (диагностика)"
нет,,nezakrytyy-geshtalt,,,5607,,дубль zakroy-geshtalt.md и slovar-geshtalt.md
нет,,sensornaya-deprivatsiya,,,5593,,"чужая сфера: камера и капсула сенсорной депривации, БДСМ-контекст"
нет,,silnaya-trevozhnost,,,5487,,"дубль kak-uspokoit-trevozhnost.md, trevozhnost-v-grudi.md, trevozhnaya-bessonnica.md"
нет,,psihologiya-otnosheniya-mezhdu,,,5257,,склейка; в ключах международные отношения и отношения между детьми
нет,,silnaya-depressiya,,,5009,,склейка из четырёх фраз
нет,,tselevye-orientiry-vospitaniya-detey,,,4867,,формулировка ФГОС — педагогическая нормативка
нет,,refleksiya-otvet,,,4841,,школьная рефлексия на уроке; термин закрыт refleksiya.md и slovar-refleksiya.md
нет,,onemenie-chuvstv,,,4733,,"омоним: неврология (онемение конечностей, лица, языка); состояние закрыто chuvstvo-opustoshennosti.md"
нет,,traditsionnoe-vospitanie-detey,,,4688,,идеологическая и педагогическая рамка; дубль narodnoe-vospitanie-detey.md
нет,,rasstavanie-mesyatsa,,,4651,,"склейка; сроки закрыты nedelya-posle-rasstavaniya.md, polgoda-rasstavaniya.md, god-posle-rasstavaniya.md"
нет,,vospitanie-sosedskih-detey,,,4549,,выпуск телепередачи «Мужское/Женское»
нет,,psihologiya-otnosheniy-mezhdu-muzhchinoy,,,4416,,навигация за книгами и аудиокнигами + обрубленная фраза
нет,,profilaktika-vygoraniya,,,4407,,дубль profilaktika-emotsionalnogo-vygoraniya.md
нет,,otnosheniya-mezhdu-zhenschinami-psihologiya,,,4382,,"склейка; «после 40» закрыто psihologiya-otnosheniy-posle.md, остальное — замужние и свободные отношения"
нет,,snizhenie-trevozhnosti,,,4295,,школьные программы и занятия по снижению тревожности — педагогика; дубль kak-uspokoit-trevozhnost.md
нет,,shkolnyy-bulling,,,4284,,дубль bulling-v-shkole.md; в ключах моды для Sims 4 и книга про спецназовца
нет,,otnosheniya-s-muzhchinoy-drugom,,,4258,,"склейка лемматизатора, темы под фразой нет"
нет,,posle-rasstavaniya-nachal,,,4249,,склейка; интент закрыт posle-rasstavaniya-nachinayu-skuchat.md и vstrechaemsya-posle-rasstavaniya.md
нет,,vzroslaya-trevozhnost,,,4208,,афобазол и лечение тревожности — запрет ТЗ; дубль povyshennaya-trevozhnost-u-vzroslyh.md
нет,,depressiya-v-ssha,,,4172,,"Великая депрессия — экономика, чужая сфера"
нет,,silnaya-privyazannost,,,4095,,дубль kak-izbavitsya-ot-privyazannosti.md и privyazannost-v-otnosheniyah.md
нет,,vysokaya-samootsenka,,,4083,,дубль vidy-samoocenki.md; блок самооценки переполнен
нет,,perehodnoy-vozrast-skolkih-vozrast,,,4035,,склейка лемматизатора
нет,,semeynoe-vospitanie-rebenka,,,4032,,дубль vospitanie-detey-v-seme.md и usloviya-vospitaniya-rebenka-v-seme.md
нет,,rasstavanie-s-zhenschinoy,,,4027,,мужская перспектива; интент закрыт rasstavanie-s-muzhchinoy.md
нет,,emotsionalnaya-privyazannost,,,3999,,дубль privyazannost-v-otnosheniyah.md и teoriya-privyazannosti.md
нет,,diagnoz-depressiya,,,3908,,диагноз — прямой запрет ТЗ
нет,,fizicheskoe-vospitanie-rebenka,,,3907,,физкультура и режим — чужая сфера
нет,,chuvstvo-obidy,,,3876,,дубль kak-otpustit-obidu.md и prichinit-obidu.md; хвост — сканворды («чувство обиды 6 букв»)
нет,,depressiya-segmenta,,,3853,,"омоним: депрессия сегмента ST на ЭКГ, кардиология"
нет,,chuvstvo-grusti,,,3844,,дубль kak-spravitsya-s-grustyu.md; хвост — кроссворды и строчка из песни
нет,,metod-ratsionalizatsii,,,3820,,"омоним: метод рационализации логарифмических неравенств, школьная математика"
нет,,bulling-detey,,,3810,,"дубль bulling-v-shkole.md, priznaki-bullinga.md, vidy-bullinga.md"
нет,,depressiya-u-muzhchin,,,3731,,дубль priznaki-depressii-u-muzhchin.md; не наша аудитория
нет,,kak-nazyvaetsya-depressiya,,,3705,,склейка; определение закрыто slovar-depressiya.md
