seed,tab,query,shows
"домашние обязанности",popular,"домашние обязанности",9199
"домашние обязанности",popular,"распределение домашних обязанностей",1657
"домашние обязанности",popular,"домашние обязанности ребенка",1643
"домашние обязанности",popular,"домашние обязанности в семье",1393
"домашние обязанности",popular,"домашнее задание обязанность",1160
"домашние обязанности",popular,"тема домашние обязанности",1046
"домашние обязанности",popular,"выполнять домашние обязанности",874
"домашние обязанности",popular,"какие домашние обязанности",796
"домашние обязанности",popular,"домашние обязанности на английском",772
"домашние обязанности",popular,"домашние обязанности список",701
"домашние обязанности",popular,"домашние обязанности вопросы",630
"домашние обязанности",popular,"распределение домашних обязанностей в семье",624
"домашние обязанности",popular,"предложение домашние обязанности",623
"домашние обязанности",popular,"5 домашних обязанностей",590
"домашние обязанности",popular,"брачный договор домашние обязанности",522
"домашние обязанности",popular,"10 домашних обязанностей",514
"домашние обязанности",popular,"домашние обязанности мамы",488
"домашние обязанности",popular,"семейные домашние обязанности",471
"домашние обязанности",popular,"распределить домашние обязанности",448
"домашние обязанности",popular,"выполнение домашних обязанностей",448
"домашние обязанности",popular,"распределение домашних обязанностей в брачном договоре",444
"домашние обязанности",popular,"домашние обязанности женщины",424
"домашние обязанности",popular,"домашние обязанности супругов",372
"домашние обязанности",popular,"домашние обязанности членов семьи",363
"домашние обязанности",popular,"беседа обязанности домашние",360
"домашние обязанности",popular,"домашние обязанности мужчин",349
"домашние обязанности",popular,"домашние обязанности 14 лет",348
"домашние обязанности",popular,"домашнее обязанности по дому",326
"домашние обязанности",popular,"домашние обязанности родителей",317
"домашние обязанности",popular,"домашние обязанности мужа",300
"домашние обязанности",popular,"домашние права и обязанности",295
"домашние обязанности",popular,"разделение домашних обязанностей",293
"домашние обязанности",popular,"должны быть у ребенка домашние обязанности",286
"домашние обязанности",popular,"должны ли быть у ребенка домашние обязанности",266
"домашние обязанности",popular,"домашние обязанности ребенка в семье",257
"домашние обязанности",popular,"делать домашние обязанности",248
"домашние обязанности",popular,"домашние обязанности жены",248
"домашние обязанности",popular,"домашние обязанности человека",226
"домашние обязанности",popular,"текст домашние обязанности",208
"домашние обязанности",popular,"какие домашние обязанности выполняете",203
"домашние обязанности",popular,"домашние дела и обязанности",202
"домашние обязанности",popular,"ребенок выполняет домашние обязанности",198
"домашние обязанности",popular,"выполнение ребенком домашних обязанностей",185
"домашние обязанности",popular,"чья обязанности вести домашнее хозяйство",181
"домашние обязанности",popular,"возложение домашних обязанностей на женщину",178
"домашние обязанности",popular,"домашний обязанности подростков",170
"домашние обязанности",popular,"домашние обязанности мужчины в семье",162
"домашние обязанности",popular,"женские домашние обязанности",162
"домашние обязанности",popular,"домашние обязанности перевод",162
"домашние обязанности",popular,"домашние обязанности виды",161
"домашние обязанности",popular,"диаграмма домашних обязанностей",159
"домашние обязанности",popular,"домашние обязанности на английском языке",158
"домашние обязанности",popular,"возложение домашних обязанностей на женщину тип",157
"домашние обязанности",popular,"домашние обязанности мужа и жены",157
"домашние обязанности",popular,"обязанность выполнять домашнее задание",153
"домашние обязанности",popular,"тема по английскому домашние обязанности",150
"домашние обязанности",popular,"мужские домашние обязанности",147
