seed,tab,query,shows
"старение",popular,"старение",87688
"старение",popular,"типы старения",11788
"старение",popular,"старение лица",6745
"старение",popular,"старение кожи",6113
"старение",popular,"процесс старения",4521
"старение",popular,"старение организма",3954
"старение",popular,"типы старения лица",3875
"старение",popular,"старение человека",3528
"старение",popular,"преждевременное старение",3392
"старение",popular,"замедленное старение",3037
"старение",popular,"старение женщины",2995
"старение",popular,"против старения",2880
"старение",popular,"старение масел",2876
"старение",popular,"признаки старения",2671
"старение",popular,"старение населения",2538
"старение",popular,"старение системы",2311
"старение",popular,"деформационное старение",2196
"старение",popular,"деформационный тип старения",2048
"старение",popular,"причины старения",2030
"старение",popular,"старение 3",1974
"старение",popular,"суть старения",1916
"старение",popular,"старение возраст",1896
"старение",popular,"вопросы старения",1836
"старение",popular,"старение плаценты",1835
"старение",popular,"ускоренное старение",1689
"старение",popular,"ускоряет старение",1689
"старение",popular,"старение клетки",1627
"старение",popular,"теории старения",1559
"старение",popular,"старение мозга",1525
"старение",popular,"счетчик старения",1426
"старение",popular,"естественное старение",1390
"старение",popular,"проблема старение",1339
"старение",popular,"отечное старение",1322
"старение",popular,"факторы старения",1312
"старение",popular,"счетчик старения масла",1282
"старение",popular,"на старение влияет на старение",1280
"старение",popular,"про старение",1270
"старение",popular,"со старением",1270
"старение",popular,"эффект старения",1233
"старение",popular,"отечный тип старения",1224
"старение",popular,"старение лица у женщины",1212
"старение",popular,"защита от старения",1119
"старение",popular,"5 старение",1118
"старение",popular,"усталое старение",1102
"старение",popular,"старение кожи лица",1100
"старение",popular,"типы старения у женщин",1093
"старение",popular,"демографическое старение",1092
"старение",popular,"быстрое старение",1075
"старение",popular,"биологическое старение",1059
"старение",popular,"старение коррозии",1054
"старение",popular,"виды старения",1050
"старение",popular,"типы старения лица у женщин",1046
"старение",popular,"старение связано",1041
"старение",popular,"хорошее старение",1021
"старение",popular,"усталый тип старения",1008
"старение",popular,"старением называется",991
"старение",popular,"старение приводит",970
"старение",popular,"уровни старения",957
"старение",popular,"мелкоморщинистое старение",955
"старение",popular,"механизмы старения",955
"старение",popular,"старение гост",954
"старение",popular,"деформационно отечное старение",944
"старение",popular,"старение роста",929
"старение",popular,"старение вариатора",909
"старение",popular,"мелкоморщинистый тип старения",906
"старение",popular,"раннее старение",902
"старение",popular,"отечно деформационный тип старения",896
"старение",popular,"первое старение",890
"старение",popular,"мускульном старении",884
"старение",popular,"биология старения",878
"старение",popular,"социальная старения",875
"старение",popular,"старение стали",864
"старение",popular,"старение почему",857
"старение",popular,"демографического старения населения",853
"старение",popular,"старение является",848
"старение",popular,"заболевание старение",845
"старение",popular,"мускульный тип старения",844
"старение",popular,"правильное старение",838
"старение",popular,"защита от коррозии и старения",835
"старение",popular,"старение масла вариатора",828
"старение",popular,"типы старения кожи",807
"старение",popular,"система защиты от коррозии и старения",807
"старение",popular,"старения фильм",804
"старение",popular,"старение стран",800
"старение",popular,"единая система защиты от старения",791
"старение",popular,"замедление старения",790
"старение",popular,"единая защита от коррозии и старения",790
"старение",popular,"единая система защиты от коррозии и старения",790
"старение",popular,"старение металла",789
"старение",popular,"исследования старения",779
"старение",popular,"физическое старение",776
