seed,tab,query,shows
"школа ребенок",popular,"дети в школе",1229606
"школа ребенок",popular,"в школу ли детям",131762
"школа ребенок",popular,"школа класс дети",124690
"школа ребенок",popular,"лет дети в школу",100866
"школа ребенок",popular,"отсутствие ребенка в школе",98852
"школа ребенок",popular,"какого детям в школу",89433
"школа ребенок",popular,"родители дети школа",86872
"школа ребенок",popular,"ребенка 1 школа",73718
"школа ребенок",popular,"дети учащиеся в школе",68550
"школа ребенок",popular,"дети учатся в школе",62446
"школа ребенок",popular,"заявление в школу об отсутствии ребенка",59535
"школа ребенок",popular,"день детей в школе",57757
"школа ребенок",popular,"детям в школу можно",55797
"школа ребенок",popular,"школа сколько детей",51928
"школа ребенок",popular,"питание детей в школе",51664
"школа ребенок",popular,"другая школа дети",49092
"школа ребенок",popular,"дети в школу идите",43239
"школа ребенок",popular,"дети идут в школу",43236
"школа ребенок",popular,"подготовка детей к школе",41690
"школа ребенок",popular,"учитель школа ребенок",41230
"школа ребенок",popular,"ребенок школа 7",40155
"школа ребенок",popular,"ребенок в школу хожу",39603
"школа ребенок",popular,"школа обучения ребенка",39053
"школа ребенок",popular,"ребенок 6 6 школа",38908
"школа ребенок",popular,"школа 2 дети",37555
"школа ребенок",popular,"образец заявление ребенку в школу",34574
"школа ребенок",popular,"школа 5 дети",34057
"школа ребенок",popular,"детям бесплатно в школах",32992
"школа ребенок",popular,"дети после школы",32882
"школа ребенок",popular,"ребенок со школы",32541
"школа ребенок",popular,"отсутствие ребенка в школе по семейным",31852
"школа ребенок",popular,"заявление ребенку в школу по семейным",31220
"школа ребенок",popular,"школа дети 1 класс",30417
"школа ребенок",popular,"отсутствие ребенка в школе по семейным обстоятельствам",30043
"школа ребенок",popular,"школа рождения ребенка",30041
"школа ребенок",popular,"дети школы 3",29889
"школа ребенок",popular,"работа школы детьми",29748
"школа ребенок",popular,"заявление в школу ребенку по семейным обстоятельствам",29458
"школа ребенок",popular,"дети директора школы",28210
"школа ребенок",popular,"заявление отсутствие ребенка в школе по семейным",28146
"школа ребенок",popular,"дети в начальной школе",27975
"школа ребенок",popular,"справка ребенку в школу",27165
"школа ребенок",popular,"школа самостоятельных детей",26993
"школа ребенок",popular,"дети 6 лет школу",26725
"школа ребенок",popular,"что делают дети в школе",26204
"школа ребенок",popular,"детям про школу",25911
"школа ребенок",popular,"школа без детей",25625
"школа ребенок",popular,"должен ребенок в школе",25163
"школа ребенок",popular,"дети пошли в школу",24584
"школа ребенок",popular,"дети в школе программа",24562
"школа ребенок",popular,"дети сво в школе",24356
"школа ребенок",popular,"где дети в школе",24183
"школа ребенок",popular,"школа для детей с овз",23313
"школа ребенок",popular,"дети школа москва",22788
"школа ребенок",popular,"почему ребенок в школу",22738
"школа ребенок",popular,"образец об отсутствии ребенка в школе",22411
"школа ребенок",popular,"дети семья школа",21410
"школа ребенок",popular,"школа дети 1 сентября",21076
"школа ребенок",popular,"школа время детям",21050
"школа ребенок",popular,"дети россии школа",20934
"школа ребенок",popular,"ребенок собран в школу",20004
"школа ребенок",popular,"собери ребенка в школу",20004
"школа ребенок",popular,"подарки детям в школу",19540
"школа ребенок",popular,"детям на день рождения в школу",19293
"школа ребенок",popular,"группа детей в школе",19036
"школа ребенок",popular,"занятия детей в школе",18827
"школа ребенок",popular,"школа здоровья ребенка",17880
"школа ребенок",popular,"новая школа дети",17802
"школа ребенок",popular,"школа для детей 7 лет",17693
"школа ребенок",popular,"написать заявление ребенку в школу",16805
"школа ребенок",popular,"детям перед школой",16571
"школа ребенок",popular,"ребенок в школу в 8",16569
"школа ребенок",popular,"школа интернат для детей",16517
"школа ребенок",popular,"права ребенка в школе",16408
"школа ребенок",popular,"заявления ребенка директору школа",16329
"школа ребенок",popular,"имеет ребенок в школе",16101
"школа ребенок",popular,"школа язык дети",14638
"школа ребенок",popular,"уход ребенка из школы",14551
"школа ребенок",popular,"ребенок участника сво в школе",13955
"школа ребенок",popular,"ребенок не ходит в школу",13946
"школа ребенок",popular,"документы ребенка в школе",13654
"школа ребенок",popular,"в школе дети получают",13611
"школа ребенок",popular,"самостоятельный уход ребенка из школы",13528
"школа ребенок",popular,"10 детей в школе",13304
"школа ребенок",popular,"дети дома дети в школе",13035
"школа ребенок",popular,"школа возраст ребенка",13034
"школа ребенок",popular,"школа второй ребенок",12795
"школа ребенок",popular,"форма дети школы",12780
"школа ребенок",popular,"психологу в школе детям",12383
"школа ребенок",popular,"забрал ребенка из школы",12309
"школа ребенок",popular,"дети приходящие в школу",11989
"школа ребенок",popular,"питание детей сво в школе",11946
"школа ребенок",popular,"ребенок не хочет в школу",11910
"школа ребенок",popular,"подготовка детей к школе 6",11730
"школа ребенок",popular,"школа словами детей",11696
"школа ребенок",popular,"образец отсутствия ребенка в школе по семейным",11679
"школа ребенок",popular,"образование детей в школе",11605
"школа ребенок",popular,"нужна ли детям школа",11461
"школа ребенок",popular,"дети имеют право в школе",11396
"школа ребенок",popular,"заявление на уход ребенка из школы",11319
"школа ребенок",popular,"дети в школу проходят",11318
"школа ребенок",popular,"перекус ребенку в школу",11303
"школа ребенок",popular,"данные на ребенка в школе",11100
"школа ребенок",popular,"заявление на отсутствие ребенка в школе образец",10918
"школа ребенок",popular,"дети обучающиеся в школе",10540
"школа ребенок",popular,"ребенок школа прописка",10499
"школа ребенок",popular,"готовность ребенка к школе",10411
"школа ребенок",popular,"директору школы об отсутствии ребенка",10387
"школа ребенок",popular,"дети в школе на уроке",10375
"школа ребенок",popular,"онлайн школа для детей",10339
"школа ребенок",popular,"вторые дети в школу",10338
"школа ребенок",popular,"школа видео для детей",10187
"школа ребенок",popular,"подарок в школу детям на день",10026
"школа ребенок",popular,"проводить детей в школу",10026
"школа ребенок",popular,"школа для детей 6 7 лет",10007
"школа ребенок",popular,"связь с ребенком в школе",9951
"школа ребенок",popular,"что подарить детям в школе",9935
"школа ребенок",popular,"школа плохие дети",9929
"школа ребенок",popular,"подарок на рождение ребенка в школе",9911
"школа ребенок",popular,"подарки детям на день рождения в школе",9906
"школа ребенок",popular,"льготы детям в школе",9663
"школа ребенок",popular,"законы ребенка в школе",9585
"школа ребенок",popular,"дети школа детский сад",9584
"школа ребенок",popular,"ребенок поступает в школу",9533
"школа ребенок",popular,"объяснительная в школу об отсутствии ребенка",9523
"школа ребенок",popular,"дети в школе 2 класс",9485
"школа ребенок",popular,"школу классный ребенок",9377
"школа ребенок",popular,"что дать ребенку в школу",9316
"школа ребенок",popular,"русские дети школа",9304
"школа ребенок",popular,"школу ученики дети",9255
"школа ребенок",popular,"ребенок московская школа",9200
"школа ребенок",popular,"как перевести ребенка в другую школу",9187
"школа ребенок",popular,"как переводить ребенка в другую школу",9187
"школа ребенок",popular,"дети общеобразовательной школе",9167
"школа ребенок",popular,"заявление директору школы об отсутствии ребенка",9084
"школа ребенок",popular,"что нужно ребенку в школу",9055
"школа ребенок",popular,"школы для детей 5 лет",9051
"школа ребенок",popular,"ребенка в школу через госуслуги",8972
"школа ребенок",popular,"в какой школе учиться ребенок",8916
"школа ребенок",popular,"ребенок пропускает школу",8837
"школа ребенок",popular,"ребенок пропустил школу",8837
"школа ребенок",popular,"школа дети говорят",8798
"школа ребенок",popular,"подготовка к школе для детей 6 лет",8751
"школа ребенок",popular,"электронная школа ребенка",8747
"школа ребенок",popular,"принять в школу ребенка",8693
"школа ребенок",popular,"школа танцев для детей",8572
"школа ребенок",popular,"подготовка к школе 7 ребенка",8511
"школа ребенок",popular,"дети занялись в школе",8467
"школа ребенок",popular,"согласие на ребенка в школу",8397
"школа ребенок",popular,"поведение детей в школе",8384
"школа ребенок",popular,"какой ребенок нужен школе",8360
"школа ребенок",popular,"внимание школа дети",8343
"школа ребенок",popular,"дети средней школы",8219
"школа ребенок",popular,"ребенок в школу в 8 лет",8178
"школа ребенок",popular,"дети в школе 18",8021
"школа ребенок",popular,"дети в школе начинают",7964
"школа ребенок",popular,"едят ли дети в школе",7800
"школа ребенок",popular,"как написать об отсутствии ребенка в школе",7703
"школа ребенок",popular,"дети старшей школы",7686
"школа ребенок",popular,"обычные дети в обычной школе",7545
"школа ребенок",popular,"подготовка школы детей 7 лет",7463
"школа ребенок",popular,"школа больших детей",7424
"школа ребенок",popular,"дети в школе 3 класс",7419
"школа ребенок",popular,"учеба детей в школе",7397
"школа ребенок",popular,"школа количества детей",7392
"школа ребенок",popular,"имена детей в школе",7366
"школа ребенок",popular,"сопровождение ребенка в школу",7331
"школа ребенок",popular,"домашний ребенок в школе",7310
"школа ребенок",popular,"в школу дети 11",7292
"школа ребенок",popular,"перевод ребенка в другую школу",7284
"школа ребенок",popular,"вести детей в школу",7217
"школа ребенок",popular,"ведомый ребенок в школе",7192
"школа ребенок",popular,"ведут детей в школу",7191
"школа ребенок",popular,"ребенок отсутствует в школе",7147
"школа ребенок",popular,"как написать в школу что ребенок",7116
"школа ребенок",popular,"записка в школу об отсутствии ребенка",7027
"школа ребенок",popular,"дети школа взрослые",7008
"школа ребенок",popular,"первые дни ребенка в школе",7005
"школа ребенок",popular,"первый день ребенка в школе",7005
"школа ребенок",popular,"подать ребенка в школу",6851
"школа ребенок",popular,"прививки детям в школе",6840
"школа ребенок",popular,"простая школа дети",6833
"школа ребенок",popular,"школа в жизни ребенка",6818
"школа ребенок",popular,"школа задания для детей",6770
"школа ребенок",popular,"в школе ребенка отпуск",6756
"школа ребенок",popular,"поступление школа детей",6724
"школа ребенок",popular,"дети просят школу",6722
"школа ребенок",popular,"безопасность детей в школе",6680
"школа ребенок",popular,"школа развития для детей",6647
"школа ребенок",popular,"1 день ребенка в школе",6590
"школа ребенок",popular,"картинка школа для детей",6521
"школа ребенок",popular,"детей младшей школы",6509
"школа ребенок",popular,"дети отзывы школа",6495
"школа ребенок",popular,"подготовка к школе для детей 6 7",6455
"школа ребенок",popular,"школа для одаренных детей",6439
"школа ребенок",popular,"ваш ребенок школа",6416
"школа ребенок",popular,"школа программирования для детей",6394
"школа ребенок",popular,"провожаем детей в школу",6389
"школа ребенок",popular,"дети 17 школа",6372
"школа ребенок",popular,"ребенок стал в школе",6360
"школа ребенок",popular,"школа сады и дети",6267
"школа ребенок",popular,"дети сво питание в школе бесплатно",6215
"школа ребенок",popular,"музыкальная школа для детей",6172
"школа ребенок",popular,"школа воспитание детей",6171
"школа ребенок",popular,"школа маленьких детей",6155
"школа ребенок",popular,"программа для детей с овз в школе",6106
"школа ребенок",popular,"проект дети школе",6033
"школа ребенок",popular,"в сентябре дети идут в школу",6019
"школа ребенок",popular,"какой документ ребенка в школе",6015
