seed,tab,query,shows
"ложь",popular,"ложь",925861
"ложь",popular,"фильм ложь",136743
"ложь",popular,"сериал ложь",115553
"ложь",popular,"большая ложь",97769
"ложь",popular,"ложь мало",95983
"ложь",popular,"маленькая ложь",95449
"ложь",popular,"большая маленькая ложь",91473
"ложь",popular,"смотреть ложь",90601
"ложь",popular,"детектор лжи",71761
"ложь",popular,"ложь онлайн",57934
"ложь",popular,"бесплатная ложь",57121
"ложь",popular,"правда или ложь",55145
"ложь",popular,"ложь серия",51286
"ложь",popular,"ложь смотреть онлайн",47901
"ложь",popular,"изобретение лжи",46237
"ложь",popular,"смотреть бесплатно ложь",42810
"ложь",popular,"большая ложь сериал",41683
"ложь",popular,"сериал маленькая ложь",41464
"ложь",popular,"большая маленькая ложь сериал",41261
"ложь",popular,"ложь смотреть онлайн бесплатно",37810
"ложь",popular,"ложь 1 1",37807
"ложь",popular,"хорошая ложь",37653
"ложь",popular,"ложь 2",34897
"ложь",popular,"ложащий",34639
"ложь",popular,"ложить",33586
"ложь",popular,"ложь качество",28908
"ложь",popular,"смотреть хорошая ложь",28842
"ложь",popular,"ложь хорошие качества",28320
"ложь",popular,"хорошая ложь смотреть бесплатно",28098
"ложь",popular,"ложь смотреть в хорошем качестве",27299
"ложь",popular,"ложь бывший",27261
"ложь",popular,"ложь смотреть бесплатно в хорошем качестве",26822
"ложь",popular,"хороша ложь онлайн",26753
"ложь",popular,"хорошая ложь смотреть онлайн",26586
"ложь",popular,"ложь смотреть онлайн бесплатно в хорошем",26132
"ложь",popular,"твоя ложь",26100
"ложь",popular,"суть лжи",25831
"ложь",popular,"смотреть фильм ложь",25785
"ложь",popular,"правдивая ложь",25431
"ложь",popular,"ложь смотреть онлайн в хорошем качестве",25378
"ложь",popular,"ложь сезон",25346
"ложь",popular,"скачать ложь",25114
"ложь",popular,"ложь смотреть онлайн бесплатно в хорошем качестве",25096
"ложь",popular,"смотреть сериал ложь",25018
"ложь",popular,"ложь 3",24311
"ложь",popular,"дорам ложь лжи",24177
"ложь",popular,"дорама ложь",24138
"ложь",popular,"скрытая ложь",24041
"ложь",popular,"фильм изобретение лжи",23455
"ложь",popular,"в объятиях лжи",23032
"ложь",popular,"что скрывает ложь",22523
"ложь",popular,"ложь 2017",21804
"ложь",popular,"слово ложь",21628
"ложь",popular,"ложь русских",21287
"ложь",popular,"сериал ложь 2017",20631
"ложь",popular,"маленькая ложь 2017",19491
"ложь",popular,"большая маленькая ложь 2017",19488
"ложь",popular,"большая маленькая ложь сериал 2017",19285
"ложь",popular,"ложь актеры",18538
"ложь",popular,"смотреть больше ложь",18402
"ложь",popular,"ложь видео",18251
"ложь",popular,"маленькая ложь смотреть",18041
"ложь",popular,"большая маленькая ложь смотреть",17986
"ложь",popular,"апрельская ложь",17913
"ложь",popular,"отзыв ложь",17522
