seed,tab,query,shows
"новый год одной",popular,"новый год одной",30977
"новый год одной",popular,"в каком году в одном из новых",2162
"новый год одной",popular,"один день нового года",1883
"новый год одной",popular,"каждый новый год один",1867
"новый год одной",popular,"один дома новый год",1858
"новый год одной",popular,"новый год одна текст",1554
"новый год одной",popular,"новый год один из самых",1480
"новый год одной",popular,"новый год один человек",1429
"новый год одной",popular,"новый год одним словом",1278
"новый год одной",popular,"история одного нового года",1164
"новый год одной",popular,"новый год одной на работе",1124
"новый год одной",popular,"новый год один раз в году",1024
"новый год одной",popular,"один много новый год",900
"новый год одной",popular,"новый год один компания",834
"новый год одной",popular,"новый год в новой квартире одной",807
"новый год одной",popular,"встречу новый год один",799
"новый год одной",popular,"перед новым годом один",794
"новый год одной",popular,"один остался новый год",724
"новый год одной",popular,"новый год хочу одно",698
"новый год одной",popular,"одна в старый новый год",678
"новый год одной",popular,"новый год 2022 один",614
"новый год одной",popular,"новый год одна с детьми",588
"новый год одной",popular,"один в один лучшее новый год",517
"новый год одной",popular,"ни один новый год",497
"новый год одной",popular,"одного лета новый фильм",488
"новый год одной",popular,"одна на новый год 2021",482
"новый год одной",popular,"новый год в одной семье",476
"новый год одной",popular,"одно предложение с новым годом",413
"новый год одной",popular,"новый год одному москва",399
"новый год одной",popular,"новый год один песня",381
"новый год одной",popular,"одна карта на новый год",308
"новый год одной",popular,"новый год одному или другом",292
"новый год одной",popular,"один в новый год фильм",287
"новый год одной",popular,"новый год 2024 одному",285
"новый год одной",popular,"один дома 3 новый год",277
"новый год одной",popular,"девушки новый год одних",255
"новый год одной",popular,"один из праздник новый год",250
"новый год одной",popular,"поздравить с новым годом одним",247
"новый год одной",popular,"на новый год оставили одну",230
"новый год одной",popular,"один подарок на новый год",223
"новый год одной",popular,"новый год одна что делать",214
"новый год одной",popular,"один дома 2 новый год",213
"новый год одной",popular,"праздновать новый год одной",204
"новый год одной",popular,"праздную новый год один",204
"новый год одной",popular,"новый год одно и тоже",202
"новый год одной",popular,"новый год одному куда",193
"новый год одной",popular,"осталась одна дома новый год",184
"новый год одной",popular,"время одна была на новый год",179
"новый год одной",popular,"что купить на новый год одному",176
"новый год одной",popular,"мама одна на новый год",176
"новый год одной",popular,"один дома 1 новый год",161
