seed,tab,query,shows
"не с кем встретить новый год",popular,"с кем не встретила новый год",75
"одна в новогоднюю ночь",popular,"одни в новогоднюю ночь",277
"одна в новогоднюю ночь",popular,"фильм один в новогоднюю ночь",58
"одна в новогоднюю ночь",popular,"один дома в новогоднюю ночь",34
"одна в новогоднюю ночь",popular,"один в новогоднюю ночь 2006",33
"одна в новогоднюю ночь",popular,"один в новогоднюю ночь фильм 2006",31
"новый год без семьи",popular,"новый год без семьи",431
"новый год без семьи",popular,"без одежде новый год семьи",1
"не радуют праздники",popular,"не радуют праздники",281
"не радуют праздники",popular,"больше не радуют праздники",89
"не радуют праздники",popular,"и праздниками календарь уже не радует души",6
"устала от праздников",popular,"устала от праздника",70
"устала от праздников",popular,"уставшие от праздника",68
"устала от праздников",popular,"устали от праздников",68
"ненавижу праздники",popular,"ненавижу праздники",138
"ненавижу праздники",popular,"почему ненавижу праздники",29
"ненавижу праздники",popular,"праздники ваши ненавидит",18
"ненавижу праздники",popular,"люди ненавидящие праздники",10
"ненавижу праздники",popular,"человек ненавидит праздники",10
"раздражают праздники",popular,"раздражают праздники",45
"не хочу идти на корпоратив",popular,"не хочу идти на корпоратив",92
"не хочу идти на корпоратив",popular,"не хочу идти на корпоратив на работе",16
"не хочу идти на корпоратив",popular,"не хочу идти на корпоратив как отказаться",15
"год прошел зря",popular,"годы пройдут не зря",153
"год прошел зря",popular,"не прошло зря в годы",57
"год прошел зря",popular,"проходят зря мои года",36
"ничего не изменилось за год",popular,"за год ничего не изменилось",220
"ничего не изменилось за год",popular,"фильм за 40 лет ничего не изменилось",19
"что я сделала за год",popular,"что я сделал за год",5042
"что я сделала за год",popular,"что я сделала за 5 лет",2238
"что я сделала за год",popular,"что я должен сделать за год",130
"что я сделала за год",popular,"что я сделал за 12 лет",130
"что я сделала за год",popular,"что я сделал за 10 лет",95
"что я сделала за год",popular,"что я сделал за 20 лет",75
"что я сделала за год",popular,"что я сделала за 2025 год",65
"что я сделала за год",popular,"что я успела сделать за год",27
"что я сделала за год",popular,"идея что я сделала за лета",24
"вопросы для подведения итогов года",popular,"вопросы для подведения итогов года",44
"вопросы для подведения итогов года",popular,"вопросы для подведения итогов лета",44
"жалею о прошедшем годе",popular,"о прошедших годах не жалею",39
"жалею о прошедшем годе",popular,"не жалей о пройденных годах",15
