seed,tab,query,shows
"новый год",popular,"новая лета",4108549
"новый год",popular,"новый год",4068921
"новый год",popular,"нова нова новый год",4068652
"новый год",popular,"новый год 2026",1290986
"новый год",popular,"новый год видео",353471
"новый год",popular,"новый год 2027",313030
"новый год",popular,"новые серии 2026 года",292768
"новый год",popular,"новые видео 2026 года",292537
"новый год",popular,"какой новый год",235272
"новый год",popular,"бывшие новый год",203045
"новый год",popular,"суть нового года",202156
"новый год",popular,"сегодня новый год",166966
"новый год",popular,"смотреть новый год",163294
"новый год",popular,"сегодня новый год 2026",156588
"новый год",popular,"новый день лета",153090
"новый год",popular,"дне нового года",151261
"новый год",popular,"новые фильмы лета",138138
"новый год",popular,"песня новый год",119973
"новый год",popular,"песня нова нова новый год",119972
"новый год",popular,"смотреть новое 2026 год",113498
"новый год",popular,"с новым учебным годом",109830
"новый год",popular,"сегодня новый год видео",93942
"новый год",popular,"новый год 2025",93501
"новый год",popular,"новые видео 2026 года сегодня",93200
"новый год",popular,"новым годом бесплатно",89909
"новый год",popular,"новый год в россии",88263
"новый год",popular,"3 новых года",84873
"новый год",popular,"сколько до нового лета",78631
"новый год",popular,"сколько до нового года",78612
"новый год",popular,"скачать новый год",78344
"новый год",popular,"ли новый год",77659
"новый год",popular,"тим тим новый год",76982
"новый год",popular,"тима новый год",76971
"новый год",popular,"про новый год",76480
"новый год",popular,"тим тим 2026 года новые",75595
"новый год",popular,"где новый год",74334
"новый год",popular,"тим тим новая серия новый год",73913
"новый год",popular,"дабл дабл новый год",73676
"новый год",popular,"тим тим новые серии 2026 года",73060
"новый год",popular,"бабл новый год",71751
"новый год",popular,"баблы новый год",71751
"новый год",popular,"дабл дабл новые 2026 года",71607
"новый год",popular,"новый год дабл бабл",71291
"новый год",popular,"новый год 5 лет",70220
"новый год",popular,"дабл бабл новые 2026 год",69301
"новый год",popular,"новая лета сентябрь 2026",68608
"новый год",popular,"тин тин новый год",66819
"новый год",popular,"тим тин новый год",65994
"новый год",popular,"тим тин 2026 года новые",65484
"новый год",popular,"новый год встречен",65190
"новый год",popular,"тин тин новый год новые серии",65104
