seed,tab,query,shows
"долго не получается забеременеть",popular,"как забеременеть если долго не получается",234
"долго не получается забеременеть",popular,"как забеременеть если не получается долгое время",187
"долго не получается забеременеть",popular,"почему долго не получается забеременеть",89
"долго не получается забеременеть",popular,"у кого долго не получалось забеременеть форум",37
"долго не получается забеременеть",popular,"почему долгое время не получается забеременеть",16
"долго не получается забеременеть",popular,"если долго не получается забеременеть что делать",16
"все вокруг беременные",popular,"вокруг все беременны",117
"жалею что не родила",popular,"жалею что не родила",306
"жалею что не родила",popular,"не жалею что не рожала",306
"жалею что не родила",popular,"жалеете что не родили детей",143
"жалею что не родила",popular,"жалею что не родила второго",74
"жалею что не родила",popular,"я жалею что родила не рожайте",57
"жалею что не родила",popular,"жалею что не родила форум",48
"жалею что не родила",popular,"жалеете ли что не родили",40
"жалею что не родила",popular,"жалею что не родила второго форум",35
"жалею что не родила",popular,"жалею что не родила второго ребенка",27
"жалею что не родила",popular,"жалели ли что не родили детей",22
"жалею что не родила",popular,"женщины жалеют что не родили",14
"жалею что не родила",popular,"жалею что не родила ребенка форум",12
"жалею что не родила",popular,"очень жалею что не родила второго форум",10
"жалею что не родила",popular,"жалею что не родила ребенка раньше",8
"жалею что не родила",popular,"жалеет ли женщина что не родила",7
"не родила и жалею",popular,"не родила и жалеет",143
"бездетная старость",popular,"бездетная старость",29
"поздно рожать",popular,"рожденным позже",4698
"поздно рожать",popular,"рожают позже",4677
"поздно рожать",popular,"родили поздно",4236
"поздно рожать",popular,"поздно родил детей",996
"поздно рожать",popular,"поздно рожать детей",991
"поздно рожать",popular,"поздно ли рожать",959
"поздно рожать",popular,"женщины рожают позже",532
"поздно рожать",popular,"поздно родившие женщины",374
"поздно рожать",popular,"женщины поздно рожают",367
"поздно рожать",popular,"почему позже рожают",261
"поздно рожать",popular,"почему поздно рожают",218
"поздно рожать",popular,"в 38 поздно родить",209
"поздно рожать",popular,"в 38 поздно рожать",209
"поздно рожать",popular,"поздно рожать в 40",205
"поздно рожать",popular,"родить в 40 поздно",205
"поздно рожать",popular,"родить позже срока",189
"поздно рожать",popular,"родила поздно самое позднее",164
"поздно рожать",popular,"родить в 38 лет поздно",148
"поздно рожать",popular,"говорят поздно родила",148
"поздно рожать",popular,"родить в 37 поздно",146
"поздно рожать",popular,"рожать в 37 поздно",146
"поздно рожать",popular,"поздно родить первого ребенка",140
"поздно рожать",popular,"во сколько поздно рожать",126
"поздно рожать",popular,"в 35 рожать поздно",121
"поздно рожать",popular,"родить в 35 поздно",121
"поздно рожать",popular,"поздно ли рожать в 38",117
"поздно рожать",popular,"когда поздно рожать",113
"поздно рожать",popular,"поздно ли рожать в 40",113
"поздно рожать",popular,"45 поздно родить",108
"поздно рожать",popular,"родить ребенка поздно 38 лет",101
"поздно рожать",popular,"поздно родила форум",100
"поздно рожать",popular,"поздно рожают форум",100
"поздно рожать",popular,"37 лет поздно рожать",97
"поздно рожать",popular,"поздно рожавшие звезды",97
"поздно рожать",popular,"поздно ли родить в 40 лет",92
"поздно рожать",popular,"поздно ли рожать в 40 лет",92
"поздно рожать",popular,"поздно ли родить в 37",81
"поздно рожать",popular,"поздно ли рожать в 37",81
"поздно рожать",popular,"поздно родившая сколько лет",80
"поздно рожать",popular,"женщины поздно родившие детей",79
"поздно рожать",popular,"дочь поздно родила",78
"поздно рожать",popular,"самые поздно родившие женщины",77
"поздно рожать",popular,"поздно рожать в 39",76
"поздно рожать",popular,"родить в 39 поздно",76
"поздно рожать",popular,"самая поздно рожавшая женщина",75
"поздно рожать",popular,"родила позже пдр",70
"поздно рожать",popular,"поздно ли родить в 35",69
"поздно рожать",popular,"поздно ли рожать в 35",69
"поздно рожать",popular,"мама родила поздно",67
"поздно рожать",popular,"стали позже рожать",66
"поздно рожать",popular,"во сколько самое позднее рожают",66
"поздно рожать",popular,"во сколько лет поздно рожать",61
"поздно рожать",popular,"стали рожать поздно",60
"поздно рожать",popular,"в 42 поздно рожать",60
"поздно рожать",popular,"рожать в 45 поздно или нет",58
"поздно рожать",popular,"актрисы которые поздно родили",56
"поздно рожать",popular,"в 40 лет поздно рожать ребенка",54
"поздно рожать",popular,"родить ребенка в 40 лет поздно",54
"поздно рожать",popular,"родила очень поздно",54
"поздно рожать",popular,"39 лет поздно рожать",51
"поздно рожать",popular,"в 30 рожать поздно",51
"поздно рожать",popular,"в 38 лет рожать это поздно",49
"поздно рожать",popular,"поздно ли родить в 42",48
"поздно рожать",popular,"поздно ли рожать в 42",48
"поздно рожать",popular,"можно ли рожать позже",47
"поздно рожать",popular,"когда самое позднее рожали",47
"поздно рожать",popular,"поздно ли рожать в 39",45
"поздно рожать",popular,"родить в 41 поздно",45
"поздно рожать",popular,"поздно рожать в 33",44
"поздно рожать",popular,"в 43 родить поздно",44
"поздно рожать",popular,"в 43 рожать поздно",44
"поздно рожать",popular,"поздно ли рожать ребенка в 40",41
"поздно рожать",popular,"поздно ли родить в 37 лет",39
"поздно рожать",popular,"поздно ли рожать в 37 лет",39
"поздно рожать",popular,"родить в 36 это поздно",37
"поздно рожать",popular,"актеры поздно родившие",36
"поздно рожать",popular,"звезды которые поздно родили",36
"поздно рожать",popular,"рожать в 30 лет поздно",34
"поздно рожать",popular,"во сколько женщине поздно рожать",34
"поздно рожать",popular,"сейчас поздно рожают",34
"поздно рожать",popular,"не хочу поздно рожать",34
"поздно рожать",popular,"в 42 года поздно рожать",32
"поздно рожать",popular,"рожают раньше пдр или позже",32
"поздно рожать",popular,"рожать в 35 второго поздно",31
"поздно рожать",popular,"в 36 лет рожать поздно или нет",31
"поздно рожать",popular,"35 лет поздно ли рожать",30
"поздно рожать",popular,"поздно ли рожать в 42 года",30
"поздно рожать",popular,"после 40 рожать поздно",30
"поздно рожать",popular,"43 года поздно рожать",29
"поздно рожать",popular,"во сколько самое позднее родила женщина",29
"поздно рожать",popular,"во сколько самое позднее рожают женщины",29
"поздно рожать",popular,"рожать в 35 второго поздно ли",29
"поздно рожать",popular,"поздно ли рожать в 39 лет",29
"поздно рожать",popular,"поздно ли родить в 45",27
"поздно рожать",popular,"поздно ли рожать в 45",27
"поздно рожать",popular,"поздно ли рожать в 43",27
"поздно рожать",popular,"поздно ли родить в 36",27
"поздно рожать",popular,"поздно ли рожать в 36",27
"поздно рожать",popular,"поздно ли рожать в 30",27
"поздно рожать",popular,"в 40 лет рожать поздно или нет",26
"поздно рожать",popular,"звезды поздно родившие первого",25
"поздно рожать",popular,"поздно ли рожать в 41",24
"поздно рожать",popular,"женщина родившая позже всех",23
"поздно рожать",popular,"звезды поздно родившие ребенка",23
"поздно рожать",popular,"друг рожденный на месяц позже",23
"поздно рожать",popular,"в 45 лет поздно рожать",21
"поздно рожать",popular,"жалею что поздно родила",20
"поздно рожать",popular,"поздно ли рожать в 30 лет",20
"поздно рожать",popular,"поздно ли рожать в 43 года",18
"поздно рожать",popular,"поздно родившие женщины россия",18
"поздно рожать",popular,"поздно ли рожать в 33",18
